txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredkWh
Bangalore,ga23521,2022-04-01,Friday,23.2798,8.024000000000001
Bangalore,qw23521,2022-04-01,Friday,35.891400000000004,14.377
Chennai,mq18481,2022-04-01,Friday,51.3484,13.718
Chennai,op18481,2022-04-01,Friday,14.6616,6.068
Mysore,uy26932,2022-04-01,Friday,34.7434,8.47
Mysore,yt26932,2022-04-01,Friday,6.2894,2.411
Bangalore,ga23521,2022-04-02,Saturday,26.240000000000002,7.356
Bangalore,qw23521,2022-04-02,Saturday,6.15,3.341
Chennai,mq18481,2022-04-02,Saturday,8.1508,7.036
Chennai,op18481,2022-04-02,Saturday,18.5074,4.608
Mysore,uy26932,2022-04-02,Saturday,11.3324,4.925
Mysore,yt26932,2022-04-02,Saturday,20.6148,8.724
Bangalore,ga23521,2022-04-03,Sunday,12.259,4.417
Bangalore,qw23521,2022-04-03,Sunday,33.9972,12.524
Chennai,mq18481,2022-04-03,Sunday,37.605199999999996,13.011
Chennai,op18481,2022-04-03,Sunday,7.5440000000000005,4.233
Mysore,uy26932,2022-04-03,Sunday,39.8438,17.070999999999998
Mysore,yt26932,2022-04-03,Sunday,39.36,9.736
Bangalore,ga23521,2022-04-04,Monday,28.4458,9.813
Bangalore,qw23521,2022-04-04,Monday,22.714,8.681000000000001
Chennai,mq18481,2022-04-04,Monday,34.1366,16.883
Chennai,op18481,2022-04-04,Monday,36.9246,12.657
Mysore,uy26932,2022-04-04,Monday,62.607,18.119
Mysore,yt26932,2022-04-04,Monday,33.292,11.224
Bangalore,ga23521,2022-04-05,Tuesday,33.882400000000004,9.896
Bangalore,qw23521,2022-04-05,Tuesday,38.3678,10.64
Chennai,mq18481,2022-04-05,Tuesday,35.8504,14.945
Chennai,op18481,2022-04-05,Tuesday,34.0628,11.76
Mysore,uy26932,2022-04-05,Tuesday,50.3152,13.242
Mysore,yt26932,2022-04-05,Tuesday,19.5734,6.1370000000000005
Bangalore,ga23521,2022-04-06,Wednesday,7.4702,2.912
Bangalore,qw23521,2022-04-06,Wednesday,23.058400000000002,12.209
Chennai,mq18481,2022-04-06,Wednesday,24.7312,8.693999999999999
Chennai,op18481,2022-04-06,Wednesday,37.1624,9.757
Mysore,uy26932,2022-04-06,Wednesday,34.3252,12.129999999999999
Mysore,yt26932,2022-04-06,Wednesday,34.0628,10.350999999999999
Bangalore,ga23521,2022-04-07,Thursday,22.8042,9.777
Bangalore,qw23521,2022-04-07,Thursday,55.177800000000005,16.405
Chennai,mq18481,2022-04-07,Thursday,21.0248,8.02
Chennai,op18481,2022-04-07,Thursday,26.0268,7.047
Mysore,uy26932,2022-04-07,Thursday,38.9336,12.23
Mysore,yt26932,2022-04-07,Thursday,45.92,11.975999999999999
Bangalore,ga23521,2022-04-08,Friday,8.9626,5.016
Bangalore,qw23521,2022-04-08,Friday,16.5066,5.681
Chennai,mq18481,2022-04-08,Friday,17.9498,5.616
Mysore,uy26932,2022-04-08,Friday,15.867,4.787
Mysore,yt26932,2022-04-08,Friday,17.589,6.529
Bangalore,ga23521,2022-04-09,Saturday,8.405,2.41
Bangalore,qw23521,2022-04-09,Saturday,5.6088,1.207
Chennai,mq18481,2022-04-09,Saturday,17.031399999999998,5.556
Chennai,op18481,2022-04-09,Saturday,17.302,4.058
Mysore,uy26932,2022-04-09,Saturday,13.6776,4.2669999999999995
Mysore,yt26932,2022-04-09,Saturday,9.717,3.332
Bangalore,ga23521,2022-04-10,Sunday,16.482,6.121
Bangalore,qw23521,2022-04-10,Sunday,20.1802,5.486
Chennai,mq18481,2022-04-10,Sunday,29.626600000000003,8.483
Chennai,op18481,2022-04-10,Sunday,10.364799999999999,3.317
Mysore,uy26932,2022-04-10,Sunday,1.6645999999999999,1.632
Mysore,yt26932,2022-04-10,Sunday,7.142200000000001,1.87
Bangalore,ga23521,2022-04-11,Monday,22.5828,9.426
Bangalore,qw23521,2022-04-11,Monday,45.0426,15.156
Chennai,mq18481,2022-04-11,Monday,10.988,5.241
