txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredkWh
Bangalore,ga23521,2022-08-01,Monday,2.1484,1.326
Bangalore,qw23521,2022-08-01,Monday,7.4538,2.841
Chennai,mq18481,2022-08-01,Monday,23.0994,7.242
Chennai,op18481,2022-08-01,Monday,4.8872,1.798
Mysore,uy26932,2022-08-01,Monday,8.675600000000001,3.528
Mysore,yt26932,2022-08-01,Monday,8.0278,1.717
Bangalore,ga23521,2022-08-02,Tuesday,29.4052,8.876999999999999
Chennai,mq18481,2022-08-02,Tuesday,36.859,10.013
Chennai,op18481,2022-08-02,Tuesday,27.3306,7.268
Mysore,uy26932,2022-08-02,Tuesday,20.0408,5.052
Bangalore,ga23521,2022-08-03,Wednesday,20.721400000000003,9.241
Bangalore,qw23521,2022-08-03,Wednesday,42.9516,16.704
Chennai,mq18481,2022-08-03,Wednesday,33.538,8.248000000000001
Chennai,op18481,2022-08-03,Wednesday,15.014199999999999,4.862
Mysore,uy26932,2022-08-03,Wednesday,33.661,11.074
Mysore,yt26932,2022-08-03,Wednesday,38.343199999999996,11.539
Bangalore,ga23521,2022-08-04,Thursday,11.3406,3.048
Bangalore,qw23521,2022-08-04,Thursday,11.8818,4.067
Chennai,mq18481,2022-08-04,Thursday,17.2282,4.8469999999999995
Chennai,op18481,2022-08-04,Thursday,6.510800000000001,4.082000000000001
Mysore,uy26932,2022-08-04,Thursday,13.5464,2.751
Mysore,yt26932,2022-08-04,Thursday,7.093,2.5469999999999997
Bangalore,ga23521,2022-08-05,Friday,29.479,9.553
Bangalore,qw23521,2022-08-05,Friday,39.0648,10.124
Chennai,mq18481,2022-08-05,Friday,39.1796,10.176
Chennai,op18481,2022-08-05,Friday,35.4486,11.556000000000001
Mysore,uy26932,2022-08-05,Friday,33.9152,12.546
Mysore,yt26932,2022-08-05,Friday,12.9314,3.8579999999999997
Bangalore,ga23521,2022-08-06,Saturday,26.9862,9.621
Bangalore,qw23521,2022-08-06,Saturday,12.144200000000001,4.646
Chennai,mq18481,2022-08-06,Saturday,21.525,4.33
Chennai,op18481,2022-08-06,Saturday,42.2546,12.147
Mysore,uy26932,2022-08-06,Saturday,4.0426,1.699
Mysore,yt26932,2022-08-06,Saturday,34.046400000000006,6.766
Bangalore,ga23521,2022-08-07,Sunday,23.665200000000002,7.702999999999999
Bangalore,qw23521,2022-08-07,Sunday,31.6274,10.849
Chennai,mq18481,2022-08-07,Sunday,24.0588,6.8309999999999995
Chennai,op18481,2022-08-07,Sunday,10.2582,4.416
Mysore,uy26932,2022-08-07,Sunday,28.175199999999997,7.657
Mysore,yt26932,2022-08-07,Sunday,53.086800000000004,16.709
Bangalore,ga23521,2022-08-08,Monday,16.1048,3.85
Bangalore,qw23521,2022-08-08,Monday,24.5016,8.427
Chennai,op18481,2022-08-08,Monday,37.5314,10.01
Mysore,uy26932,2022-08-08,Monday,19.8686,5.008
Mysore,yt26932,2022-08-08,Monday,18.0318,6.272
Bangalore,ga23521,2022-08-09,Tuesday,3.5096000000000003,1.125
Bangalore,qw23521,2022-08-09,Tuesday,7.503,1.766
Chennai,mq18481,2022-08-09,Tuesday,6.707599999999999,1.531
Chennai,op18481,2022-08-09,Tuesday,13.8006,4.759
Mysore,uy26932,2022-08-09,Tuesday,1.8450000000000002,1.259
Mysore,yt26932,2022-08-09,Tuesday,9.6104,3.8200000000000003
Bangalore,ga23521,2022-08-10,Wednesday,33.431400000000004,8.658
Bangalore,qw23521,2022-08-10,Wednesday,34.112,9.164
Chennai,mq18481,2022-08-10,Wednesday,31.1436,10.064
Chennai,op18481,2022-08-10,Wednesday,31.4962,11.962
Mysore,uy26932,2022-08-10,Wednesday,37.5068,15.286999999999999
Mysore,yt26932,2022-08-10,Wednesday,10.0942,3.0860000000000003
Bangalore,ga23521,2022-08-11,Thursday,51.7338,14.529
Bangalore,qw23521,2022-08-11,Thursday,9.8728,4.165
Chennai,mq18481,2022-08-11,Thursday,23.755399999999998,6.475
Chennai,op18481,2022-08-11,Thursday,26.3056,7.099
Mysore,uy26932,2022-08-11,Thursday,18.8846,4.433
Mysore,yt26932,2022-08-11,Thursday,7.8146,4.189
Bangalore,ga23521,2022-08-12,Friday,22.959999999999997,7.297
Bangalore,qw23521,2022-08-12,Friday,6.2894000000000005,3.123
Chennai,mq18481,2022-08-12,Friday,34.768,9.785
Chennai,op18481,2022-08-12,Friday,18.491,8.559000000000001
Mysore,uy26932,2022-08-12,Friday,5.822,2.858
Mysore,yt26932,2022-08-12,Friday,6.978199999999999,2.862
Bangalore,ga23521,2022-08-13,Saturday,12.013000000000002,5.54
Bangalore,qw23521,2022-08-13,Saturday,44.444,13.142
Chennai,mq18481,2022-08-13,Saturday,32.185,7.314
Chennai,op18481,2022-08-13,Saturday,17.4906,8.241
Mysore,uy26932,2022-08-13,Saturday,26.9288,11.921
Mysore,yt26932,2022-08-13,Saturday,34.464600000000004,13.581
Bangalore,ga23521,2022-08-14,Sunday,21.615199999999998,10.643
Bangalore,qw23521,2022-08-14,Sunday,49.1016,14.591
Chennai,mq18481,2022-08-14,Sunday,15.6374,5.573
Chennai,op18481,2022-08-14,Sunday,22.3122,6.441
Mysore,uy26932,2022-08-14,Sunday,24.1572,10.017
Mysore,yt26932,2022-08-14,Sunday,31.184600000000003,11.024000000000001
Bangalore,ga23521,2022-08-15,Monday,29.618399999999998,10.599
Bangalore,qw23521,2022-08-15,Monday,33.1362,12.382
Chennai,mq18481,2022-08-15,Monday,21.0166,7.799
Chennai,op18481,2022-08-15,Monday,40.335800000000006,11.833
Mysore,uy26932,2022-08-15,Monday,33.169,12.468
Mysore,yt26932,2022-08-15,Monday,52.7834,18.811
Bangalore,ga23521,2022-08-16,Tuesday,10.4878,2.643
Bangalore,qw23521,2022-08-16,Tuesday,2.6814,1.663
Chennai,mq18481,2022-08-16,Tuesday,20.0654,5.227
Chennai,op18481,2022-08-16,Tuesday,13.5874,7.235
Mysore,uy26932,2022-08-16,Tuesday,22.5664,8.434000000000001
Mysore,yt26932,2022-08-16,Tuesday,6.166399999999999,1.907
Bangalore,ga23521,2022-08-17,Wednesday,20.418,5.914
Bangalore,qw23521,2022-08-17,Wednesday,23.8292,7.953
Chennai,mq18481,2022-08-17,Wednesday,5.8712,1.249
Chennai,op18481,2022-08-17,Wednesday,39.745400000000004,10.873
Mysore,uy26932,2022-08-17,Wednesday,43.255,15.315
Mysore,yt26932,2022-08-17,Wednesday,28.208,9.38
Bangalore,qw23521,2022-08-18,Thursday,21.803800000000003,8.234
Chennai,mq18481,2022-08-18,Thursday,2.8044000000000002,1.702
Chennai,op18481,2022-08-18,Thursday,6.1172,1.739
Mysore,yt26932,2022-08-18,Thursday,23.132199999999997,7.55
Bangalore,ga23521,2022-08-19,Friday,15.2438,3.481
Chennai,op18481,2022-08-19,Friday,13.9236,4.8309999999999995
Mysore,uy26932,2022-08-19,Friday,18.6386,4.953
Mysore,yt26932,2022-08-19,Friday,15.1946,5.875
Bangalore,ga23521,2022-08-20,Saturday,35.6864,10.665000000000001
Bangalore,qw23521,2022-08-20,Saturday,32.0456,10.704
Chennai,mq18481,2022-08-20,Saturday,39.138600000000004,11.399
Chennai,op18481,2022-08-20,Saturday,34.2104,12.879999999999999
Mysore,uy26932,2022-08-20,Saturday,26.084200000000003,8.337
Mysore,yt26932,2022-08-20,Saturday,42.7302,13.738
Bangalore,ga23521,2022-08-21,Sunday,36.2522,13.885
Bangalore,qw23521,2022-08-21,Sunday,37.1378,9.056
Chennai,mq18481,2022-08-21,Sunday,9.651399999999999,4.974
Chennai,op18481,2022-08-21,Sunday,60.9178,16.929
Mysore,uy26932,2022-08-21,Sunday,22.6648,7.423
Mysore,yt26932,2022-08-21,Sunday,28.6098,13.257
Bangalore,ga23521,2022-08-22,Monday,24.550800000000002,7.557
Bangalore,qw23521,2022-08-22,Monday,8.9954,3.3369999999999997
Chennai,mq18481,2022-08-22,Monday,31.8816,6.718
Chennai,op18481,2022-08-22,Monday,3.444,1.163
Mysore,uy26932,2022-08-22,Monday,5.371,2.529
Mysore,yt26932,2022-08-22,Monday,9.02,4.156000000000001
Bangalore,qw23521,2022-08-23,Tuesday,16.0556,7.921
Chennai,mq18481,2022-08-23,Tuesday,19.3766,5.466
Chennai,op18481,2022-08-23,Tuesday,11.4062,3.895
Mysore,uy26932,2022-08-23,Tuesday,11.1028,2.413
Mysore,yt26932,2022-08-23,Tuesday,10.2418,4.289
Bangalore,ga23521,2022-08-24,Wednesday,26.1662,13.600999999999999
Bangalore,qw23521,2022-08-24,Wednesday,16.8018,6.633
Chennai,mq18481,2022-08-24,Wednesday,22.074399999999997,6.207
Chennai,op18481,2022-08-24,Wednesday,7.421000000000001,1.436
Mysore,uy26932,2022-08-24,Wednesday,19.967000000000002,4.148
Mysore,yt26932,2022-08-24,Wednesday,17.9826,6.694
Bangalore,ga23521,2022-08-25,Thursday,7.716200000000001,2.283
Bangalore,qw23521,2022-08-25,Thursday,15.416,4.311
Chennai,mq18481,2022-08-25,Thursday,7.503,2.9320000000000004
Chennai,op18481,2022-08-25,Thursday,13.899,3.966
Mysore,uy26932,2022-08-25,Thursday,10.7666,3.048
Mysore,yt26932,2022-08-25,Thursday,5.7318,3.722
Bangalore,ga23521,2022-08-26,Friday,12.1196,5.663
Bangalore,qw23521,2022-08-26,Friday,12.2098,7.711
Chennai,mq18481,2022-08-26,Friday,25.2478,9.31
Chennai,op18481,2022-08-26,Friday,40.007799999999996,9.533
Mysore,uy26932,2022-08-26,Friday,30.5286,11.572
Mysore,yt26932,2022-08-26,Friday,33.5544,13.763
Bangalore,ga23521,2022-08-27,Saturday,8.8888,3.5940000000000003
Bangalore,qw23521,2022-08-27,Saturday,9.5366,5.955
Chennai,mq18481,2022-08-27,Saturday,13.8826,5.214
Chennai,op18481,2022-08-27,Saturday,15.826,4.4079999999999995
Mysore,uy26932,2022-08-27,Saturday,21.771,7.558
Mysore,yt26932,2022-08-27,Saturday,12.4476,5.952999999999999
Bangalore,ga23521,2022-08-28,Sunday,31.7012,8.652
Bangalore,qw23521,2022-08-28,Sunday,35.6044,11.137
Chennai,mq18481,2022-08-28,Sunday,17.0724,6.577999999999999
Chennai,op18481,2022-08-28,Sunday,56.6292,15.425
Mysore,uy26932,2022-08-28,Sunday,21.32,5.412
Mysore,yt26932,2022-08-28,Sunday,20.7214,7.3100000000000005
Bangalore,ga23521,2022-08-29,Monday,19.7866,5.914
Bangalore,qw23521,2022-08-29,Monday,25.8874,6.702
Chennai,mq18481,2022-08-29,Monday,62.598800000000004,15.287
Chennai,op18481,2022-08-29,Monday,23.583199999999998,6.654999999999999
Mysore,uy26932,2022-08-29,Monday,27.4372,8.88
Mysore,yt26932,2022-08-29,Monday,35.6372,11.443
Bangalore,ga23521,2022-08-30,Tuesday,40.0078,12.786999999999999
Bangalore,qw23521,2022-08-30,Tuesday,36.4326,11.123
Chennai,mq18481,2022-08-30,Tuesday,27.9538,8.142
Chennai,op18481,2022-08-30,Tuesday,36.4326,12.186
Mysore,uy26932,2022-08-30,Tuesday,51.1762,13.867
Mysore,yt26932,2022-08-30,Tuesday,42.763,10.698
Bangalore,ga23521,2022-08-31,Wednesday,31.8324,8.627
Bangalore,qw23521,2022-08-31,Wednesday,16.8264,8.548
Chennai,mq18481,2022-08-31,Wednesday,41.1968,14.575
Chennai,op18481,2022-08-31,Wednesday,28.5032,8.323
Mysore,uy26932,2022-08-31,Wednesday,42.1562,14.711
Mysore,yt26932,2022-08-31,Wednesday,33.5544,12.251
