txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredkWh
Bangalore,ga23521,2022-12-01,Thursday,17.425,6.594
Bangalore,qw23521,2022-12-01,Thursday,42.3448,13.099
Chennai,mq18481,2022-12-01,Thursday,30.2744,8.923
Chennai,op18481,2022-12-01,Thursday,4.6166,1.344
Mysore,uy26932,2022-12-01,Thursday,23.8456,8.152
Mysore,yt26932,2022-12-01,Thursday,17.2118,5.420999999999999
Bangalore,ga23521,2022-12-02,Friday,30.299,11.243
Bangalore,qw23521,2022-12-02,Friday,49.683800000000005,15.706
Chennai,mq18481,2022-12-02,Friday,43.656800000000004,14.577
Chennai,op18481,2022-12-02,Friday,41.533,10.572
Mysore,uy26932,2022-12-02,Friday,43.3288,11.469
Mysore,yt26932,2022-12-02,Friday,36.6622,12.342
Bangalore,ga23521,2022-12-03,Saturday,18.983,7.7989999999999995
Bangalore,qw23521,2022-12-03,Saturday,39.6224,11.292
Chennai,mq18481,2022-12-03,Saturday,12.9314,5.423
Chennai,op18481,2022-12-03,Saturday,17.22,3.372
Mysore,uy26932,2022-12-03,Saturday,31.602800000000002,6.984999999999999
Mysore,yt26932,2022-12-03,Saturday,21.959600000000002,8.013
Bangalore,ga23521,2022-12-04,Sunday,27.0682,9.144
Bangalore,qw23521,2022-12-04,Sunday,54.693999999999996,15.568
Chennai,mq18481,2022-12-04,Sunday,11.2586,5.789
Chennai,op18481,2022-12-04,Sunday,26.9862,7.0329999999999995
Mysore,uy26932,2022-12-04,Sunday,37.1378,13.726
Mysore,yt26932,2022-12-04,Sunday,26.0678,9.461
Bangalore,ga23521,2022-12-05,Monday,23.288,6.841
Bangalore,qw23521,2022-12-05,Monday,15.0224,7.45
Chennai,mq18481,2022-12-05,Monday,53.013,14.148
Chennai,op18481,2022-12-05,Monday,8.954400000000001,3.02
Mysore,uy26932,2022-12-05,Monday,16.3508,7.713
Mysore,yt26932,2022-12-05,Monday,21.7546,5.563
Bangalore,ga23521,2022-12-06,Tuesday,24.149,9.83
Bangalore,qw23521,2022-12-06,Tuesday,10.7994,3.145
Chennai,mq18481,2022-12-06,Tuesday,4.8298000000000005,3.4610000000000003
Chennai,op18481,2022-12-06,Tuesday,3.3784,1.323
Mysore,uy26932,2022-12-06,Tuesday,13.735000000000001,4.851
Mysore,yt26932,2022-12-06,Tuesday,19.138799999999996,5.114
Bangalore,ga23521,2022-12-07,Wednesday,11.8572,2.675
Bangalore,qw23521,2022-12-07,Wednesday,15.6538,6.846
Chennai,mq18481,2022-12-07,Wednesday,10.9224,2.388
Chennai,op18481,2022-12-07,Wednesday,12.4968,3.426
Mysore,uy26932,2022-12-07,Wednesday,13.1938,4.774
Mysore,yt26932,2022-12-07,Wednesday,7.6916,3.1079999999999997
Bangalore,ga23521,2022-12-08,Thursday,25.9858,7.779999999999999
Bangalore,qw23521,2022-12-08,Thursday,9.6514,7.227
Chennai,mq18481,2022-12-08,Thursday,28.683600000000002,9.696
Chennai,op18481,2022-12-08,Thursday,58.466,17.253999999999998
Mysore,uy26932,2022-12-08,Thursday,18.7698,10.414
Mysore,yt26932,2022-12-08,Thursday,10.258199999999999,3.222
Bangalore,ga23521,2022-12-09,Friday,16.8592,4.209
Bangalore,qw23521,2022-12-09,Friday,6.781400000000001,5.371
Chennai,mq18481,2022-12-09,Friday,36.7278,12.381
Chennai,op18481,2022-12-09,Friday,14.2434,2.876
Mysore,uy26932,2022-12-09,Friday,38.4334,12.516
Mysore,yt26932,2022-12-09,Friday,29.224800000000002,8.904
Bangalore,ga23521,2022-12-10,Saturday,31.0616,6.775
Bangalore,qw23521,2022-12-10,Saturday,10.126999999999999,2.904
Chennai,mq18481,2022-12-10,Saturday,27.4454,6.344
Chennai,op18481,2022-12-10,Saturday,23.878400000000003,10.603
Mysore,uy26932,2022-12-10,Saturday,21.590600000000002,7.063000000000001
Mysore,yt26932,2022-12-10,Saturday,12.275400000000001,4.961
Bangalore,ga23521,2022-12-11,Sunday,24.231,10.25
Bangalore,qw23521,2022-12-11,Sunday,44.813,15.817
Chennai,mq18481,2022-12-11,Sunday,43.1238,11.225999999999999
Chennai,op18481,2022-12-11,Sunday,13.8252,5.511
Mysore,uy26932,2022-12-11,Sunday,56.4652,19.426
Mysore,yt26932,2022-12-11,Sunday,22.6894,9.452
Bangalore,qw23521,2022-12-12,Monday,18.86,6.993
Chennai,mq18481,2022-12-12,Monday,27.9374,6.339
Chennai,op18481,2022-12-12,Monday,40.5982,12.137
Mysore,uy26932,2022-12-12,Monday,7.216000000000001,1.944
Mysore,yt26932,2022-12-12,Monday,15.1208,4.002
Bangalore,ga23521,2022-12-13,Tuesday,11.455400000000001,2.718
Bangalore,qw23521,2022-12-13,Tuesday,5.1742,1.091
Chennai,mq18481,2022-12-13,Tuesday,1.1562000000000001,1.01
Chennai,op18481,2022-12-13,Tuesday,28.741,6.0760000000000005
Mysore,uy26932,2022-12-13,Tuesday,10.0286,3.004
Mysore,yt26932,2022-12-13,Tuesday,42.0496,9.728
Bangalore,ga23521,2022-12-14,Wednesday,56.0962,16.771
Bangalore,qw23521,2022-12-14,Wednesday,33.128,13.411
Chennai,mq18481,2022-12-14,Wednesday,15.6128,5.713
Chennai,op18481,2022-12-14,Wednesday,49.7576,17.145
Mysore,uy26932,2022-12-14,Wednesday,46.6334,12.782
Mysore,yt26932,2022-12-14,Wednesday,24.034200000000002,7.679
Bangalore,ga23521,2022-12-15,Thursday,20.836199999999998,7.8629999999999995
Bangalore,qw23521,2022-12-15,Thursday,40.2538,12.113
Chennai,mq18481,2022-12-15,Thursday,35.7438,13.977
Chennai,op18481,2022-12-15,Thursday,41.369,13.385
Mysore,uy26932,2022-12-15,Thursday,53.1442,18.137
Mysore,yt26932,2022-12-15,Thursday,18.942,5.165
Bangalore,ga23521,2022-12-16,Friday,47.8142,17.48
Bangalore,qw23521,2022-12-16,Friday,37.7364,12.801
Chennai,mq18481,2022-12-16,Friday,15.5472,4.3919999999999995
Chennai,op18481,2022-12-16,Friday,24.805,10.996
Mysore,uy26932,2022-12-16,Friday,16.8264,6.682
Mysore,yt26932,2022-12-16,Friday,42.9434,12.626
Bangalore,ga23521,2022-12-17,Saturday,20.253999999999998,4.824
Chennai,op18481,2022-12-17,Saturday,9.069200000000002,5.273
Mysore,uy26932,2022-12-17,Saturday,20.1228,6.492
Mysore,yt26932,2022-12-17,Saturday,12.0704,6.525
Bangalore,ga23521,2022-12-18,Sunday,67.33840000000001,17.961
Bangalore,qw23521,2022-12-18,Sunday,38.2366,9.376999999999999
Chennai,mq18481,2022-12-18,Sunday,18.195800000000002,12.479000000000001
Chennai,op18481,2022-12-18,Sunday,28.9788,8.131
Mysore,uy26932,2022-12-18,Sunday,29.2494,7.789
Mysore,yt26932,2022-12-18,Sunday,11.4062,4.857
Bangalore,ga23521,2022-12-19,Monday,50.4054,16.017
