txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredkWh
Bangalore,ga23521,2022-02-01,Tuesday,12.464,4.652
Bangalore,qw23521,2022-02-01,Tuesday,18.45,4.194
Chennai,mq18481,2022-02-01,Tuesday,15.916200000000002,5.131
Chennai,op18481,2022-02-01,Tuesday,6.6092,1.283
Mysore,uy26932,2022-02-01,Tuesday,26.6172,10.085
Mysore,yt26932,2022-02-01,Tuesday,23.4684,9.939
Bangalore,ga23521,2022-02-02,Wednesday,1.9762000000000002,1.402
Bangalore,qw23521,2022-02-02,Wednesday,13.3168,4.66
Chennai,mq18481,2022-02-02,Wednesday,14.719000000000001,3.501
Chennai,op18481,2022-02-02,Wednesday,26.2482,7.128
Mysore,uy26932,2022-02-02,Wednesday,4.9856,1.239
Mysore,yt26932,2022-02-02,Wednesday,32.0128,9.547
Bangalore,ga23521,2022-02-03,Thursday,39.6962,11.675
Bangalore,qw23521,2022-02-03,Thursday,58.0478,16.188
Chennai,mq18481,2022-02-03,Thursday,46.6498,14.868
Chennai,op18481,2022-02-03,Thursday,33.5134,12.345
Mysore,uy26932,2022-02-03,Thursday,22.1564,6.714
Mysore,yt26932,2022-02-03,Thursday,13.743200000000002,7.212
Bangalore,ga23521,2022-02-04,Friday,16.031,3.714
Bangalore,qw23521,2022-02-04,Friday,12.5952,4.81
Chennai,mq18481,2022-02-04,Friday,1.6481999999999999,1.54
Chennai,op18481,2022-02-04,Friday,7.6916,2.8689999999999998
Mysore,uy26932,2022-02-04,Friday,15.5882,2.8040000000000003
Mysore,yt26932,2022-02-04,Friday,13.3742,5.513
Bangalore,ga23521,2022-02-05,Saturday,63.6074,19.564
Bangalore,qw23521,2022-02-05,Saturday,19.065,7.711
Chennai,mq18481,2022-02-05,Saturday,13.7186,6.508
Chennai,op18481,2022-02-05,Saturday,33.5298,9.447
Mysore,uy26932,2022-02-05,Saturday,37.5478,14.648
Mysore,yt26932,2022-02-05,Saturday,24.927999999999997,11.474
Bangalore,ga23521,2022-02-06,Sunday,11.668600000000001,4.255
Bangalore,qw23521,2022-02-06,Sunday,37.0804,9.607
Chennai,mq18481,2022-02-06,Sunday,28.6918,10.474
Chennai,op18481,2022-02-06,Sunday,5.453,1.58
Mysore,uy26932,2022-02-06,Sunday,13.0134,4.183
Mysore,yt26932,2022-02-06,Sunday,28.9542,6.888
Bangalore,ga23521,2022-02-07,Monday,32.1276,11.369
Bangalore,qw23521,2022-02-07,Monday,32.636,13.77
Chennai,mq18481,2022-02-07,Monday,27.4536,10.386
Chennai,op18481,2022-02-07,Monday,8.3066,5.325
Mysore,uy26932,2022-02-07,Monday,29.208399999999997,9.684
Mysore,yt26932,2022-02-07,Monday,40.18,15.512
Bangalore,ga23521,2022-02-08,Tuesday,27.634,8.989
Bangalore,qw23521,2022-02-08,Tuesday,15.3094,4.718
Chennai,mq18481,2022-02-08,Tuesday,17.015,4.9559999999999995
Chennai,op18481,2022-02-08,Tuesday,22.2466,6.1129999999999995
Mysore,uy26932,2022-02-08,Tuesday,15.924400000000002,5.375
Mysore,yt26932,2022-02-08,Tuesday,21.0576,8.699
Bangalore,ga23521,2022-02-09,Wednesday,32.267,11.294
Bangalore,qw23521,2022-02-09,Wednesday,52.89,12.574
Chennai,mq18481,2022-02-09,Wednesday,17.63,7.991
Chennai,op18481,2022-02-09,Wednesday,50.4546,13.057
Mysore,uy26932,2022-02-09,Wednesday,49.6428,15.387
Mysore,yt26932,2022-02-09,Wednesday,26.9616,7.539000000000001
Bangalore,ga23521,2022-02-10,Thursday,24.5672,11.369
Bangalore,qw23521,2022-02-10,Thursday,23.1158,7.154
Chennai,mq18481,2022-02-10,Thursday,15.2028,4.235
Chennai,op18481,2022-02-10,Thursday,21.689,7.844
Mysore,uy26932,2022-02-10,Thursday,20.4508,8.393
Mysore,yt26932,2022-02-10,Thursday,27.4618,9.981
Bangalore,ga23521,2022-02-11,Friday,36.859,12.017
Bangalore,qw23521,2022-02-11,Friday,25.1494,7.818
Chennai,mq18481,2022-02-11,Friday,32.3572,10.353
Chennai,op18481,2022-02-11,Friday,15.899799999999999,4.088
Mysore,uy26932,2022-02-11,Friday,25.543,15.214
Mysore,yt26932,2022-02-11,Friday,24.0588,7.096
Bangalore,ga23521,2022-02-12,Saturday,32.4392,12.389
Bangalore,qw23521,2022-02-12,Saturday,55.4976,13.62
Chennai,mq18481,2022-02-12,Saturday,50.2824,14.845
Chennai,op18481,2022-02-12,Saturday,25.133000000000003,7.0920000000000005
Mysore,uy26932,2022-02-12,Saturday,16.5558,5.881
Mysore,yt26932,2022-02-12,Saturday,18.9174,9.267
Bangalore,ga23521,2022-02-13,Sunday,20.2212,6.732
Bangalore,qw23521,2022-02-13,Sunday,15.4816,4.522
Chennai,mq18481,2022-02-13,Sunday,34.0792,10.719
Chennai,op18481,2022-02-13,Sunday,15.3586,4.822
Mysore,uy26932,2022-02-13,Sunday,20.295,5.953
Mysore,yt26932,2022-02-13,Sunday,13.899,6.288
Chennai,mq18481,2022-02-14,Monday,7.093,1.542
Chennai,op18481,2022-02-14,Monday,10.9962,3.718
Mysore,uy26932,2022-02-14,Monday,23.247,6.112
Mysore,yt26932,2022-02-14,Monday,9.028200000000002,3.503
Bangalore,ga23521,2022-02-15,Tuesday,35.5634,10.121
Bangalore,qw23521,2022-02-15,Tuesday,16.4656,6.0600000000000005
Chennai,mq18481,2022-02-15,Tuesday,49.323,14.701
Chennai,op18481,2022-02-15,Tuesday,19.6554,11.968
Mysore,uy26932,2022-02-15,Tuesday,42.9598,14.465
Mysore,yt26932,2022-02-15,Tuesday,40.065200000000004,10.435
Bangalore,ga23521,2022-02-16,Wednesday,28.372,12.122
Bangalore,qw23521,2022-02-16,Wednesday,53.086800000000004,15.721
Chennai,mq18481,2022-02-16,Wednesday,28.6344,8.895
Chennai,op18481,2022-02-16,Wednesday,19.7702,6.209
Mysore,uy26932,2022-02-16,Wednesday,17.6628,5.926
Mysore,yt26932,2022-02-16,Wednesday,43.6322,11.197000000000001
Bangalore,ga23521,2022-02-17,Thursday,37.9414,12.455
Bangalore,qw23521,2022-02-17,Thursday,50.881,17.076
Chennai,mq18481,2022-02-17,Thursday,30.4384,13.545
Chennai,op18481,2022-02-17,Thursday,34.4482,9.093
Mysore,uy26932,2022-02-17,Thursday,22.509,5.449999999999999
Mysore,yt26932,2022-02-17,Thursday,15.3832,6.176
Bangalore,ga23521,2022-02-18,Friday,12.1934,2.919
Bangalore,qw23521,2022-02-18,Friday,7.6342,3.295
Chennai,mq18481,2022-02-18,Friday,9.011800000000001,3.203
Chennai,op18481,2022-02-18,Friday,18.3188,6.11
Mysore,uy26932,2022-02-18,Friday,21.0002,8.058
Mysore,yt26932,2022-02-18,Friday,18.4254,6.136
Bangalore,ga23521,2022-02-19,Saturday,23.8702,6.598
Bangalore,qw23521,2022-02-19,Saturday,33.4806,8.3
Chennai,mq18481,2022-02-19,Saturday,5.3136,1.883
Chennai,op18481,2022-02-19,Saturday,14.4566,6.741
Mysore,uy26932,2022-02-19,Saturday,22.763199999999998,5.421
Mysore,yt26932,2022-02-19,Saturday,5.051200000000001,3.649
Bangalore,ga23521,2022-02-20,Sunday,24.7804,10.082
Bangalore,qw23521,2022-02-20,Sunday,10.8568,5.054
Chennai,mq18481,2022-02-20,Sunday,9.3316,2.811
Chennai,op18481,2022-02-20,Sunday,14.6124,4.133
Mysore,uy26932,2022-02-20,Sunday,20.0736,7.865
Mysore,yt26932,2022-02-20,Sunday,6.2402,2.582
Bangalore,ga23521,2022-02-21,Monday,3.4686000000000003,1.254
Bangalore,qw23521,2022-02-21,Monday,6.1336,1.998
Chennai,mq18481,2022-02-21,Monday,2.4026,1.447
Chennai,op18481,2022-02-21,Monday,15.2848,3.383
Mysore,uy26932,2022-02-21,Monday,18.9092,3.9779999999999998
Mysore,yt26932,2022-02-21,Monday,18.474600000000002,6.212
Bangalore,ga23521,2022-02-22,Tuesday,6.2074,3.2800000000000002
Bangalore,qw23521,2022-02-22,Tuesday,11.726,3.133
Chennai,mq18481,2022-02-22,Tuesday,7.5194,1.88
Chennai,op18481,2022-02-22,Tuesday,3.7965999999999998,1.882
Mysore,uy26932,2022-02-22,Tuesday,5.9286,1.07
Mysore,yt26932,2022-02-22,Tuesday,18.4664,4.662
Bangalore,ga23521,2022-02-23,Wednesday,37.9168,11.468
Bangalore,qw23521,2022-02-23,Wednesday,20.2868,5.867
Chennai,mq18481,2022-02-23,Wednesday,20.91,10.09
Chennai,op18481,2022-02-23,Wednesday,34.0628,9.11
Mysore,uy26932,2022-02-23,Wednesday,17.6874,6.094
Mysore,yt26932,2022-02-23,Wednesday,29.684,9.132
Bangalore,ga23521,2022-02-24,Thursday,16.2524,7.811
Bangalore,qw23521,2022-02-24,Thursday,12.9478,4.965
Chennai,mq18481,2022-02-24,Thursday,43.4928,10.629
Chennai,op18481,2022-02-24,Thursday,6.8224,2.979
Mysore,uy26932,2022-02-24,Thursday,25.1412,11.626
Mysore,yt26932,2022-02-24,Thursday,20.746000000000002,7.073
Bangalore,ga23521,2022-02-25,Friday,18.7288,5.477
Bangalore,qw23521,2022-02-25,Friday,36.0062,10.732
Chennai,mq18481,2022-02-25,Friday,17.9088,6.292
Chennai,op18481,2022-02-25,Friday,15.416000000000002,8.466
Mysore,uy26932,2022-02-25,Friday,20.2048,6.59
Mysore,yt26932,2022-02-25,Friday,12.3082,2.872
Bangalore,ga23521,2022-02-26,Saturday,21.8366,3.678
Bangalore,qw23521,2022-02-26,Saturday,15.2848,7.143000000000001
Chennai,mq18481,2022-02-26,Saturday,16.974,5.537
Chennai,op18481,2022-02-26,Saturday,30.946800000000003,7.88
Mysore,uy26932,2022-02-26,Saturday,5.1331999999999995,1.172
Mysore,yt26932,2022-02-26,Saturday,11.865400000000001,3.399
Bangalore,ga23521,2022-02-27,Sunday,26.199,9.45
Bangalore,qw23521,2022-02-27,Sunday,46.0676,14.35
Chennai,mq18481,2022-02-27,Sunday,17.1298,8.359
Chennai,op18481,2022-02-27,Sunday,28.987,12.133
Mysore,uy26932,2022-02-27,Sunday,21.5004,6.189
Mysore,yt26932,2022-02-27,Sunday,29.1182,9.283
Bangalore,ga23521,2022-02-28,Monday,60.7128,20.093
Bangalore,qw23521,2022-02-28,Monday,23.7472,5.444
Chennai,mq18481,2022-02-28,Monday,30.8402,10.967
Chennai,op18481,2022-02-28,Monday,45.952799999999996,15.596
Mysore,uy26932,2022-02-28,Monday,40.5736,11.48
Mysore,yt26932,2022-02-28,Monday,37.925,12.654
