txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredkWh
Bangalore,ga23521,2022-01-01,Saturday,7.3964,1.271
Bangalore,qw23521,2022-01-01,Saturday,16.793599999999998,5.8420000000000005
Chennai,mq18481,2022-01-01,Saturday,5.5022,1.748
Chennai,op18481,2022-01-01,Saturday,10.537,2.485
Mysore,uy26932,2022-01-01,Saturday,2.5420000000000003,1.34
Mysore,yt26932,2022-01-01,Saturday,25.502000000000002,7.87
Bangalore,ga23521,2022-01-02,Sunday,22.156399999999998,8.486
Bangalore,qw23521,2022-01-02,Sunday,29.52,14.573
Chennai,mq18481,2022-01-02,Sunday,11.422600000000001,4.93
Chennai,op18481,2022-01-02,Sunday,39.138600000000004,15.108
Mysore,uy26932,2022-01-02,Sunday,32.4802,14.084
Mysore,yt26932,2022-01-02,Sunday,35.055,11.272
Bangalore,ga23521,2022-01-03,Monday,17.6956,8.124
Bangalore,qw23521,2022-01-03,Monday,25.3052,6.862
Chennai,mq18481,2022-01-03,Monday,30.028399999999998,12.862
Chennai,op18481,2022-01-03,Monday,64.6652,19.679
Mysore,uy26932,2022-01-03,Monday,43.1894,13.718
Mysore,yt26932,2022-01-03,Monday,14.587799999999998,2.6500000000000004
Bangalore,ga23521,2022-01-04,Tuesday,31.7668,9.733
Bangalore,qw23521,2022-01-04,Tuesday,15.211,5.712
Chennai,mq18481,2022-01-04,Tuesday,37.1624,11.194
Chennai,op18481,2022-01-04,Tuesday,24.2064,7.813000000000001
Mysore,uy26932,2022-01-04,Tuesday,25.4528,5.527
Mysore,yt26932,2022-01-04,Tuesday,42.5826,14.902000000000001
Bangalore,ga23521,2022-01-05,Wednesday,48.880199999999995,15.186
Bangalore,qw23521,2022-01-05,Wednesday,40.508,12.602
Chennai,mq18481,2022-01-05,Wednesday,31.3814,13.525
Chennai,op18481,2022-01-05,Wednesday,26.002200000000002,6.464
Mysore,uy26932,2022-01-05,Wednesday,15.120800000000001,5.438
Mysore,yt26932,2022-01-05,Wednesday,48.7244,13.025
Bangalore,ga23521,2022-01-06,Thursday,24.6574,13.32
Bangalore,qw23521,2022-01-06,Thursday,16.8674,4.274
Chennai,mq18481,2022-01-06,Thursday,33.3904,9.227
Chennai,op18481,2022-01-06,Thursday,42.385799999999996,15.943999999999999
Mysore,uy26932,2022-01-06,Thursday,42.64,9.6
Mysore,yt26932,2022-01-06,Thursday,22.9354,8.246
Bangalore,ga23521,2022-01-07,Friday,24.3704,11.804
Bangalore,qw23521,2022-01-07,Friday,12.6116,3.024
Chennai,mq18481,2022-01-07,Friday,17.384,6.109
Chennai,op18481,2022-01-07,Friday,6.928999999999999,3.221
Mysore,uy26932,2022-01-07,Friday,15.539000000000001,4.268
Mysore,yt26932,2022-01-07,Friday,5.4038,2.701
Bangalore,ga23521,2022-01-08,Saturday,27.5192,8.914
Bangalore,qw23521,2022-01-08,Saturday,23.165,9.634
Chennai,mq18481,2022-01-08,Saturday,30.044800000000002,7.8260000000000005
Chennai,op18481,2022-01-08,Saturday,25.272399999999998,9.43
Mysore,uy26932,2022-01-08,Saturday,19.0158,9.776
Mysore,yt26932,2022-01-08,Saturday,42.123400000000004,12.583
Bangalore,ga23521,2022-01-09,Sunday,2.0254000000000003,1.722
Bangalore,qw23521,2022-01-09,Sunday,15.2028,5.677
Chennai,mq18481,2022-01-09,Sunday,21.238,8.993
Chennai,op18481,2022-01-09,Sunday,22.910800000000002,9.929
Mysore,uy26932,2022-01-09,Sunday,5.5596000000000005,1.929
Mysore,yt26932,2022-01-09,Sunday,40.1882,12.979
Bangalore,ga23521,2022-01-10,Monday,19.0404,5.662
Bangalore,qw23521,2022-01-10,Monday,20.180200000000003,5.427
Chennai,mq18481,2022-01-10,Monday,13.4562,4.236
Chennai,op18481,2022-01-10,Monday,17.867800000000003,4.97
Mysore,uy26932,2022-01-10,Monday,19.6062,7.8229999999999995
Mysore,yt26932,2022-01-10,Monday,14.071200000000001,2.591
Bangalore,ga23521,2022-01-11,Tuesday,10.061399999999999,3.185
Bangalore,qw23521,2022-01-11,Tuesday,13.5464,7.102
Chennai,mq18481,2022-01-11,Tuesday,19.2454,6.167
Chennai,op18481,2022-01-11,Tuesday,8.7248,4.937
Mysore,uy26932,2022-01-11,Tuesday,21.525000000000002,9.552
Mysore,yt26932,2022-01-11,Tuesday,3.9606000000000003,1.791
Bangalore,ga23521,2022-01-12,Wednesday,10.1188,3.1109999999999998
Bangalore,qw23521,2022-01-12,Wednesday,10.479600000000001,3.347
Chennai,mq18481,2022-01-12,Wednesday,8.0032,4.476
Chennai,op18481,2022-01-12,Wednesday,6.0024,1.977
Mysore,uy26932,2022-01-12,Wednesday,23.4602,6.432
Mysore,yt26932,2022-01-12,Wednesday,10.126999999999999,2.873
Bangalore,ga23521,2022-01-13,Thursday,28.0768,10.38
Bangalore,qw23521,2022-01-13,Thursday,32.2424,15.032
Chennai,mq18481,2022-01-13,Thursday,28.946,8.263
Chennai,op18481,2022-01-13,Thursday,7.7326,2.989
Mysore,uy26932,2022-01-13,Thursday,36.039,9.63
Mysore,yt26932,2022-01-13,Thursday,30.8402,9.011
Bangalore,ga23521,2022-01-14,Friday,22.14,5.556
Bangalore,qw23521,2022-01-14,Friday,21.7792,8.283999999999999
Chennai,mq18481,2022-01-14,Friday,9.758000000000001,3.503
Chennai,op18481,2022-01-14,Friday,22.681200000000004,8.39
Mysore,uy26932,2022-01-14,Friday,12.726399999999998,3.33
Mysore,yt26932,2022-01-14,Friday,11.029,2.572
Bangalore,ga23521,2022-01-15,Saturday,35.4322,10.185
Bangalore,qw23521,2022-01-15,Saturday,19.2536,8.272
