txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredkWh
Bangalore,ga23521,2022-06-01,Wednesday,28.273600000000002,7.636
Bangalore,qw23521,2022-06-01,Wednesday,16.0146,8.872
Chennai,mq18481,2022-06-01,Wednesday,22.3532,7.982
Chennai,op18481,2022-06-01,Wednesday,38.9828,11.483
Mysore,uy26932,2022-06-01,Wednesday,18.7862,6.4830000000000005
Mysore,yt26932,2022-06-01,Wednesday,28.511400000000002,8.513
Bangalore,ga23521,2022-06-02,Thursday,10.3402,4.617
Bangalore,qw23521,2022-06-02,Thursday,19.3438,7.35
Chennai,mq18481,2022-06-02,Thursday,32.8246,10.379
Chennai,op18481,2022-06-02,Thursday,6.0762,1.703
Mysore,uy26932,2022-06-02,Thursday,5.4037999999999995,3.464
Mysore,yt26932,2022-06-02,Thursday,15.293,4.76
Bangalore,ga23521,2022-06-03,Friday,5.2316,1.424
Bangalore,qw23521,2022-06-03,Friday,11.8818,4.445
Chennai,mq18481,2022-06-03,Friday,20.401600000000002,5.795999999999999
Chennai,op18481,2022-06-03,Friday,3.5669999999999997,1.347
Mysore,uy26932,2022-06-03,Friday,26.477800000000002,8.02
Mysore,yt26932,2022-06-03,Friday,35.3174,11.183
Bangalore,qw23521,2022-06-04,Saturday,19.516,7.545
Chennai,mq18481,2022-06-04,Saturday,20.8034,7.0280000000000005
Chennai,op18481,2022-06-04,Saturday,11.9146,8.094
Mysore,uy26932,2022-06-04,Saturday,33.9808,12.363999999999999
Mysore,yt26932,2022-06-04,Saturday,5.0512,3.059
Bangalore,ga23521,2022-06-05,Sunday,13.6694,3.854
Bangalore,qw23521,2022-06-05,Sunday,31.406,10.452
Chennai,mq18481,2022-06-05,Sunday,22.172800000000002,6.575
Chennai,op18481,2022-06-05,Sunday,17.2036,4.448
Mysore,uy26932,2022-06-05,Sunday,18.581200000000003,6.476
Mysore,yt26932,2022-06-05,Sunday,22.689400000000003,8.138
Bangalore,ga23521,2022-06-06,Monday,37.2854,12.558
Bangalore,qw23521,2022-06-06,Monday,41.574,14.447000000000001
Chennai,mq18481,2022-06-06,Monday,51.5042,14.472
