txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredkWh
Bangalore,ga23521,2022-03-01,Tuesday,2.1156,1.5
Bangalore,qw23521,2022-03-01,Tuesday,5.789199999999999,3.367
Chennai,mq18481,2022-03-01,Tuesday,13.259400000000001,6.008
Chennai,op18481,2022-03-01,Tuesday,10.676400000000001,2.364
Mysore,yt26932,2022-03-01,Tuesday,11.1602,2.904
Bangalore,ga23521,2022-03-02,Wednesday,43.009,10.413
Bangalore,qw23521,2022-03-02,Wednesday,13.0216,4.0809999999999995
Chennai,mq18481,2022-03-02,Wednesday,11.3898,4.0329999999999995
Chennai,op18481,2022-03-02,Wednesday,31.8898,10.702
Mysore,uy26932,2022-03-02,Wednesday,20.6312,6.187
Mysore,yt26932,2022-03-02,Wednesday,42.672799999999995,16.764
Bangalore,ga23521,2022-03-03,Thursday,5.3792,1.482
Bangalore,qw23521,2022-03-03,Thursday,36.6458,12.814
Chennai,mq18481,2022-03-03,Thursday,19.6718,5.324
Chennai,op18481,2022-03-03,Thursday,16.4656,6.181
Mysore,uy26932,2022-03-03,Thursday,19.0896,3.537
Mysore,yt26932,2022-03-03,Thursday,14.9322,5.725
Bangalore,ga23521,2022-03-04,Friday,2.8208,2.37
Bangalore,qw23521,2022-03-04,Friday,12.463999999999999,3.0970000000000004
Chennai,mq18481,2022-03-04,Friday,9.175799999999999,4.31
Chennai,op18481,2022-03-04,Friday,5.986,1.756
Mysore,uy26932,2022-03-04,Friday,13.521799999999999,3.495
Mysore,yt26932,2022-03-04,Friday,8.7822,2.9370000000000003
Bangalore,ga23521,2022-03-05,Saturday,19.7948,7.375
Bangalore,qw23521,2022-03-05,Saturday,6.765,2.838
Chennai,mq18481,2022-03-05,Saturday,15.8096,3.828
Chennai,op18481,2022-03-05,Saturday,26.223599999999998,9.67
Mysore,uy26932,2022-03-05,Saturday,35.0304,12.979
Mysore,yt26932,2022-03-05,Saturday,25.297,9.993
Bangalore,ga23521,2022-03-06,Sunday,37.867599999999996,15.058
Bangalore,qw23521,2022-03-06,Sunday,27.5848,9.200000000000001
Chennai,mq18481,2022-03-06,Sunday,11.832600000000001,5.045
Chennai,op18481,2022-03-06,Sunday,61.3442,19.283
Mysore,uy26932,2022-03-06,Sunday,38.9336,13.682
Mysore,yt26932,2022-03-06,Sunday,15.448799999999999,7.211
Bangalore,ga23521,2022-03-07,Monday,13.948199999999998,2.633
Bangalore,qw23521,2022-03-07,Monday,5.3546,3.471
Chennai,mq18481,2022-03-07,Monday,13.095400000000001,6.627
Chennai,op18481,2022-03-07,Monday,21.7218,8.362
Mysore,uy26932,2022-03-07,Monday,26.035,4.58
Mysore,yt26932,2022-03-07,Monday,31.0862,9.752
Bangalore,ga23521,2022-03-08,Tuesday,29.1346,11.3
Bangalore,qw23521,2022-03-08,Tuesday,60.0568,20.415
Chennai,mq18481,2022-03-08,Tuesday,11.8162,4.152
Chennai,op18481,2022-03-08,Tuesday,19.4422,4.742
Mysore,uy26932,2022-03-08,Tuesday,26.1252,10.305
Mysore,yt26932,2022-03-08,Tuesday,32.1522,10.303
Bangalore,ga23521,2022-03-09,Wednesday,30.0612,10.494
Bangalore,qw23521,2022-03-09,Wednesday,7.8637999999999995,2.779
Chennai,mq18481,2022-03-09,Wednesday,2.3616,1.801
Chennai,op18481,2022-03-09,Wednesday,22.1236,7.67
Mysore,uy26932,2022-03-09,Wednesday,10.9224,3.948
Mysore,yt26932,2022-03-09,Wednesday,13.0134,2.938
Bangalore,ga23521,2022-03-10,Thursday,16.4902,3.86
Bangalore,qw23521,2022-03-10,Thursday,20.253999999999998,4.3
Chennai,mq18481,2022-03-10,Thursday,3.1816,1.501
Chennai,op18481,2022-03-10,Thursday,11.488199999999999,4.421
Mysore,uy26932,2022-03-10,Thursday,8.5198,2.678
Mysore,yt26932,2022-03-10,Thursday,3.895,1.617
Bangalore,ga23521,2022-03-11,Friday,13.530000000000001,2.8609999999999998
Bangalore,qw23521,2022-03-11,Friday,9.5448,3.364
Chennai,mq18481,2022-03-11,Friday,10.6518,2.468
Chennai,op18481,2022-03-11,Friday,3.8704,1.866
Mysore,uy26932,2022-03-11,Friday,14.9896,2.6689999999999996
Mysore,yt26932,2022-03-11,Friday,6.6338,3.196
Bangalore,ga23521,2022-03-12,Saturday,8.2574,2.237
Bangalore,qw23521,2022-03-12,Saturday,24.6,7.002000000000001
Chennai,mq18481,2022-03-12,Saturday,9.5694,4.187
Chennai,op18481,2022-03-12,Saturday,13.866200000000001,5.195
Mysore,uy26932,2022-03-12,Saturday,27.429,9.47
Mysore,yt26932,2022-03-12,Saturday,22.3286,7.0889999999999995
Bangalore,ga23521,2022-03-13,Sunday,25.7316,5.096
Bangalore,qw23521,2022-03-13,Sunday,30.2252,8.665
Chennai,mq18481,2022-03-13,Sunday,39.220600000000005,12.713000000000001
