txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredkWh
Bangalore,ga23521,2022-05-01,Sunday,9.0118,2.2030000000000003
Bangalore,qw23521,2022-05-01,Sunday,23.1978,7.031000000000001
Chennai,mq18481,2022-05-01,Sunday,47.9536,11.357
Chennai,op18481,2022-05-01,Sunday,8.921600000000002,4.785
Mysore,uy26932,2022-05-01,Sunday,21.0986,4.748
Mysore,yt26932,2022-05-01,Sunday,7.175,1.769
Bangalore,ga23521,2022-05-02,Monday,7.8637999999999995,2.505
Bangalore,qw23521,2022-05-02,Monday,12.2098,2.543
Chennai,mq18481,2022-05-02,Monday,15.785,5.3740000000000006
Chennai,op18481,2022-05-02,Monday,6.871600000000001,1.596
Mysore,uy26932,2022-05-02,Monday,9.626800000000001,2.952
Mysore,yt26932,2022-05-02,Monday,13.0134,3.476
Bangalore,ga23521,2022-05-03,Tuesday,11.8818,4.71
Bangalore,qw23521,2022-05-03,Tuesday,21.4922,6.736
Chennai,op18481,2022-05-03,Tuesday,12.258999999999999,4.545999999999999
Mysore,uy26932,2022-05-03,Tuesday,33.2264,11.225
Mysore,yt26932,2022-05-03,Tuesday,25.215,7.255
Bangalore,ga23521,2022-05-04,Wednesday,22.591,8.411
Bangalore,qw23521,2022-05-04,Wednesday,24.0752,6.056
Chennai,mq18481,2022-05-04,Wednesday,16.8674,6.619
Chennai,op18481,2022-05-04,Wednesday,28.380200000000002,11.376
Mysore,uy26932,2022-05-04,Wednesday,24.969,7.691000000000001
Mysore,yt26932,2022-05-04,Wednesday,30.2498,6.376
Bangalore,ga23521,2022-05-05,Thursday,31.4962,10.296
Bangalore,qw23521,2022-05-05,Thursday,39.9504,15.131
Chennai,mq18481,2022-05-05,Thursday,34.727,11.338
Chennai,op18481,2022-05-05,Thursday,21.8202,7.005
Mysore,uy26932,2022-05-05,Thursday,47.223800000000004,14.049
Mysore,yt26932,2022-05-05,Thursday,32.5294,10.838000000000001
Bangalore,ga23521,2022-05-06,Friday,6.1254,1.095
Bangalore,qw23521,2022-05-06,Friday,13.3906,3.194
Chennai,mq18481,2022-05-06,Friday,27.5028,9.878
Chennai,op18481,2022-05-06,Friday,18.3434,7.906
Mysore,uy26932,2022-05-06,Friday,10.3156,3.0949999999999998
Mysore,yt26932,2022-05-06,Friday,27.8472,8.376999999999999
Bangalore,ga23521,2022-05-07,Saturday,2.6732,3.4859999999999998
Bangalore,qw23521,2022-05-07,Saturday,15.6784,6.058
Chennai,mq18481,2022-05-07,Saturday,17.9662,6.016
Chennai,op18481,2022-05-07,Saturday,18.45,3.35
Mysore,uy26932,2022-05-07,Saturday,17.22,7.208
Mysore,yt26932,2022-05-07,Saturday,26.9206,7.265000000000001
Bangalore,ga23521,2022-05-08,Sunday,12.6936,4.49
Bangalore,qw23521,2022-05-08,Sunday,23.616,7.62
Chennai,mq18481,2022-05-08,Sunday,24.7312,5.188000000000001
Chennai,op18481,2022-05-08,Sunday,6.937200000000001,3.191
Mysore,uy26932,2022-05-08,Sunday,22.1072,4.877
Mysore,yt26932,2022-05-08,Sunday,34.563,10.828
Bangalore,ga23521,2022-05-09,Monday,32.964,9.229
Bangalore,qw23521,2022-05-09,Monday,35.178,12.123
Chennai,mq18481,2022-05-09,Monday,36.1128,10.435
Chennai,op18481,2022-05-09,Monday,39.4666,16.556
Mysore,uy26932,2022-05-09,Monday,37.2444,15.339
Mysore,yt26932,2022-05-09,Monday,35.137,10.165000000000001
Bangalore,ga23521,2022-05-10,Tuesday,11.9392,2.632
Bangalore,qw23521,2022-05-10,Tuesday,18.5074,7.599
Chennai,mq18481,2022-05-10,Tuesday,23.8702,7.636
Chennai,op18481,2022-05-10,Tuesday,10.979800000000001,3.193
Mysore,uy26932,2022-05-10,Tuesday,40.5736,12.647
Mysore,yt26932,2022-05-10,Tuesday,23.041999999999998,6.904
Bangalore,ga23521,2022-05-11,Wednesday,37.0722,13.927
Bangalore,qw23521,2022-05-11,Wednesday,4.7068,1.781
Chennai,mq18481,2022-05-11,Wednesday,27.7652,9.68
Chennai,op18481,2022-05-11,Wednesday,40.0488,15.013
Mysore,uy26932,2022-05-11,Wednesday,18.204,5.253
Mysore,yt26932,2022-05-11,Wednesday,32.488400000000006,8.771
Bangalore,ga23521,2022-05-12,Thursday,8.683800000000002,3.136
Bangalore,qw23521,2022-05-12,Thursday,8.856,4.291
Chennai,mq18481,2022-05-12,Thursday,12.2426,4.398
Chennai,op18481,2022-05-12,Thursday,9.717,5.241
Mysore,uy26932,2022-05-12,Thursday,11.8736,2.638
Mysore,yt26932,2022-05-12,Thursday,15.7768,5.692
Bangalore,ga23521,2022-05-13,Friday,15.3996,5.992
Bangalore,qw23521,2022-05-13,Friday,39.073,13.517
Chennai,mq18481,2022-05-13,Friday,56.0552,13.454
Chennai,op18481,2022-05-13,Friday,22.7796,8.393
Mysore,uy26932,2022-05-13,Friday,26.0596,8.972
Mysore,yt26932,2022-05-13,Friday,31.283,8.998
Bangalore,ga23521,2022-05-14,Saturday,26.3384,12.479
Bangalore,qw23521,2022-05-14,Saturday,25.5512,7.221
Chennai,mq18481,2022-05-14,Saturday,24.6492,7.701
Chennai,op18481,2022-05-14,Saturday,34.169399999999996,14.172
Mysore,uy26932,2022-05-14,Saturday,14.5878,4.5329999999999995
Mysore,yt26932,2022-05-14,Saturday,20.032600000000002,6.866
Bangalore,ga23521,2022-05-15,Sunday,32.7836,11.813
