txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredkWh
Bangalore,ga23521,2022-11-01,Tuesday,9.717,7.281
Bangalore,qw23521,2022-11-01,Tuesday,29.5364,5.617
Chennai,mq18481,2022-11-01,Tuesday,1.2710000000000001,1.579
Chennai,op18481,2022-11-01,Tuesday,12.341000000000001,3.3600000000000003
Mysore,uy26932,2022-11-01,Tuesday,6.8962,1.151
Mysore,yt26932,2022-11-01,Tuesday,1.599,1.393
Bangalore,ga23521,2022-11-02,Wednesday,9.175799999999999,4.652
Bangalore,qw23521,2022-11-02,Wednesday,13.6776,3.856
Chennai,mq18481,2022-11-02,Wednesday,8.692,4.89
Chennai,op18481,2022-11-02,Wednesday,7.429200000000001,1.843
Mysore,uy26932,2022-11-02,Wednesday,28.3474,10.303
Mysore,yt26932,2022-11-02,Wednesday,10.815800000000001,3.545
Bangalore,ga23521,2022-11-03,Thursday,14.3254,5.98
Bangalore,qw23521,2022-11-03,Thursday,29.5938,7.923
Chennai,mq18481,2022-11-03,Thursday,23.394599999999997,6.995
Chennai,op18481,2022-11-03,Thursday,25.8464,6.236
Mysore,uy26932,2022-11-03,Thursday,41.6068,17.133
Mysore,yt26932,2022-11-03,Thursday,18.843600000000002,7.574
Bangalore,ga23521,2022-11-04,Friday,14.7354,2.963
Bangalore,qw23521,2022-11-04,Friday,19.7866,9.763
Chennai,mq18481,2022-11-04,Friday,46.7564,12.139
Chennai,op18481,2022-11-04,Friday,16.892,6.39
Mysore,uy26932,2022-11-04,Friday,18.7534,6.161
Mysore,yt26932,2022-11-04,Friday,30.2662,9.927
Bangalore,ga23521,2022-11-05,Saturday,13.7514,3.796
Bangalore,qw23521,2022-11-05,Saturday,8.921600000000002,4.817
Chennai,mq18481,2022-11-05,Saturday,6.1992,3.761
Chennai,op18481,2022-11-05,Saturday,23.173199999999998,6.804
Mysore,uy26932,2022-11-05,Saturday,35.833999999999996,10.863
Mysore,yt26932,2022-11-05,Saturday,11.127400000000002,3.2880000000000003
Bangalore,ga23521,2022-11-06,Sunday,12.636199999999999,3.749
Bangalore,qw23521,2022-11-06,Sunday,22.263,6.21
Chennai,mq18481,2022-11-06,Sunday,21.6316,5.168
Chennai,op18481,2022-11-06,Sunday,17.9252,3.915
Mysore,uy26932,2022-11-06,Sunday,4.9446,1.371
Mysore,yt26932,2022-11-06,Sunday,6.7568,1.214
Bangalore,ga23521,2022-11-07,Monday,20.3278,4.9399999999999995
Bangalore,qw23521,2022-11-07,Monday,11.963799999999999,4.601
Chennai,mq18481,2022-11-07,Monday,22.6894,7.5969999999999995
Chennai,op18481,2022-11-07,Monday,10.7994,3.167
Mysore,uy26932,2022-11-07,Monday,17.1052,5.779
Mysore,yt26932,2022-11-07,Monday,11.111,4.056
Bangalore,ga23521,2022-11-08,Tuesday,9.0774,2.769
Bangalore,qw23521,2022-11-08,Tuesday,8.159,2.883
Chennai,mq18481,2022-11-08,Tuesday,3.9852000000000003,1.883
Chennai,op18481,2022-11-08,Tuesday,10.4058,4.425
Mysore,uy26932,2022-11-08,Tuesday,1.353,1.125
Mysore,yt26932,2022-11-08,Tuesday,9.6186,2.9749999999999996
Bangalore,ga23521,2022-11-09,Wednesday,2.9766,1.995
Bangalore,qw23521,2022-11-09,Wednesday,17.3922,4.3629999999999995
Chennai,mq18481,2022-11-09,Wednesday,6.9864,1.536
Chennai,op18481,2022-11-09,Wednesday,10.0696,4.622
Mysore,uy26932,2022-11-09,Wednesday,6.3878,4.945
Mysore,yt26932,2022-11-09,Wednesday,1.3612,1.825
Bangalore,ga23521,2022-11-10,Thursday,12.8822,4.759
Bangalore,qw23521,2022-11-10,Thursday,34.2022,10.780000000000001
Chennai,mq18481,2022-11-10,Thursday,33.9644,12.711
Chennai,op18481,2022-11-10,Thursday,28.724600000000002,9.743
Mysore,uy26932,2022-11-10,Thursday,8.7986,3.8899999999999997
Mysore,yt26932,2022-11-10,Thursday,51.25,13.92
Bangalore,ga23521,2022-11-11,Friday,37.638,12.052
Bangalore,qw23521,2022-11-11,Friday,20.0654,3.724
Chennai,mq18481,2022-11-11,Friday,10.774800000000003,5.023
Chennai,op18481,2022-11-11,Friday,40.877,11.254
Mysore,uy26932,2022-11-11,Friday,32.6196,10.216000000000001
Mysore,yt26932,2022-11-11,Friday,16.965799999999998,4.563
Bangalore,ga23521,2022-11-12,Saturday,21.525000000000002,7.746
Bangalore,qw23521,2022-11-12,Saturday,11.2832,5.934
Chennai,mq18481,2022-11-12,Saturday,41.82,13.759
Chennai,op18481,2022-11-12,Saturday,40.9508,14.744
Mysore,uy26932,2022-11-12,Saturday,14.4238,8.666
Mysore,yt26932,2022-11-12,Saturday,36.4244,11.847
Bangalore,ga23521,2022-11-13,Sunday,27.773400000000002,11.578
Bangalore,qw23521,2022-11-13,Sunday,27.2076,9.115
Chennai,mq18481,2022-11-13,Sunday,17.080599999999997,6.035
Chennai,op18481,2022-11-13,Sunday,6.8798,2.864
Mysore,uy26932,2022-11-13,Sunday,38.3596,11.466
Mysore,yt26932,2022-11-13,Sunday,6.428800000000001,4.577999999999999
Bangalore,ga23521,2022-11-14,Monday,24.2638,8.142
Bangalore,qw23521,2022-11-14,Monday,23.6734,6.215
Chennai,mq18481,2022-11-14,Monday,25.051000000000002,6.204
Chennai,op18481,2022-11-14,Monday,39.6552,15.19
Mysore,uy26932,2022-11-14,Monday,20.4918,9.532
Mysore,yt26932,2022-11-14,Monday,33.3576,10.798
Bangalore,ga23521,2022-11-15,Tuesday,56.8506,14.879
Bangalore,qw23521,2022-11-15,Tuesday,22.2712,7.929
Chennai,mq18481,2022-11-15,Tuesday,21.935000000000002,12.616
Chennai,op18481,2022-11-15,Tuesday,32.2178,9.806000000000001
Mysore,uy26932,2022-11-15,Tuesday,22.6402,10.155
Mysore,yt26932,2022-11-15,Tuesday,7.9868,4.78
Bangalore,ga23521,2022-11-16,Wednesday,20.196599999999997,6.651
Chennai,mq18481,2022-11-16,Wednesday,24.0342,10.891
Chennai,op18481,2022-11-16,Wednesday,9.552999999999999,3.8970000000000002
Mysore,uy26932,2022-11-16,Wednesday,18.614,6.722
Mysore,yt26932,2022-11-16,Wednesday,21.033,8.663
Bangalore,ga23521,2022-11-17,Thursday,25.8792,5.444
Bangalore,qw23521,2022-11-17,Thursday,17.056,4.63
Chennai,mq18481,2022-11-17,Thursday,18.5238,3.985
Chennai,op18481,2022-11-17,Thursday,39.7372,12.973
Mysore,uy26932,2022-11-17,Thursday,10.0942,2.723
Mysore,yt26932,2022-11-17,Thursday,11.709600000000002,4.938000000000001
Bangalore,ga23521,2022-11-18,Friday,22.4516,8.089
Bangalore,qw23521,2022-11-18,Friday,14.153200000000002,4.283
Chennai,mq18481,2022-11-18,Friday,7.5604000000000005,2.8049999999999997
Chennai,op18481,2022-11-18,Friday,3.5506,3.5519999999999996
Mysore,uy26932,2022-11-18,Friday,6.0844000000000005,2.752
Mysore,yt26932,2022-11-18,Friday,18.163,5.897
Bangalore,ga23521,2022-11-19,Saturday,50.758,17.228
Bangalore,qw23521,2022-11-19,Saturday,48.9048,12.373
Chennai,mq18481,2022-11-19,Saturday,22.869799999999998,8.418
Chennai,op18481,2022-11-19,Saturday,31.160000000000004,9.589
Mysore,uy26932,2022-11-19,Saturday,27.798000000000002,10.61
Mysore,yt26932,2022-11-19,Saturday,30.6352,13.253
Bangalore,ga23521,2022-11-20,Sunday,9.553,3.202
Bangalore,qw23521,2022-11-20,Sunday,27.3716,7.673
Chennai,mq18481,2022-11-20,Sunday,14.2926,4.786
Chennai,op18481,2022-11-20,Sunday,27.962,9.029
Mysore,uy26932,2022-11-20,Sunday,18.0892,6.221
Mysore,yt26932,2022-11-20,Sunday,27.0928,6.336
Bangalore,ga23521,2022-11-21,Monday,14.374600000000001,3.725
Bangalore,qw23521,2022-11-21,Monday,9.2988,4.268
Chennai,mq18481,2022-11-21,Monday,12.939600000000002,4.691
Chennai,op18481,2022-11-21,Monday,6.937200000000001,1.997
Mysore,uy26932,2022-11-21,Monday,10.6518,5.168
Mysore,yt26932,2022-11-21,Monday,8.0606,2.606
Bangalore,ga23521,2022-11-22,Tuesday,27.511,11.153
Bangalore,qw23521,2022-11-22,Tuesday,26.6172,9.924
Chennai,mq18481,2022-11-22,Tuesday,45.7888,19.855
Chennai,op18481,2022-11-22,Tuesday,27.0928,9.471
Mysore,uy26932,2022-11-22,Tuesday,14.628799999999998,4.532
Mysore,yt26932,2022-11-22,Tuesday,52.1766,16.767
Bangalore,ga23521,2022-11-23,Wednesday,50.339800000000004,13.503
Bangalore,qw23521,2022-11-23,Wednesday,32.9886,12.516
Chennai,mq18481,2022-11-23,Wednesday,20.0408,6.397
Chennai,op18481,2022-11-23,Wednesday,36.8836,9.901
Mysore,uy26932,2022-11-23,Wednesday,40.3768,10.41
Mysore,yt26932,2022-11-23,Wednesday,42.049600000000005,14.372
Bangalore,ga23521,2022-11-24,Thursday,6.896199999999999,3.218
Bangalore,qw23521,2022-11-24,Thursday,48.330799999999996,14.515
Chennai,mq18481,2022-11-24,Thursday,36.572,13.343
Chennai,op18481,2022-11-24,Thursday,38.9582,11.243
Mysore,uy26932,2022-11-24,Thursday,41.7708,15.464
Mysore,yt26932,2022-11-24,Thursday,18.023600000000002,8.274
Bangalore,ga23521,2022-11-25,Friday,8.9626,3.822
Bangalore,qw23521,2022-11-25,Friday,14.3008,3.946
Chennai,mq18481,2022-11-25,Friday,20.6558,4.6370000000000005
Chennai,op18481,2022-11-25,Friday,1.5006,1.079
Mysore,uy26932,2022-11-25,Friday,12.0048,2.769
Mysore,yt26932,2022-11-25,Friday,12.513200000000001,5.68
Bangalore,ga23521,2022-11-26,Saturday,11.996599999999999,4.224
Bangalore,qw23521,2022-11-26,Saturday,9.5038,3.432
Chennai,mq18481,2022-11-26,Saturday,23.214199999999998,7.112
Chennai,op18481,2022-11-26,Saturday,19.884999999999998,5.021
Mysore,uy26932,2022-11-26,Saturday,11.152000000000001,4.743
Mysore,yt26932,2022-11-26,Saturday,22.041600000000003,6.743
Bangalore,ga23521,2022-11-27,Sunday,18.130200000000002,7.096
Bangalore,qw23521,2022-11-27,Sunday,12.291800000000002,3.162
Chennai,mq18481,2022-11-27,Sunday,33.5462,14.735
Chennai,op18481,2022-11-27,Sunday,24.5098,7.54
Mysore,uy26932,2022-11-27,Sunday,34.358,14.445
Mysore,yt26932,2022-11-27,Sunday,29.1346,8.711
Bangalore,ga23521,2022-11-28,Monday,10.4468,2.534
