txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredkWh
Bangalore,ga23521,2022-10-01,Saturday,19.4996,6.091
Bangalore,qw23521,2022-10-01,Saturday,18.0646,4.341
Chennai,mq18481,2022-10-01,Saturday,18.0072,4.746
Chennai,op18481,2022-10-01,Saturday,6.264799999999999,2.895
Mysore,uy26932,2022-10-01,Saturday,9.799000000000001,2.083
Bangalore,ga23521,2022-10-02,Sunday,18.5484,5.759
Bangalore,qw23521,2022-10-02,Sunday,20.8854,7.978
Chennai,mq18481,2022-10-02,Sunday,32.4966,11.801
Chennai,op18481,2022-10-02,Sunday,30.7008,9.029
Mysore,uy26932,2022-10-02,Sunday,45.583800000000004,13.773
Mysore,yt26932,2022-10-02,Sunday,30.5286,10.581
Bangalore,ga23521,2022-10-03,Monday,31.9144,11.237
Bangalore,qw23521,2022-10-03,Monday,50.5202,19.286
Chennai,mq18481,2022-10-03,Monday,29.356,9.625
Chennai,op18481,2022-10-03,Monday,43.8782,10.136
Mysore,uy26932,2022-10-03,Monday,15.416,6.112
Mysore,yt26932,2022-10-03,Monday,34.6696,9.574
Bangalore,ga23521,2022-10-04,Tuesday,2.7634,1.072
Bangalore,qw23521,2022-10-04,Tuesday,14.145000000000001,4.415
Chennai,mq18481,2022-10-04,Tuesday,16.1458,4.072
Chennai,op18481,2022-10-04,Tuesday,24.0916,6.287
Mysore,yt26932,2022-10-04,Tuesday,15.5062,4.574
Bangalore,ga23521,2022-10-05,Wednesday,52.8408,15.047
Bangalore,qw23521,2022-10-05,Wednesday,29.651200000000003,10.096
Chennai,mq18481,2022-10-05,Wednesday,35.0714,13.474
Chennai,op18481,2022-10-05,Wednesday,12.841199999999999,7.705
Mysore,uy26932,2022-10-05,Wednesday,3.813,2.782
Mysore,yt26932,2022-10-05,Wednesday,29.2576,10.004
Bangalore,ga23521,2022-10-06,Thursday,29.9874,10.627
Bangalore,qw23521,2022-10-06,Thursday,26.7894,7.743
Chennai,mq18481,2022-10-06,Thursday,32.3818,7.681
Chennai,op18481,2022-10-06,Thursday,41.3936,12.951
Mysore,uy26932,2022-10-06,Thursday,30.9468,9.801
Mysore,yt26932,2022-10-06,Thursday,53.8576,14.301
Bangalore,ga23521,2022-10-07,Friday,22.796000000000003,11.028
Bangalore,qw23521,2022-10-07,Friday,45.838,13.288
Chennai,mq18481,2022-10-07,Friday,28.511400000000002,8.506
Chennai,op18481,2022-10-07,Friday,18.0154,5.91
Mysore,uy26932,2022-10-07,Friday,50.5366,20.454
Mysore,yt26932,2022-10-07,Friday,13.981,6.2940000000000005
Bangalore,ga23521,2022-10-08,Saturday,44.116,15.949
Bangalore,qw23521,2022-10-08,Saturday,43.6896,12.312999999999999
Chennai,mq18481,2022-10-08,Saturday,25.748,10.132
Chennai,op18481,2022-10-08,Saturday,16.309800000000003,6.728
Mysore,uy26932,2022-10-08,Saturday,34.0218,13.522
Mysore,yt26932,2022-10-08,Saturday,34.6122,13.408000000000001
Bangalore,ga23521,2022-10-09,Sunday,9.7826,3.043
Bangalore,qw23521,2022-10-09,Sunday,25.3954,7.269
Chennai,mq18481,2022-10-09,Sunday,15.145399999999999,4.059
Chennai,op18481,2022-10-09,Sunday,17.2036,6.856
Mysore,uy26932,2022-10-09,Sunday,9.5202,5.152
Mysore,yt26932,2022-10-09,Sunday,30.2662,10.689
Bangalore,ga23521,2022-10-10,Monday,8.077,1.615
Chennai,mq18481,2022-10-10,Monday,16.892,4.798
Chennai,op18481,2022-10-10,Monday,4.559200000000001,3.394
Mysore,uy26932,2022-10-10,Monday,20.172,4.093
Mysore,yt26932,2022-10-10,Monday,19.6308,4.922000000000001
Bangalore,ga23521,2022-10-11,Tuesday,24.9608,7.039
Bangalore,qw23521,2022-10-11,Tuesday,57.08840000000001,18.878
Chennai,mq18481,2022-10-11,Tuesday,45.9856,15.654
Chennai,op18481,2022-10-11,Tuesday,13.817,7.463
Mysore,uy26932,2022-10-11,Tuesday,45.756,14.894
Mysore,yt26932,2022-10-11,Tuesday,28.158800000000003,7.581
Bangalore,ga23521,2022-10-12,Wednesday,15.3012,6.368
Bangalore,qw23521,2022-10-12,Wednesday,30.8648,9.31
Chennai,mq18481,2022-10-12,Wednesday,45.2394,12.464
Chennai,op18481,2022-10-12,Wednesday,21.8858,8.555
Mysore,uy26932,2022-10-12,Wednesday,33.267399999999995,9.332
Mysore,yt26932,2022-10-12,Wednesday,59.3352,15.784
