txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredkWh
Bangalore,ga23521,2022-09-01,Thursday,17.892400000000002,6.1739999999999995
Bangalore,qw23521,2022-09-01,Thursday,21.5086,5.709
Chennai,mq18481,2022-09-01,Thursday,15.744,4.461
Chennai,op18481,2022-09-01,Thursday,14.104,4.702
Mysore,uy26932,2022-09-01,Thursday,31.479799999999997,9.108
Mysore,yt26932,2022-09-01,Thursday,20.5902,4.138
Bangalore,ga23521,2022-09-02,Friday,40.0324,12.709
Bangalore,qw23521,2022-09-02,Friday,11.209399999999999,6.7829999999999995
Chennai,mq18481,2022-09-02,Friday,37.0558,15.515
Chennai,op18481,2022-09-02,Friday,24.026,10.956
Mysore,uy26932,2022-09-02,Friday,44.977000000000004,15.51
Mysore,yt26932,2022-09-02,Friday,55.2598,14.63
Bangalore,ga23521,2022-09-03,Saturday,7.150399999999999,2.041
Bangalore,qw23521,2022-09-03,Saturday,7.921200000000001,4.9510000000000005
Chennai,mq18481,2022-09-03,Saturday,12.6116,2.488
Chennai,op18481,2022-09-03,Saturday,17.8842,5.8
Mysore,uy26932,2022-09-03,Saturday,28.1834,8.003
Mysore,yt26932,2022-09-03,Saturday,14.194199999999999,3.701
Bangalore,ga23521,2022-09-04,Sunday,28.2162,7.398
Bangalore,qw23521,2022-09-04,Sunday,29.462600000000002,8.097999999999999
Chennai,mq18481,2022-09-04,Sunday,22.673000000000002,7.131
Chennai,op18481,2022-09-04,Sunday,43.3206,15.543
Mysore,uy26932,2022-09-04,Sunday,21.123199999999997,5.258
Mysore,yt26932,2022-09-04,Sunday,14.924,4.659
Bangalore,ga23521,2022-09-05,Monday,13.735000000000001,5.235
Bangalore,qw23521,2022-09-05,Monday,14.5386,2.3680000000000003
Chennai,mq18481,2022-09-05,Monday,15.129000000000001,4.864
Chennai,op18481,2022-09-05,Monday,16.9002,8.966
Mysore,uy26932,2022-09-05,Monday,11.2668,7.284
Mysore,yt26932,2022-09-05,Monday,17.9498,7.07
Bangalore,ga23521,2022-09-06,Tuesday,20.147399999999998,4.218
Bangalore,qw23521,2022-09-06,Tuesday,34.9566,11.879
Chennai,mq18481,2022-09-06,Tuesday,5.715400000000001,5.048
Chennai,op18481,2022-09-06,Tuesday,21.2954,6.391
Mysore,uy26932,2022-09-06,Tuesday,10.578,4.934
Mysore,yt26932,2022-09-06,Tuesday,5.084,1.746
Bangalore,ga23521,2022-09-07,Wednesday,9.4464,2.409
Bangalore,qw23521,2022-09-07,Wednesday,0.9184000000000001,1.404
Chennai,mq18481,2022-09-07,Wednesday,32.0292,8.1
Chennai,op18481,2022-09-07,Wednesday,18.7288,3.926
Mysore,uy26932,2022-09-07,Wednesday,4.8626,1.678
Mysore,yt26932,2022-09-07,Wednesday,7.0192000000000005,1.863
Bangalore,ga23521,2022-09-08,Thursday,24.7312,12.579
Bangalore,qw23521,2022-09-08,Thursday,13.4726,6.168
Chennai,mq18481,2022-09-08,Thursday,2.9028,2.835
Chennai,op18481,2022-09-08,Thursday,27.47,8.325
Mysore,uy26932,2022-09-08,Thursday,23.4684,6.943
Mysore,yt26932,2022-09-08,Thursday,46.2808,12.521
Bangalore,ga23521,2022-09-09,Friday,10.6436,4.975
Bangalore,qw23521,2022-09-09,Friday,24.518,8.0
Chennai,mq18481,2022-09-09,Friday,4.6576,3.452
Chennai,op18481,2022-09-09,Friday,15.325800000000001,4.715
Mysore,uy26932,2022-09-09,Friday,10.0122,3.314
Mysore,yt26932,2022-09-09,Friday,14.063,4.499
Bangalore,ga23521,2022-09-10,Saturday,21.4348,8.026
Bangalore,qw23521,2022-09-10,Saturday,27.1092,7.470000000000001
Chennai,mq18481,2022-09-10,Saturday,18.8518,7.547
Chennai,op18481,2022-09-10,Saturday,25.3134,7.38
Mysore,uy26932,2022-09-10,Saturday,28.043999999999997,8.906
Mysore,yt26932,2022-09-10,Saturday,24.067,7.768
Bangalore,ga23521,2022-09-11,Sunday,27.0682,5.487
Bangalore,qw23521,2022-09-11,Sunday,27.379800000000003,5.867
Chennai,mq18481,2022-09-11,Sunday,35.4404,8.092
Chennai,op18481,2022-09-11,Sunday,18.5894,10.485
Mysore,uy26932,2022-09-11,Sunday,12.1278,4.904999999999999
Mysore,yt26932,2022-09-11,Sunday,12.939599999999999,4.448
Bangalore,ga23521,2022-09-12,Monday,20.967399999999998,3.63
Chennai,mq18481,2022-09-12,Monday,8.6182,2.515
Chennai,op18481,2022-09-12,Monday,19.5078,6.092
Mysore,uy26932,2022-09-12,Monday,10.709200000000001,2.984
Mysore,yt26932,2022-09-12,Monday,7.683400000000001,3.7439999999999998
Bangalore,ga23521,2022-09-13,Tuesday,17.8186,6.2780000000000005
Bangalore,qw23521,2022-09-13,Tuesday,18.9502,5.455
Chennai,mq18481,2022-09-13,Tuesday,27.494600000000002,4.517
Chennai,op18481,2022-09-13,Tuesday,18.6632,6.543
Mysore,uy26932,2022-09-13,Tuesday,39.483000000000004,12.143
Mysore,yt26932,2022-09-13,Tuesday,22.3532,7.0489999999999995
Bangalore,ga23521,2022-09-14,Wednesday,33.2428,12.518
Bangalore,qw23521,2022-09-14,Wednesday,45.4772,12.977
Chennai,mq18481,2022-09-14,Wednesday,33.538,12.584999999999999
Chennai,op18481,2022-09-14,Wednesday,23.1322,10.100999999999999
Mysore,uy26932,2022-09-14,Wednesday,33.3822,11.219
Mysore,yt26932,2022-09-14,Wednesday,15.2192,4.444
Bangalore,ga23521,2022-09-15,Thursday,47.8962,15.136000000000001
Bangalore,qw23521,2022-09-15,Thursday,30.299,10.557
Chennai,mq18481,2022-09-15,Thursday,23.124,7.841
Chennai,op18481,2022-09-15,Thursday,19.475,5.068
Mysore,uy26932,2022-09-15,Thursday,20.6312,6.125
Mysore,yt26932,2022-09-15,Thursday,31.7504,9.989
Bangalore,ga23521,2022-09-16,Friday,9.3972,3.482
Bangalore,qw23521,2022-09-16,Friday,19.393,4.422
Chennai,mq18481,2022-09-16,Friday,22.14,4.453
Chennai,op18481,2022-09-16,Friday,20.1802,7.463
Mysore,uy26932,2022-09-16,Friday,17.2774,7.979
Mysore,yt26932,2022-09-16,Friday,22.648400000000002,4.9079999999999995
Bangalore,ga23521,2022-09-17,Saturday,28.536,9.738
Bangalore,qw23521,2022-09-17,Saturday,18.696,7.603
Chennai,mq18481,2022-09-17,Saturday,17.7038,4.5969999999999995
Chennai,op18481,2022-09-17,Saturday,3.485,1.701
Mysore,uy26932,2022-09-17,Saturday,11.1192,4.651
Mysore,yt26932,2022-09-17,Saturday,35.3092,9.369
Bangalore,ga23521,2022-09-18,Sunday,18.9174,5.635
Bangalore,qw23521,2022-09-18,Sunday,30.143199999999997,7.256
Chennai,mq18481,2022-09-18,Sunday,9.102,2.991
Chennai,op18481,2022-09-18,Sunday,15.0388,5.0760000000000005
Mysore,uy26932,2022-09-18,Sunday,33.0788,11.648
Mysore,yt26932,2022-09-18,Sunday,29.274,7.144
Bangalore,ga23521,2022-09-19,Monday,28.0276,7.593999999999999
Bangalore,qw23521,2022-09-19,Monday,7.9376,4.42
Chennai,mq18481,2022-09-19,Monday,31.611,10.603
Chennai,op18481,2022-09-19,Monday,40.713,12.871
Mysore,uy26932,2022-09-19,Monday,26.3876,6.851
Mysore,yt26932,2022-09-19,Monday,26.0842,13.886
Bangalore,ga23521,2022-09-20,Tuesday,17.999000000000002,5.982
Bangalore,qw23521,2022-09-20,Tuesday,21.9104,7.218
Chennai,mq18481,2022-09-20,Tuesday,23.4848,8.055
Chennai,op18481,2022-09-20,Tuesday,43.4682,10.411
Mysore,uy26932,2022-09-20,Tuesday,42.4186,18.602
Mysore,yt26932,2022-09-20,Tuesday,23.1732,9.117
Bangalore,ga23521,2022-09-21,Wednesday,10.4632,3.719
Bangalore,qw23521,2022-09-21,Wednesday,20.746000000000002,5.627
Chennai,mq18481,2022-09-21,Wednesday,33.1936,8.896
Chennai,op18481,2022-09-21,Wednesday,15.645600000000002,5.525
Mysore,uy26932,2022-09-21,Wednesday,20.2376,3.365
Mysore,yt26932,2022-09-21,Wednesday,23.247,5.503
Bangalore,ga23521,2022-09-22,Thursday,32.2752,12.914
Bangalore,qw23521,2022-09-22,Thursday,31.529,9.419
Chennai,mq18481,2022-09-22,Thursday,32.299800000000005,14.549999999999999
Chennai,op18481,2022-09-22,Thursday,4.1164000000000005,3.909
Mysore,uy26932,2022-09-22,Thursday,23.5176,5.597
Mysore,yt26932,2022-09-22,Thursday,21.016599999999997,6.449
Bangalore,ga23521,2022-09-23,Friday,11.8244,3.8810000000000002
Bangalore,qw23521,2022-09-23,Friday,28.076800000000002,11.099
Chennai,mq18481,2022-09-23,Friday,36.1374,18.218
Chennai,op18481,2022-09-23,Friday,33.948,9.999
Mysore,uy26932,2022-09-23,Friday,19.352,8.36
Mysore,yt26932,2022-09-23,Friday,16.2606,6.512
Bangalore,ga23521,2022-09-24,Saturday,6.035200000000001,2.9800000000000004
Bangalore,qw23521,2022-09-24,Saturday,16.8756,4.781
Chennai,mq18481,2022-09-24,Saturday,7.6834,3.481
Chennai,op18481,2022-09-24,Saturday,18.8846,4.539
Mysore,uy26932,2022-09-24,Saturday,9.8646,5.725
Mysore,yt26932,2022-09-24,Saturday,33.5544,9.029
Bangalore,ga23521,2022-09-25,Sunday,37.318200000000004,12.495999999999999
Bangalore,qw23521,2022-09-25,Sunday,12.078600000000002,5.7170000000000005
Chennai,mq18481,2022-09-25,Sunday,36.777,13.872
Chennai,op18481,2022-09-25,Sunday,19.598,5.46
Mysore,uy26932,2022-09-25,Sunday,26.5844,10.906
Mysore,yt26932,2022-09-25,Sunday,25.2724,9.943
Bangalore,ga23521,2022-09-26,Monday,20.8936,7.328
Bangalore,qw23521,2022-09-26,Monday,20.9674,6.995
Chennai,mq18481,2022-09-26,Monday,35.284600000000005,9.851
Chennai,op18481,2022-09-26,Monday,9.282399999999999,3.249
Mysore,uy26932,2022-09-26,Monday,11.709599999999998,2.6959999999999997
Mysore,yt26932,2022-09-26,Monday,6.5764,1.461
Bangalore,ga23521,2022-09-27,Tuesday,41.4674,12.701
Bangalore,qw23521,2022-09-27,Tuesday,46.6826,12.725
Chennai,mq18481,2022-09-27,Tuesday,20.9182,5.929
Chennai,op18481,2022-09-27,Tuesday,35.4076,14.462
Mysore,uy26932,2022-09-27,Tuesday,32.882,10.735
Mysore,yt26932,2022-09-27,Tuesday,28.125999999999998,8.911999999999999
Bangalore,ga23521,2022-09-28,Wednesday,13.0872,4.265
Bangalore,qw23521,2022-09-28,Wednesday,11.8408,5.212
Chennai,mq18481,2022-09-28,Wednesday,10.8076,2.665
Chennai,op18481,2022-09-28,Wednesday,18.5402,5.68
Mysore,uy26932,2022-09-28,Wednesday,31.561799999999998,8.605
Mysore,yt26932,2022-09-28,Wednesday,9.8154,4.2
Bangalore,ga23521,2022-09-29,Thursday,8.642800000000001,2.254
Bangalore,qw23521,2022-09-29,Thursday,1.9188,1.396
Chennai,mq18481,2022-09-29,Thursday,4.3952,3.088
Chennai,op18481,2022-09-29,Thursday,2.6896,1.689
Mysore,uy26932,2022-09-29,Thursday,6.9208,4.277
Mysore,yt26932,2022-09-29,Thursday,2.624,3.8369999999999997
Bangalore,ga23521,2022-09-30,Friday,8.7904,4.4719999999999995
Bangalore,qw23521,2022-09-30,Friday,17.7694,4.13
Chennai,mq18481,2022-09-30,Friday,15.079799999999999,2.697
Chennai,op18481,2022-09-30,Friday,22.3286,6.151
Mysore,uy26932,2022-09-30,Friday,28.1998,9.391
Mysore,yt26932,2022-09-30,Friday,24.1736,7.086
