txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,ga23521,2023-01-01,Sunday,31.4706,5257
Bangalore,qw23521,2023-01-01,Sunday,24.012999999999998,4324
Chennai,mq18481,2023-01-01,Sunday,18.054000000000002,4430
Chennai,op18481,2023-01-01,Sunday,22.3964,4497
Mysore,uy26932,2023-01-01,Sunday,4.8734,1597
Mysore,uy26932,2023-01-02,Monday,6.431,1779
Mysore,yt26932,2023-01-01,Sunday,3.835,1266
Bangalore,ga23521,2023-01-02,Monday,43.778,9481
Bangalore,qw23521,2023-01-02,Monday,24.839,7158
Chennai,mq18481,2023-01-02,Monday,45.8194,16144
Chennai,op18481,2023-01-02,Monday,20.1544,6535
Mysore,uy26932,2023-01-02,Monday,18.9862,2979
Mysore,yt26932,2023-01-02,Monday,17.8888,4654
Bangalore,ga23521,2023-01-03,Tuesday,1.77,1463
Bangalore,qw23521,2023-01-03,Tuesday,55.106,10851
Chennai,mq18481,2023-01-03,Tuesday,10.1126,2667
Chennai,op18481,2023-01-03,Tuesday,31.777399999999997,9076
Mysore,uy26932,2023-01-03,Tuesday,15.7766,3278
Mysore,yt26932,2023-01-03,Tuesday,32.2022,6625
Bangalore,ga23521,2023-01-04,Wednesday,13.4756,4543
Bangalore,qw23521,2023-01-04,Wednesday,1.3098,1626
Chennai,mq18481,2023-01-04,Wednesday,24.249,4780
Chennai,op18481,2023-01-04,Wednesday,10.277800000000001,3272
Mysore,yt26932,2023-01-04,Wednesday,16.402,4751
Bangalore,ga23521,2023-01-05,Thursday,35.2702,8339
Bangalore,qw23521,2023-01-05,Thursday,13.1334,2385
Chennai,mq18481,2023-01-05,Thursday,12.000599999999999,3056
Chennai,op18481,2023-01-05,Thursday,9.7704,2325
Mysore,uy26932,2023-01-05,Thursday,19.694200000000002,2596
Mysore,yt26932,2023-01-05,Thursday,17.0982,4668
Bangalore,ga23521,2023-01-06,Friday,29.476399999999998,4732
Bangalore,qw23521,2023-01-06,Friday,58.646,14810
Chennai,mq18481,2023-01-06,Friday,30.915999999999997,5893
Chennai,op18481,2023-01-06,Friday,44.2854,10205
Mysore,uy26932,2023-01-06,Friday,45.5598,12917
Mysore,yt26932,2023-01-06,Friday,28.2964,10517
Bangalore,ga23521,2023-01-07,Saturday,38.751200000000004,7749
Bangalore,qw23521,2023-01-07,Saturday,10.690800000000001,1689
Chennai,mq18481,2023-01-07,Saturday,22.6678,2157
Chennai,op18481,2023-01-07,Saturday,42.0788,8709
Mysore,uy26932,2023-01-07,Saturday,13.2042,3108
Mysore,yt26932,2023-01-07,Saturday,7.492999999999999,5051
Bangalore,ga23521,2023-01-08,Sunday,56.132600000000004,10548
Bangalore,qw23521,2023-01-08,Sunday,52.5572,10142
Chennai,mq18481,2023-01-08,Sunday,9.2512,4215
Chennai,op18481,2023-01-08,Sunday,53.973200000000006,13505
Mysore,uy26932,2023-01-08,Sunday,47.6248,10783
Mysore,yt26932,2023-01-08,Sunday,44.722,10836
Bangalore,ga23521,2023-01-09,Monday,29.9366,8865
Bangalore,qw23521,2023-01-09,Monday,31.329,6753
Chennai,mq18481,2023-01-09,Monday,37.382400000000004,7424
Chennai,op18481,2023-01-09,Monday,69.1126,16839
Mysore,uy26932,2023-01-09,Monday,65.726,13483
Mysore,yt26932,2023-01-09,Monday,48.2384,12330
Bangalore,ga23521,2023-01-10,Tuesday,28.6032,7158
