txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
ga23521,2023-01-01,Sunday,31.4706,5257
mq18481,2023-01-01,Sunday,18.054000000000002,4430
op18481,2023-01-01,Sunday,22.3964,4497
qw23521,2023-01-01,Sunday,24.012999999999998,4324
uy26932,2023-01-01,Sunday,4.8734,1597
uy26932,2023-01-02,Monday,6.431,1779
yt26932,2023-01-01,Sunday,3.835,1266
ga23521,2023-01-02,Monday,43.778,9481
mq18481,2023-01-02,Monday,45.8194,16144
op18481,2023-01-02,Monday,20.1544,6535
qw23521,2023-01-02,Monday,24.839,7158
uy26932,2023-01-02,Monday,18.9862,2979
yt26932,2023-01-02,Monday,17.8888,4654
ga23521,2023-01-03,Tuesday,1.77,1463
mq18481,2023-01-03,Tuesday,10.1126,2667
op18481,2023-01-03,Tuesday,31.777399999999997,9076
qw23521,2023-01-03,Tuesday,55.106,10851
uy26932,2023-01-03,Tuesday,15.7766,3278
yt26932,2023-01-03,Tuesday,32.2022,6625
ga23521,2023-01-04,Wednesday,13.4756,4543
mq18481,2023-01-04,Wednesday,24.249,4780
op18481,2023-01-04,Wednesday,10.277800000000001,3272
qw23521,2023-01-04,Wednesday,1.3098,1626
yt26932,2023-01-04,Wednesday,16.402,4751
ga23521,2023-01-05,Thursday,35.2702,8339
mq18481,2023-01-05,Thursday,12.000599999999999,3056
op18481,2023-01-05,Thursday,9.7704,2325
qw23521,2023-01-05,Thursday,13.1334,2385
uy26932,2023-01-05,Thursday,19.694200000000002,2596
yt26932,2023-01-05,Thursday,17.0982,4668
ga23521,2023-01-06,Friday,29.476399999999998,4732
mq18481,2023-01-06,Friday,30.915999999999997,5893
op18481,2023-01-06,Friday,44.2854,10205
qw23521,2023-01-06,Friday,58.646,14810
uy26932,2023-01-06,Friday,45.5598,12917
yt26932,2023-01-06,Friday,28.2964,10517
ga23521,2023-01-07,Saturday,38.751200000000004,7749
mq18481,2023-01-07,Saturday,22.6678,2157
op18481,2023-01-07,Saturday,42.0788,8709
qw23521,2023-01-07,Saturday,10.690800000000001,1689
uy26932,2023-01-07,Saturday,13.2042,3108
yt26932,2023-01-07,Saturday,7.492999999999999,5051
ga23521,2023-01-08,Sunday,56.132600000000004,10548
mq18481,2023-01-08,Sunday,9.2512,4215
op18481,2023-01-08,Sunday,53.973200000000006,13505
qw23521,2023-01-08,Sunday,52.5572,10142
uy26932,2023-01-08,Sunday,47.6248,10783
yt26932,2023-01-08,Sunday,44.722,10836
ga23521,2023-01-09,Monday,29.9366,8865
mq18481,2023-01-09,Monday,37.382400000000004,7424
op18481,2023-01-09,Monday,69.1126,16839
qw23521,2023-01-09,Monday,31.329,6753
uy26932,2023-01-09,Monday,65.726,13483
yt26932,2023-01-09,Monday,48.2384,12330
ga23521,2023-01-10,Tuesday,28.6032,7158
mq18481,2023-01-10,Tuesday,9.263000000000002,2198
op18481,2023-01-10,Tuesday,36.226,5440
qw23521,2023-01-10,Tuesday,49.1824,15242
uy26932,2023-01-10,Tuesday,3.1388000000000003,3774
yt26932,2023-01-10,Tuesday,46.9168,11042
ga23521,2023-01-11,Wednesday,28.733,9884
mq18481,2023-01-11,Wednesday,40.0138,8260
op18481,2023-01-11,Wednesday,17.676399999999997,5900
qw23521,2023-01-11,Wednesday,44.0966,8766
uy26932,2023-01-11,Wednesday,21.499599999999997,3740
yt26932,2023-01-11,Wednesday,28.32,9706
ga23521,2023-01-12,Thursday,39.3176,7820
mq18481,2023-01-12,Thursday,46.5274,12511
op18481,2023-01-12,Thursday,71.7558,11529
qw23521,2023-01-12,Thursday,42.775,11122
uy26932,2023-01-12,Thursday,75.5318,17071
yt26932,2023-01-12,Thursday,63.2716,11318
ga23521,2023-01-13,Friday,31.919,8525
mq18481,2023-01-13,Friday,4.7082,5070
op18481,2023-01-13,Friday,21.3462,6908
qw23521,2023-01-13,Friday,18.6676,3851
uy26932,2023-01-13,Friday,10.631799999999998,3515
yt26932,2023-01-13,Friday,10.5728,2554
ga23521,2023-01-14,Saturday,19.0098,6672
mq18481,2023-01-14,Saturday,76.641,14225
