txn.chargeStationCity,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,2023-01-01,Sunday,55.483599999999996,9581
Chennai,2023-01-01,Sunday,40.4504,8927
Mysore,2023-01-01,Sunday,8.708400000000001,2863
Mysore,2023-01-02,Monday,6.431,1779
Bangalore,2023-01-02,Monday,68.617,16639
Chennai,2023-01-02,Monday,65.9738,22679
Mysore,2023-01-02,Monday,36.875,7633
Bangalore,2023-01-03,Tuesday,56.876,12314
Chennai,2023-01-03,Tuesday,41.89,11743
Mysore,2023-01-03,Tuesday,47.9788,9903
Bangalore,2023-01-04,Wednesday,14.785400000000001,6169
Chennai,2023-01-04,Wednesday,34.5268,8052
Mysore,2023-01-04,Wednesday,16.402,4751
Bangalore,2023-01-05,Thursday,48.4036,10724
Chennai,2023-01-05,Thursday,21.771,5381
Mysore,2023-01-05,Thursday,36.7924,7264
Bangalore,2023-01-06,Friday,88.1224,19542
Chennai,2023-01-06,Friday,75.20139999999999,16098
Mysore,2023-01-06,Friday,73.8562,23434
Bangalore,2023-01-07,Saturday,49.442,9438
Chennai,2023-01-07,Saturday,64.7466,10866
Mysore,2023-01-07,Saturday,20.6972,8159
Bangalore,2023-01-08,Sunday,108.6898,20690
Chennai,2023-01-08,Sunday,63.2244,17720
Mysore,2023-01-08,Sunday,92.3468,21619
Bangalore,2023-01-09,Monday,61.2656,15618
Chennai,2023-01-09,Monday,106.495,24263
Mysore,2023-01-09,Monday,113.9644,25813
Bangalore,2023-01-10,Tuesday,77.7856,22400
Chennai,2023-01-10,Tuesday,45.489000000000004,7638
Mysore,2023-01-10,Tuesday,50.0556,14816
Bangalore,2023-01-11,Wednesday,72.8296,18650
Chennai,2023-01-11,Wednesday,57.690200000000004,14160
Mysore,2023-01-11,Wednesday,49.819599999999994,13446
Bangalore,2023-01-12,Thursday,82.0926,18942
Chennai,2023-01-12,Thursday,118.28320000000001,24040
Mysore,2023-01-12,Thursday,138.8034,28389
Bangalore,2023-01-13,Friday,50.5866,12376
Chennai,2023-01-13,Friday,26.0544,11978
Mysore,2023-01-13,Friday,21.2046,6069
Bangalore,2023-01-14,Saturday,58.7286,20082
Chennai,2023-01-14,Saturday,88.8186,19365
Mysore,2023-01-14,Saturday,150.13139999999999,30545
Bangalore,2023-01-15,Sunday,34.2436,11566
Chennai,2023-01-15,Sunday,48.6042,13257
Mysore,2023-01-15,Sunday,63.1772,16886
Bangalore,2023-01-16,Monday,75.2132,23782
Chennai,2023-01-16,Monday,111.2504,29180
Mysore,2023-01-16,Monday,103.4506,22116
Bangalore,2023-01-17,Tuesday,65.8676,13486
Chennai,2023-01-17,Tuesday,33.275999999999996,7736
Mysore,2023-01-17,Tuesday,48.5334,14184
Bangalore,2023-01-18,Wednesday,86.1046,20685
Chennai,2023-01-18,Wednesday,43.5656,12321
Mysore,2023-01-18,Wednesday,89.7154,17617
Bangalore,2023-01-19,Thursday,58.327400000000004,15430
Chennai,2023-01-19,Thursday,19.6116,5788
Mysore,2023-01-19,Thursday,41.949,12698
Bangalore,2023-01-20,Friday,54.209199999999996,12732
Chennai,2023-01-20,Friday,88.8776,27489
Mysore,2023-01-20,Friday,34.7038,10994
Bangalore,2023-01-21,Saturday,10.856,3409
Chennai,2023-01-21,Saturday,44.4506,10872
Mysore,2023-01-21,Saturday,5.369,1300
Bangalore,2023-01-22,Sunday,68.617,18691
Chennai,2023-01-22,Sunday,181.2008,38172
Mysore,2023-01-22,Sunday,88.0634,19178
Bangalore,2023-01-23,Monday,93.4796,19558
Chennai,2023-01-23,Monday,74.5406,16961
Mysore,2023-01-23,Monday,47.837199999999996,12263
Bangalore,2023-01-24,Tuesday,25.8656,6922
Chennai,2023-01-24,Tuesday,52.1914,11412
Mysore,2023-01-24,Tuesday,24.0602,5675
Bangalore,2023-01-25,Wednesday,34.7038,8781
Chennai,2023-01-25,Wednesday,26.1134,6739
Mysore,2023-01-25,Wednesday,27.1636,5866
Bangalore,2023-01-26,Thursday,61.301,16513
Chennai,2023-01-26,Thursday,69.53739999999999,16380
Mysore,2023-01-26,Thursday,30.0074,12027
Bangalore,2023-01-27,Friday,51.4598,10049
Chennai,2023-01-27,Friday,54.7874,10853
Mysore,2023-01-27,Friday,43.294200000000004,8828
Bangalore,2023-01-28,Saturday,83.30799999999999,21402
Chennai,2023-01-28,Saturday,55.6252,16148
Mysore,2023-01-28,Saturday,83.4496,18475
Bangalore,2023-01-29,Sunday,30.208,5739
Chennai,2023-01-29,Sunday,23.9894,7308
Mysore,2023-01-29,Sunday,46.61,14425
Bangalore,2023-01-30,Monday,40.3088,13662
Chennai,2023-01-30,Monday,59.5074,12013
Mysore,2023-01-30,Monday,93.9044,23108
Bangalore,2023-01-31,Tuesday,37.3824,13258
Chennai,2023-01-31,Tuesday,45.312,13059
Mysore,2023-01-31,Tuesday,15.5052,6468
