day_of_the_week,Total_amount_charged,txn.deliveredWh
Sunday,85.5618,26339
Monday,321.3494,75826
Tuesday,161.5302,32980
Wednesday,297.8556,68712
Thursday,66.965,15347
Friday,229.2622,51152
Saturday,90.0222,19117
Sunday,99.6156,23112
Monday,78.293,16257
Tuesday,118.826,30385
Wednesday,78.7886,16613
Thursday,221.3444,46664
Friday,125.1036,27077
Saturday,125.08,29916
Sunday,199.9392,41411
Monday,65.9974,17883
Tuesday,262.373,62142
Wednesday,11.729199999999999,1254
Wednesday,120.7494,25778
Thursday,128.9976,30975
Friday,94.9546,18062
Saturday,236.6254,50333
Sunday,112.4776,25985
Monday,261.5942,62713
Tuesday,317.361,74636
Wednesday,272.167,61348
Thursday,134.2958,32176
Friday,228.3418,51296
Saturday,368.573,74079
Sunday,5.227399999999999,1400
Sunday,319.5204,69273
Monday,125.0564,30502
Tuesday,70.81179999999999,16420
