txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,ga23521,2022-04-01,Friday,50.739999999999995,8341
Bangalore,qw23521,2022-04-01,Friday,70.81179999999999,14068
Chennai,mq18481,2022-04-01,Friday,23.375799999999998,6836
Chennai,op18481,2022-04-01,Friday,55.3302,11382
Mysore,uy26932,2022-04-01,Friday,50.2444,12570
Mysore,yt26932,2022-04-01,Friday,20.602800000000002,4275
Bangalore,ga23521,2022-04-02,Saturday,50.657399999999996,16144
Bangalore,qw23521,2022-04-02,Saturday,54.811,15286
Chennai,mq18481,2022-04-02,Saturday,20.3904,5042
Chennai,op18481,2022-04-02,Saturday,70.4696,17368
Mysore,uy26932,2022-04-02,Saturday,42.5744,9375
Mysore,yt26932,2022-04-02,Saturday,15.0804,4519
Bangalore,ga23521,2022-04-03,Sunday,6.018,1862
Bangalore,qw23521,2022-04-03,Sunday,65.5962,11732
Chennai,mq18481,2022-04-03,Sunday,13.369399999999999,3434
Chennai,op18481,2022-04-03,Sunday,21.6648,4330
Mysore,yt26932,2022-04-03,Sunday,1.2154,1070
Bangalore,ga23521,2022-04-04,Monday,14.431400000000002,4881
Bangalore,qw23521,2022-04-04,Monday,2.5252,1599
Chennai,mq18481,2022-04-04,Monday,11.115599999999999,2835
Chennai,op18481,2022-04-04,Monday,38.031400000000005,7998
Mysore,uy26932,2022-04-04,Monday,1.6401999999999999,1400
Mysore,yt26932,2022-04-04,Monday,34.22,7371
Bangalore,ga23521,2022-04-05,Tuesday,35.5298,8749
Bangalore,qw23521,2022-04-05,Tuesday,87.7448,16861
Chennai,mq18481,2022-04-05,Tuesday,59.3894,11849
Chennai,op18481,2022-04-05,Tuesday,22.5852,8268
Mysore,uy26932,2022-04-05,Tuesday,17.877,5054
Mysore,yt26932,2022-04-05,Tuesday,20.697200000000002,3263
Bangalore,ga23521,2022-04-06,Wednesday,36.2142,5527
Chennai,mq18481,2022-04-06,Wednesday,11.21,3230
Chennai,op18481,2022-04-06,Wednesday,6.9384,1454
Mysore,uy26932,2022-04-06,Wednesday,25.0396,6708
Mysore,yt26932,2022-04-06,Wednesday,14.6438,3760
Bangalore,ga23521,2022-04-07,Thursday,8.5078,1059
