txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
ga23521,2022-04-01,Friday,50.739999999999995,8341
mq18481,2022-04-01,Friday,23.375799999999998,6836
op18481,2022-04-01,Friday,55.3302,11382
qw23521,2022-04-01,Friday,70.81179999999999,14068
uy26932,2022-04-01,Friday,50.2444,12570
yt26932,2022-04-01,Friday,20.602800000000002,4275
ga23521,2022-04-02,Saturday,50.657399999999996,16144
mq18481,2022-04-02,Saturday,20.3904,5042
op18481,2022-04-02,Saturday,70.4696,17368
qw23521,2022-04-02,Saturday,54.811,15286
uy26932,2022-04-02,Saturday,42.5744,9375
yt26932,2022-04-02,Saturday,15.0804,4519
ga23521,2022-04-03,Sunday,6.018,1862
mq18481,2022-04-03,Sunday,13.369399999999999,3434
op18481,2022-04-03,Sunday,21.6648,4330
qw23521,2022-04-03,Sunday,65.5962,11732
yt26932,2022-04-03,Sunday,1.2154,1070
ga23521,2022-04-04,Monday,14.431400000000002,4881
mq18481,2022-04-04,Monday,11.115599999999999,2835
op18481,2022-04-04,Monday,38.031400000000005,7998
qw23521,2022-04-04,Monday,2.5252,1599
uy26932,2022-04-04,Monday,1.6401999999999999,1400
yt26932,2022-04-04,Monday,34.22,7371
ga23521,2022-04-05,Tuesday,35.5298,8749
mq18481,2022-04-05,Tuesday,59.3894,11849
op18481,2022-04-05,Tuesday,22.5852,8268
qw23521,2022-04-05,Tuesday,87.7448,16861
uy26932,2022-04-05,Tuesday,17.877,5054
yt26932,2022-04-05,Tuesday,20.697200000000002,3263
ga23521,2022-04-06,Wednesday,36.2142,5527
mq18481,2022-04-06,Wednesday,11.21,3230
op18481,2022-04-06,Wednesday,6.9384,1454
uy26932,2022-04-06,Wednesday,25.0396,6708
yt26932,2022-04-06,Wednesday,14.6438,3760
ga23521,2022-04-07,Thursday,8.5078,1059
mq18481,2022-04-07,Thursday,27.2226,7103
op18481,2022-04-07,Thursday,4.425,1531
qw23521,2022-04-07,Thursday,9.2748,1757
uy26932,2022-04-07,Thursday,13.097999999999999,2925
yt26932,2022-04-07,Thursday,27.317,5064
ga23521,2022-04-08,Friday,44.6276,9174
mq18481,2022-04-08,Friday,18.3372,3155
op18481,2022-04-08,Friday,12.720400000000001,4103
qw23521,2022-04-08,Friday,18.9154,5945
uy26932,2022-04-08,Friday,11.504999999999999,1381
yt26932,2022-04-08,Friday,30.0192,5539
ga23521,2022-04-09,Saturday,47.259,8974
mq18481,2022-04-09,Saturday,22.1604,4911
op18481,2022-04-09,Saturday,47.4714,7467
qw23521,2022-04-09,Saturday,9.794,1060
uy26932,2022-04-09,Saturday,11.091999999999999,3187
yt26932,2022-04-09,Saturday,31.27,6587
mq18481,2022-04-10,Sunday,4.0946,1266
op18481,2022-04-10,Sunday,15.953600000000002,2757
qw23521,2022-04-10,Sunday,33.9486,5324
uy26932,2022-04-10,Sunday,32.898399999999995,7241
yt26932,2022-04-10,Sunday,24.0838,4522
ga23521,2022-04-11,Monday,49.1824,12590
mq18481,2022-04-11,Monday,29.4056,4581
op18481,2022-04-11,Monday,42.0434,7139
qw23521,2022-04-11,Monday,14.8562,3527
yt26932,2022-04-11,Monday,13.145199999999999,3084
ga23521,2022-04-12,Tuesday,33.9958,7700
mq18481,2022-04-12,Tuesday,25.9364,6916
op18481,2022-04-12,Tuesday,40.1672,10103
qw23521,2022-04-12,Tuesday,35.0696,8886
uy26932,2022-04-12,Tuesday,54.988,11072
