txn.chargeStationCity,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,2022-04-01,Friday,57.3716,10972
Chennai,2022-04-01,Friday,48.226600000000005,9889
Mysore,2022-04-01,Friday,4.3660000000000005,1499
Bangalore,2022-04-02,Saturday,10.938600000000001,4674
Chennai,2022-04-02,Saturday,24.1782,6162
Mysore,2022-04-02,Saturday,20.331400000000002,6001
Bangalore,2022-04-03,Sunday,76.2752,21733
Chennai,2022-04-03,Sunday,115.6754,21080
Mysore,2022-04-03,Sunday,87.2492,23020
Bangalore,2022-04-04,Monday,61.4544,16302
Chennai,2022-04-04,Monday,63.944199999999995,16613
Mysore,2022-04-04,Monday,41.5124,10976
Bangalore,2022-04-05,Tuesday,100.89,20172
Chennai,2022-04-05,Tuesday,45.843,15893
Mysore,2022-04-05,Tuesday,116.3716,25002
Bangalore,2022-04-06,Wednesday,98.9076,23093
Chennai,2022-04-06,Wednesday,90.919,19340
Mysore,2022-04-06,Wednesday,75.95660000000001,14123
Bangalore,2022-04-07,Thursday,100.3708,27580
Chennai,2022-04-07,Thursday,77.6322,22824
Mysore,2022-04-07,Thursday,120.1594,25231
Bangalore,2022-04-08,Friday,36.7924,9879
Chennai,2022-04-08,Friday,65.9974,15126
Mysore,2022-04-08,Friday,46.019999999999996,10824
Bangalore,2022-04-09,Saturday,35.872,8261
Chennai,2022-04-09,Saturday,54.3508,7484
Mysore,2022-04-09,Saturday,24.8154,6026
Bangalore,2022-04-10,Sunday,41.7012,14798
Chennai,2022-04-10,Sunday,77.3962,19308
Mysore,2022-04-10,Sunday,114.35379999999999,22167
Bangalore,2022-04-11,Monday,69.7262,19986
Chennai,2022-04-11,Monday,100.4416,27016
Mysore,2022-04-11,Monday,82.9304,20862
Bangalore,2022-04-12,Tuesday,77.9862,22285
Chennai,2022-04-12,Tuesday,105.0908,26288
Mysore,2022-04-12,Tuesday,94.6714,18470
Bangalore,2022-04-13,Wednesday,100.123,21521
Chennai,2022-04-13,Wednesday,89.5384,15712
Mysore,2022-04-13,Wednesday,28.485200000000003,7999
Bangalore,2022-04-14,Thursday,72.1334,12717
Chennai,2022-04-14,Thursday,73.6202,19157
Mysore,2022-04-14,Thursday,86.1164,16773
Bangalore,2022-04-15,Friday,45.902,13440
Chennai,2022-04-15,Friday,129.3516,31264
Mysore,2022-04-15,Friday,88.3348,20447
Bangalore,2022-04-16,Saturday,132.9978,28985
Chennai,2022-04-16,Saturday,114.1296,25168
Mysore,2022-04-16,Saturday,73.73819999999999,16943
Bangalore,2022-04-17,Sunday,42.7278,9653
Chennai,2022-04-17,Sunday,49.4302,12041
Mysore,2022-04-17,Sunday,44.1674,6583
Bangalore,2022-04-18,Monday,58.351,14182
Chennai,2022-04-18,Monday,44.934400000000004,10223
Mysore,2022-04-18,Monday,18.6912,9063
Bangalore,2022-04-19,Tuesday,57.82,13200
Chennai,2022-04-19,Tuesday,60.711,14388
Mysore,2022-04-19,Tuesday,71.4844,17153
Bangalore,2022-04-20,Wednesday,100.6186,16968
Chennai,2022-04-20,Wednesday,68.80579999999999,15376
Chennai,2022-04-21,Thursday,9.675999999999998,1785
Mysore,2022-04-20,Wednesday,33.193400000000004,6197
Bangalore,2022-04-21,Thursday,70.72919999999999,14778
Chennai,2022-04-21,Thursday,20.3668,5969
Mysore,2022-04-21,Thursday,69.5256,12701
Bangalore,2022-04-22,Friday,88.146,21619
Chennai,2022-04-22,Friday,61.2066,13212
Mysore,2022-04-22,Friday,61.7966,11521
Bangalore,2022-04-23,Saturday,21.4524,3033
Chennai,2022-04-23,Saturday,20.296,4673
Mysore,2022-04-23,Saturday,22.372799999999998,7115
Bangalore,2022-04-24,Sunday,48.769400000000005,8331
Chennai,2022-04-24,Sunday,72.9004,18376
Mysore,2022-04-24,Sunday,34.81,8245
Bangalore,2022-04-25,Monday,70.446,16356
Chennai,2022-04-25,Monday,63.9442,14285
Mysore,2022-04-25,Monday,41.004999999999995,10385
Bangalore,2022-04-26,Tuesday,59.1652,12826
Chennai,2022-04-26,Tuesday,41.3,7239
Mysore,2022-04-26,Tuesday,31.718400000000003,8717
Bangalore,2022-04-27,Wednesday,118.6726,25578
Chennai,2022-04-27,Wednesday,112.8434,24582
Mysore,2022-04-27,Wednesday,100.3,21718
Bangalore,2022-04-28,Thursday,70.6584,15972
Chennai,2022-04-28,Thursday,79.9568,17408
Mysore,2022-04-28,Thursday,82.2578,19384
Bangalore,2022-04-29,Friday,85.4792,19608
Chennai,2022-04-29,Friday,120.6196,25835
Mysore,2022-04-29,Friday,96.406,23240
Bangalore,2022-04-30,Saturday,26.644399999999997,8880
Chennai,2022-04-30,Saturday,30.290599999999998,7918
Mysore,2022-04-30,Saturday,27.2108,7723
