txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,ga23521,2022-08-01,Monday,54.5278,11670
Bangalore,qw23521,2022-08-01,Monday,1.416,1754
Chennai,mq18481,2022-08-01,Monday,50.681,10682
Chennai,op18481,2022-08-01,Monday,53.2534,9045
Mysore,uy26932,2022-08-01,Monday,19.9538,4412
Mysore,yt26932,2022-08-01,Monday,24.8036,6737
Bangalore,ga23521,2022-08-02,Tuesday,15.6468,6281
Bangalore,qw23521,2022-08-02,Tuesday,19.5762,4646
Chennai,mq18481,2022-08-02,Tuesday,14.986,4546
Chennai,op18481,2022-08-02,Tuesday,2.8084,1506
Mysore,uy26932,2022-08-02,Tuesday,15.104,3410
Mysore,yt26932,2022-08-02,Tuesday,7.3868,1106
Bangalore,qw23521,2022-08-03,Wednesday,5.5342,1670
Chennai,mq18481,2022-08-03,Wednesday,32.2966,6899
Chennai,op18481,2022-08-03,Wednesday,15.906399999999998,4717
Chennai,op18481,2022-08-04,Thursday,10.856,1999
Mysore,uy26932,2022-08-03,Wednesday,8.248199999999999,2901
Mysore,yt26932,2022-08-03,Wednesday,29.3584,6122
Bangalore,ga23521,2022-08-04,Thursday,77.5024,17979
Bangalore,qw23521,2022-08-04,Thursday,22.644199999999998,10573
Chennai,mq18481,2022-08-04,Thursday,47.495000000000005,12645
Chennai,op18481,2022-08-04,Thursday,30.0782,6658
Mysore,uy26932,2022-08-04,Thursday,32.745000000000005,8730
Mysore,yt26932,2022-08-04,Thursday,49.7016,12826
Bangalore,ga23521,2022-08-05,Friday,52.309400000000004,10259
Bangalore,qw23521,2022-08-05,Friday,11.681999999999999,4651
Chennai,mq18481,2022-08-05,Friday,36.839600000000004,9876
Chennai,op18481,2022-08-05,Friday,33.2052,6265
Mysore,uy26932,2022-08-05,Friday,42.3502,11023
Mysore,yt26932,2022-08-05,Friday,42.244,8483
Bangalore,ga23521,2022-08-06,Saturday,33.901399999999995,6769
Bangalore,qw23521,2022-08-06,Saturday,36.2024,11201
Chennai,mq18481,2022-08-06,Saturday,42.3974,9760
Chennai,op18481,2022-08-06,Saturday,52.215,9909
Mysore,uy26932,2022-08-06,Saturday,37.288,8897
Mysore,yt26932,2022-08-06,Saturday,26.6208,7498
Bangalore,ga23521,2022-08-07,Sunday,49.4774,9785
Bangalore,qw23521,2022-08-07,Sunday,25.606,8149
Chennai,mq18481,2022-08-07,Sunday,9.7704,2727
Chennai,op18481,2022-08-07,Sunday,20.5674,3350
Mysore,uy26932,2022-08-07,Sunday,16.7678,4734
Mysore,yt26932,2022-08-07,Sunday,61.7258,11211
Bangalore,ga23521,2022-08-08,Monday,35.3882,7515
Bangalore,qw23521,2022-08-08,Monday,20.178,5751
Chennai,mq18481,2022-08-08,Monday,21.1574,4550
Chennai,op18481,2022-08-08,Monday,10.667200000000001,4561
Mysore,uy26932,2022-08-08,Monday,4.9088,1672
Mysore,yt26932,2022-08-08,Monday,15.7412,2741
Bangalore,ga23521,2022-08-09,Tuesday,49.265,13034
Bangalore,qw23521,2022-08-09,Tuesday,19.517200000000003,3870
Chennai,mq18481,2022-08-09,Tuesday,47.79,12389
Chennai,op18481,2022-08-09,Tuesday,35.376400000000004,11612
Mysore,uy26932,2022-08-09,Tuesday,32.1314,8360
Mysore,yt26932,2022-08-09,Tuesday,27.9424,9416
Bangalore,ga23521,2022-08-10,Wednesday,62.894,13380
Bangalore,qw23521,2022-08-10,Wednesday,45.2176,15160
Chennai,mq18481,2022-08-10,Wednesday,43.896,10275
Chennai,op18481,2022-08-10,Wednesday,56.05,11112
Mysore,uy26932,2022-08-10,Wednesday,52.569,11300
Mysore,yt26932,2022-08-10,Wednesday,43.3532,10628
Bangalore,ga23521,2022-08-11,Thursday,35.8012,10521
Bangalore,qw23521,2022-08-11,Thursday,21.3816,3351
Chennai,mq18481,2022-08-11,Thursday,32.8394,7522
Chennai,op18481,2022-08-11,Thursday,16.284,4921
Mysore,uy26932,2022-08-11,Thursday,8.1184,1506
Mysore,yt26932,2022-08-11,Thursday,8.389800000000001,1786
Bangalore,ga23521,2022-08-12,Friday,39.6716,6612
Bangalore,qw23521,2022-08-12,Friday,41.6422,15399
Chennai,mq18481,2022-08-12,Friday,26.55,8234
Chennai,op18481,2022-08-12,Friday,57.348,13053
Mysore,uy26932,2022-08-12,Friday,66.4576,14436
Mysore,yt26932,2022-08-12,Friday,34.7864,10143
Bangalore,ga23521,2022-08-13,Saturday,21.192800000000002,4606
Bangalore,qw23521,2022-08-13,Saturday,3.481,2195
Chennai,mq18481,2022-08-13,Saturday,13.1216,2849
Chennai,op18481,2022-08-13,Saturday,24.5794,5103
Mysore,yt26932,2022-08-13,Saturday,4.3306,1294
Bangalore,ga23521,2022-08-14,Sunday,14.2426,3535
Chennai,mq18481,2022-08-14,Sunday,7.552,3240
Chennai,op18481,2022-08-14,Sunday,15.5052,5323
Mysore,uy26932,2022-08-14,Sunday,29.6652,6214
Bangalore,ga23521,2022-08-15,Monday,46.928599999999996,14977
Bangalore,qw23521,2022-08-15,Monday,43.6246,10507
Chennai,mq18481,2022-08-15,Monday,45.7368,9339
Chennai,op18481,2022-08-15,Monday,18.0422,4520
Mysore,uy26932,2022-08-15,Monday,63.590199999999996,16604
Mysore,yt26932,2022-08-15,Monday,77.1248,14305
Bangalore,ga23521,2022-08-16,Tuesday,50.964200000000005,13675
Bangalore,qw23521,2022-08-16,Tuesday,73.986,16581
Chennai,mq18481,2022-08-16,Tuesday,73.5494,12764
Chennai,op18481,2022-08-16,Tuesday,54.6576,12652
Chennai,op18481,2022-08-17,Wednesday,9.6996,1230
Mysore,uy26932,2022-08-16,Tuesday,36.945800000000006,8059
Mysore,yt26932,2022-08-16,Tuesday,27.1754,7906
Bangalore,ga23521,2022-08-17,Wednesday,34.1846,9617
Bangalore,qw23521,2022-08-17,Wednesday,20.248800000000003,6450
Chennai,mq18481,2022-08-17,Wednesday,87.9572,14521
Chennai,op18481,2022-08-17,Wednesday,52.5218,13557
Mysore,uy26932,2022-08-17,Wednesday,43.1172,9090
Mysore,yt26932,2022-08-17,Wednesday,72.8414,13721
