txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
ga23521,2022-08-01,Monday,54.5278,11670
mq18481,2022-08-01,Monday,50.681,10682
op18481,2022-08-01,Monday,53.2534,9045
qw23521,2022-08-01,Monday,1.416,1754
uy26932,2022-08-01,Monday,19.9538,4412
yt26932,2022-08-01,Monday,24.8036,6737
ga23521,2022-08-02,Tuesday,15.6468,6281
mq18481,2022-08-02,Tuesday,14.986,4546
op18481,2022-08-02,Tuesday,2.8084,1506
qw23521,2022-08-02,Tuesday,19.5762,4646
uy26932,2022-08-02,Tuesday,15.104,3410
yt26932,2022-08-02,Tuesday,7.3868,1106
mq18481,2022-08-03,Wednesday,32.2966,6899
op18481,2022-08-03,Wednesday,15.906399999999998,4717
op18481,2022-08-04,Thursday,10.856,1999
qw23521,2022-08-03,Wednesday,5.5342,1670
uy26932,2022-08-03,Wednesday,8.248199999999999,2901
yt26932,2022-08-03,Wednesday,29.3584,6122
ga23521,2022-08-04,Thursday,77.5024,17979
mq18481,2022-08-04,Thursday,47.495000000000005,12645
op18481,2022-08-04,Thursday,30.0782,6658
qw23521,2022-08-04,Thursday,22.644199999999998,10573
uy26932,2022-08-04,Thursday,32.745000000000005,8730
yt26932,2022-08-04,Thursday,49.7016,12826
ga23521,2022-08-05,Friday,52.309400000000004,10259
mq18481,2022-08-05,Friday,36.839600000000004,9876
op18481,2022-08-05,Friday,33.2052,6265
qw23521,2022-08-05,Friday,11.681999999999999,4651
uy26932,2022-08-05,Friday,42.3502,11023
yt26932,2022-08-05,Friday,42.244,8483
ga23521,2022-08-06,Saturday,33.901399999999995,6769
mq18481,2022-08-06,Saturday,42.3974,9760
op18481,2022-08-06,Saturday,52.215,9909
qw23521,2022-08-06,Saturday,36.2024,11201
uy26932,2022-08-06,Saturday,37.288,8897
yt26932,2022-08-06,Saturday,26.6208,7498
ga23521,2022-08-07,Sunday,49.4774,9785
mq18481,2022-08-07,Sunday,9.7704,2727
op18481,2022-08-07,Sunday,20.5674,3350
qw23521,2022-08-07,Sunday,25.606,8149
uy26932,2022-08-07,Sunday,16.7678,4734
yt26932,2022-08-07,Sunday,61.7258,11211
ga23521,2022-08-08,Monday,35.3882,7515
mq18481,2022-08-08,Monday,21.1574,4550
op18481,2022-08-08,Monday,10.667200000000001,4561
qw23521,2022-08-08,Monday,20.178,5751
uy26932,2022-08-08,Monday,4.9088,1672
yt26932,2022-08-08,Monday,15.7412,2741
ga23521,2022-08-09,Tuesday,49.265,13034
mq18481,2022-08-09,Tuesday,47.79,12389
op18481,2022-08-09,Tuesday,35.376400000000004,11612
qw23521,2022-08-09,Tuesday,19.517200000000003,3870
uy26932,2022-08-09,Tuesday,32.1314,8360
yt26932,2022-08-09,Tuesday,27.9424,9416
ga23521,2022-08-10,Wednesday,62.894,13380
mq18481,2022-08-10,Wednesday,43.896,10275
op18481,2022-08-10,Wednesday,56.05,11112
qw23521,2022-08-10,Wednesday,45.2176,15160
uy26932,2022-08-10,Wednesday,52.569,11300
yt26932,2022-08-10,Wednesday,43.3532,10628
ga23521,2022-08-11,Thursday,35.8012,10521
mq18481,2022-08-11,Thursday,32.8394,7522
op18481,2022-08-11,Thursday,16.284,4921
qw23521,2022-08-11,Thursday,21.3816,3351
uy26932,2022-08-11,Thursday,8.1184,1506
yt26932,2022-08-11,Thursday,8.389800000000001,1786
ga23521,2022-08-12,Friday,39.6716,6612
mq18481,2022-08-12,Friday,26.55,8234
op18481,2022-08-12,Friday,57.348,13053
qw23521,2022-08-12,Friday,41.6422,15399
uy26932,2022-08-12,Friday,66.4576,14436
yt26932,2022-08-12,Friday,34.7864,10143
ga23521,2022-08-13,Saturday,21.192800000000002,4606
mq18481,2022-08-13,Saturday,13.1216,2849
op18481,2022-08-13,Saturday,24.5794,5103
qw23521,2022-08-13,Saturday,3.481,2195
yt26932,2022-08-13,Saturday,4.3306,1294
ga23521,2022-08-14,Sunday,14.2426,3535
mq18481,2022-08-14,Sunday,7.552,3240
op18481,2022-08-14,Sunday,15.5052,5323
uy26932,2022-08-14,Sunday,29.6652,6214
ga23521,2022-08-15,Monday,46.928599999999996,14977
mq18481,2022-08-15,Monday,45.7368,9339
op18481,2022-08-15,Monday,18.0422,4520
qw23521,2022-08-15,Monday,43.6246,10507
uy26932,2022-08-15,Monday,63.590199999999996,16604
yt26932,2022-08-15,Monday,77.1248,14305
ga23521,2022-08-16,Tuesday,50.964200000000005,13675
mq18481,2022-08-16,Tuesday,73.5494,12764
op18481,2022-08-16,Tuesday,54.6576,12652
op18481,2022-08-17,Wednesday,9.6996,1230
qw23521,2022-08-16,Tuesday,73.986,16581
uy26932,2022-08-16,Tuesday,36.945800000000006,8059
yt26932,2022-08-16,Tuesday,27.1754,7906
ga23521,2022-08-17,Wednesday,34.1846,9617
mq18481,2022-08-17,Wednesday,87.9572,14521
op18481,2022-08-17,Wednesday,52.5218,13557
qw23521,2022-08-17,Wednesday,20.248800000000003,6450
uy26932,2022-08-17,Wednesday,43.1172,9090
yt26932,2022-08-17,Wednesday,72.8414,13721
ga23521,2022-08-18,Thursday,32.7214,7920
mq18481,2022-08-18,Thursday,17.9832,5296
op18481,2022-08-18,Thursday,6.3602,2925
qw23521,2022-08-18,Thursday,26.4438,5458
uy26932,2022-08-18,Thursday,25.2284,6475
yt26932,2022-08-18,Thursday,23.647199999999998,6715
ga23521,2022-08-19,Friday,56.876,10749
mq18481,2022-08-19,Friday,12.6142,2589
qw23521,2022-08-19,Friday,22.278399999999998,2705
uy26932,2022-08-19,Friday,60.4632,16583
ga23521,2022-08-20,Saturday,11.434199999999999,2958
mq18481,2022-08-20,Saturday,40.5212,9094
op18481,2022-08-20,Saturday,52.757799999999996,12050
qw23521,2022-08-20,Saturday,57.2418,10160
uy26932,2022-08-20,Saturday,27.010199999999998,5889
yt26932,2022-08-20,Saturday,46.433,8485
ga23521,2022-08-21,Sunday,25.924599999999998,9311
mq18481,2022-08-21,Sunday,35.518,7476
op18481,2022-08-21,Sunday,32.5208,8788
qw23521,2022-08-21,Sunday,45.6188,9051
uy26932,2022-08-21,Sunday,27.694599999999998,5844
yt26932,2022-08-21,Sunday,37.6892,12236
ga23521,2022-08-22,Monday,26.2314,8766
mq18481,2022-08-22,Monday,31.2346,6833
op18481,2022-08-22,Monday,21.688399999999998,5706
qw23521,2022-08-22,Monday,32.037,5980
uy26932,2022-08-22,Monday,56.687200000000004,12468
yt26932,2022-08-22,Monday,28.378999999999998,4262
ga23521,2022-08-23,Tuesday,12.8502,3376
mq18481,2022-08-23,Tuesday,15.3046,4796
op18481,2022-08-23,Tuesday,7.5638000000000005,1885
qw23521,2022-08-23,Tuesday,20.237000000000002,4053
uy26932,2022-08-23,Tuesday,13.2514,3360
ga23521,2022-08-24,Wednesday,20.4258,10551
