txn.chargeStationCity,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,2022-08-01,Monday,55.943799999999996,13424
Chennai,2022-08-01,Monday,103.9344,19727
Mysore,2022-08-01,Monday,44.757400000000004,11149
Bangalore,2022-08-02,Tuesday,35.223,10927
Chennai,2022-08-02,Tuesday,17.7944,6052
Mysore,2022-08-02,Tuesday,22.4908,4516
Bangalore,2022-08-03,Wednesday,5.5342,1670
Chennai,2022-08-03,Wednesday,48.202999999999996,11616
Chennai,2022-08-04,Thursday,10.856,1999
Mysore,2022-08-03,Wednesday,37.6066,9023
Bangalore,2022-08-04,Thursday,100.1466,28552
Chennai,2022-08-04,Thursday,77.5732,19303
Mysore,2022-08-04,Thursday,82.4466,21556
Bangalore,2022-08-05,Friday,63.9914,14910
Chennai,2022-08-05,Friday,70.0448,16141
Mysore,2022-08-05,Friday,84.5942,19506
Bangalore,2022-08-06,Saturday,70.10379999999999,17970
Chennai,2022-08-06,Saturday,94.6124,19669
Mysore,2022-08-06,Saturday,63.9088,16395
Bangalore,2022-08-07,Sunday,75.0834,17934
Chennai,2022-08-07,Sunday,30.3378,6077
Mysore,2022-08-07,Sunday,78.4936,15945
Bangalore,2022-08-08,Monday,55.5662,13266
Chennai,2022-08-08,Monday,31.824599999999997,9111
Mysore,2022-08-08,Monday,20.65,4413
Bangalore,2022-08-09,Tuesday,68.7822,16904
Chennai,2022-08-09,Tuesday,83.1664,24001
Mysore,2022-08-09,Tuesday,60.0738,17776
Bangalore,2022-08-10,Wednesday,108.1116,28540
Chennai,2022-08-10,Wednesday,99.946,21387
Mysore,2022-08-10,Wednesday,95.9222,21928
Bangalore,2022-08-11,Thursday,57.1828,13872
Chennai,2022-08-11,Thursday,49.1234,12443
Mysore,2022-08-11,Thursday,16.508200000000002,3292
Bangalore,2022-08-12,Friday,81.3138,22011
Chennai,2022-08-12,Friday,83.898,21287
Mysore,2022-08-12,Friday,101.244,24579
Bangalore,2022-08-13,Saturday,24.6738,6801
Chennai,2022-08-13,Saturday,37.701,7952
Mysore,2022-08-13,Saturday,4.3306,1294
Bangalore,2022-08-14,Sunday,14.2426,3535
Chennai,2022-08-14,Sunday,23.0572,8563
Mysore,2022-08-14,Sunday,29.6652,6214
Bangalore,2022-08-15,Monday,90.5532,25484
Chennai,2022-08-15,Monday,63.778999999999996,13859
Mysore,2022-08-15,Monday,140.715,30909
Bangalore,2022-08-16,Tuesday,124.9502,30256
Chennai,2022-08-16,Tuesday,128.207,25416
Chennai,2022-08-17,Wednesday,9.6996,1230
Mysore,2022-08-16,Tuesday,64.1212,15965
Bangalore,2022-08-17,Wednesday,54.4334,16067
Chennai,2022-08-17,Wednesday,140.47899999999998,28078
Mysore,2022-08-17,Wednesday,115.9586,22811
Bangalore,2022-08-18,Thursday,59.1652,13378
Chennai,2022-08-18,Thursday,24.3434,8221
Mysore,2022-08-18,Thursday,48.8756,13190
Bangalore,2022-08-19,Friday,79.1544,13454
Chennai,2022-08-19,Friday,12.6142,2589
Mysore,2022-08-19,Friday,60.4632,16583
Bangalore,2022-08-20,Saturday,68.676,13118
Chennai,2022-08-20,Saturday,93.279,21144
Mysore,2022-08-20,Saturday,73.4432,14374
Bangalore,2022-08-21,Sunday,71.54339999999999,18362
Chennai,2022-08-21,Sunday,68.0388,16264
Mysore,2022-08-21,Sunday,65.3838,18080
Bangalore,2022-08-22,Monday,58.2684,14746
Chennai,2022-08-22,Monday,52.922999999999995,12539
Mysore,2022-08-22,Monday,85.0662,16730
Bangalore,2022-08-23,Tuesday,33.087199999999996,7429
Chennai,2022-08-23,Tuesday,22.8684,6681
Mysore,2022-08-23,Tuesday,13.2514,3360
Bangalore,2022-08-24,Wednesday,58.7876,23271
Chennai,2022-08-24,Wednesday,49.382999999999996,10041
Mysore,2022-08-24,Wednesday,95.6508,25581
Mysore,2022-08-25,Thursday,3.7878,1379
Bangalore,2022-08-25,Thursday,112.59559999999999,21625
Chennai,2022-08-25,Thursday,118.9086,23423
Mysore,2022-08-25,Thursday,94.4118,20512
Bangalore,2022-08-26,Friday,137.3166,31818
Chennai,2022-08-26,Friday,68.4872,18232
Mysore,2022-08-26,Friday,84.606,19390
Bangalore,2022-08-27,Saturday,53.041,15121
Chennai,2022-08-27,Saturday,84.2756,16783
Mysore,2022-08-27,Saturday,84.2992,15153
Bangalore,2022-08-28,Sunday,65.608,18726
Chennai,2022-08-28,Sunday,101.657,21046
Mysore,2022-08-28,Sunday,144.3494,30884
Bangalore,2022-08-29,Monday,13.4402,4405
Chennai,2022-08-29,Monday,39.459199999999996,10543
Mysore,2022-08-29,Monday,26.632600000000004,5799
Bangalore,2022-08-30,Tuesday,29.8422,9490
Chennai,2022-08-30,Tuesday,65.4546,16918
Mysore,2022-08-30,Tuesday,43.825199999999995,7241
Bangalore,2022-08-31,Wednesday,78.5526,17391
Chennai,2022-08-31,Wednesday,61.1948,16729
Mysore,2022-08-31,Wednesday,110.7666,24753
