day_of_the_week,Total_amount_charged,txn.deliveredWh
Monday,137.9538,33498
Tuesday,131.9948,30628
Wednesday,172.1148,43269
Thursday,226.9848,55236
Friday,108.98479999999999,26950
Saturday,156.90460000000002,40444
Sunday,248.9918,48698
Monday,248.9092,55992
Tuesday,253.9832,58656
Wednesday,199.5734,53344
Thursday,256.0482,66881
Friday,102.542,28217
Saturday,113.1384,25982
Sunday,223.3504,54883
Monday,118.59,29249
Tuesday,296.34520000000003,66678
Wednesday,199.9038,41940
Thursday,96.111,20754
Friday,109.7046,24456
Saturday,265.6416,66100
Sunday,96.8426,24557
Monday,165.1646,41911
Tuesday,235.1268,63611
Wednesday,67.2718,15615
Thursday,255.0924,52067
Friday,200.2342,41307
Saturday,323.7448,74503
Sunday,290.8228,69100
Monday,294.0088,71736
Tuesday,133.7294,26858
Wednesday,257.3344,43827
