txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,ga23521,2022-12-01,Thursday,10.8568,6265
Bangalore,qw23521,2022-12-01,Thursday,17.9498,7603
Chennai,mq18481,2022-12-01,Thursday,9.3726,4901
Chennai,op18481,2022-12-01,Thursday,29.9382,9120
Mysore,uy26932,2022-12-01,Thursday,18.4582,7758
Mysore,yt26932,2022-12-01,Thursday,33.9808,12206
Bangalore,ga23521,2022-12-02,Friday,26.6254,8429
Bangalore,qw23521,2022-12-02,Friday,26.5024,7720
Chennai,mq18481,2022-12-02,Friday,39.5322,11238
Chennai,op18481,2022-12-02,Friday,10.4796,2953
Mysore,uy26932,2022-12-02,Friday,24.1244,7960
Mysore,yt26932,2022-12-02,Friday,25.9694,6370
Bangalore,ga23521,2022-12-03,Saturday,7.749,3437
Bangalore,qw23521,2022-12-03,Saturday,30.6352,7627
Chennai,mq18481,2022-12-03,Saturday,7.207800000000001,3529
Chennai,op18481,2022-12-03,Saturday,5.7646,4686
Mysore,uy26932,2022-12-03,Saturday,4.1819999999999995,1772
Mysore,yt26932,2022-12-03,Saturday,7.3225999999999996,3558
Bangalore,ga23521,2022-12-04,Sunday,42.2382,12711
Bangalore,qw23521,2022-12-04,Sunday,31.775000000000002,10295
Chennai,mq18481,2022-12-04,Sunday,43.2222,13778
Chennai,op18481,2022-12-04,Sunday,21.8776,6398
Mysore,uy26932,2022-12-04,Sunday,10.947,6458
Mysore,yt26932,2022-12-04,Sunday,17.006800000000002,6380
Bangalore,ga23521,2022-12-05,Monday,8.4624,4480
Bangalore,qw23521,2022-12-05,Monday,14.300799999999999,5720
Chennai,mq18481,2022-12-05,Monday,16.6214,3872
Chennai,op18481,2022-12-05,Monday,15.063399999999998,3455
Mysore,uy26932,2022-12-05,Monday,12.1852,4203
Mysore,yt26932,2022-12-05,Monday,14.7108,3743
Bangalore,ga23521,2022-12-06,Tuesday,44.6326,11108
Bangalore,qw23521,2022-12-06,Tuesday,36.5884,10320
Chennai,mq18481,2022-12-06,Tuesday,13.1446,8724
Chennai,op18481,2022-12-06,Tuesday,56.2192,14871
Mysore,uy26932,2022-12-06,Tuesday,3.9278,3280
Mysore,yt26932,2022-12-06,Tuesday,4.2558,3283
Bangalore,ga23521,2022-12-07,Wednesday,29.282200000000003,11990
Bangalore,qw23521,2022-12-07,Wednesday,9.782599999999999,2440
Chennai,mq18481,2022-12-07,Wednesday,17.5972,7664
Chennai,op18481,2022-12-07,Wednesday,14.965,4776
Mysore,uy26932,2022-12-07,Wednesday,18.1138,5566
Mysore,yt26932,2022-12-07,Wednesday,20.7132,8486
Bangalore,ga23521,2022-12-08,Thursday,36.5146,9781
Bangalore,qw23521,2022-12-08,Thursday,20.869,8140
Chennai,mq18481,2022-12-08,Thursday,30.282600000000002,9158
Chennai,op18481,2022-12-08,Thursday,22.492600000000003,5956
Mysore,uy26932,2022-12-08,Thursday,28.29,8563
Mysore,yt26932,2022-12-08,Thursday,16.81,5889
Bangalore,ga23521,2022-12-09,Friday,10.3648,5748
Bangalore,qw23521,2022-12-09,Friday,11.143799999999999,4521
Chennai,mq18481,2022-12-09,Friday,19.6144,5277
Chennai,op18481,2022-12-09,Friday,12.5706,3976
Mysore,uy26932,2022-12-09,Friday,24.5836,9041
Mysore,yt26932,2022-12-09,Friday,4.1246,1265
Bangalore,ga23521,2022-12-10,Saturday,34.3252,9226
Bangalore,qw23521,2022-12-10,Saturday,56.3996,17408
Chennai,mq18481,2022-12-10,Saturday,37.679,11525
Chennai,op18481,2022-12-10,Saturday,25.264200000000002,8344
Mysore,uy26932,2022-12-10,Saturday,24.878800000000002,6404
Mysore,yt26932,2022-12-10,Saturday,13.6284,8137
Bangalore,ga23521,2022-12-11,Sunday,37.064,11297
Bangalore,qw23521,2022-12-11,Sunday,29.347800000000003,10819
Chennai,mq18481,2022-12-11,Sunday,27.0682,11801
Chennai,op18481,2022-12-11,Sunday,39.8028,11908
Mysore,uy26932,2022-12-11,Sunday,34.1366,11846
Mysore,yt26932,2022-12-11,Sunday,21.3692,4953
Bangalore,ga23521,2022-12-12,Monday,17.999000000000002,4581
Bangalore,qw23521,2022-12-12,Monday,5.002,1222
Chennai,mq18481,2022-12-12,Monday,3.2554,3020
Chennai,op18481,2022-12-12,Monday,4.8953999999999995,1733
Mysore,uy26932,2022-12-12,Monday,4.501799999999999,2570
Mysore,yt26932,2022-12-12,Monday,10.438600000000001,3445
Bangalore,ga23521,2022-12-13,Tuesday,24.296599999999998,7660
Bangalore,qw23521,2022-12-13,Tuesday,4.6822,1530
Chennai,mq18481,2022-12-13,Tuesday,11.2012,2712
Chennai,op18481,2022-12-13,Tuesday,7.412799999999999,1812
Mysore,uy26932,2022-12-13,Tuesday,10.6272,3266
Mysore,yt26932,2022-12-13,Tuesday,10.2336,4120
Bangalore,ga23521,2022-12-14,Wednesday,20.3442,6306
Bangalore,qw23521,2022-12-14,Wednesday,29.3068,10490
Chennai,mq18481,2022-12-14,Wednesday,18.9994,6397
Chennai,op18481,2022-12-14,Wednesday,42.8614,13878
Mysore,uy26932,2022-12-14,Wednesday,10.4058,2825
Mysore,yt26932,2022-12-14,Wednesday,17.7284,7033
Bangalore,ga23521,2022-12-15,Thursday,12.3656,3035
Bangalore,qw23521,2022-12-15,Thursday,13.9072,4676
Chennai,op18481,2022-12-15,Thursday,13.9318,2418
Mysore,uy26932,2022-12-15,Thursday,29.856199999999998,9361
Mysore,yt26932,2022-12-15,Thursday,33.111599999999996,11500
Bangalore,ga23521,2022-12-16,Friday,20.0982,8300
Bangalore,qw23521,2022-12-16,Friday,37.2772,14343
Chennai,mq18481,2022-12-16,Friday,13.5546,4347
Chennai,op18481,2022-12-16,Friday,42.1562,15294
Mysore,uy26932,2022-12-16,Friday,39.614200000000004,15038
Mysore,yt26932,2022-12-16,Friday,28.7738,8579
Bangalore,ga23521,2022-12-17,Saturday,12.5952,2940
Bangalore,qw23521,2022-12-17,Saturday,4.3296,1886
Chennai,mq18481,2022-12-17,Saturday,24.1572,7533
Chennai,op18481,2022-12-17,Saturday,7.667,3648
Mysore,uy26932,2022-12-17,Saturday,7.1258,1130
Mysore,yt26932,2022-12-17,Saturday,4.059,1610
Bangalore,ga23521,2022-12-18,Sunday,16.5148,6660
Bangalore,qw23521,2022-12-18,Sunday,24.887,6671
Chennai,mq18481,2022-12-18,Sunday,26.0268,11607
Chennai,op18481,2022-12-18,Sunday,20.6476,8157
Mysore,uy26932,2022-12-18,Sunday,14.6452,4443
Mysore,yt26932,2022-12-18,Sunday,13.2594,4099
Bangalore,ga23521,2022-12-19,Monday,11.193000000000001,3271
Bangalore,qw23521,2022-12-19,Monday,5.0594,1410
Chennai,mq18481,2022-12-19,Monday,27.5766,12336
Chennai,op18481,2022-12-19,Monday,26.3876,8383
Mysore,uy26932,2022-12-19,Monday,20.7788,5487
Mysore,yt26932,2022-12-19,Monday,11.1356,5505
Bangalore,ga23521,2022-12-20,Tuesday,22.968200000000003,6916
Bangalore,qw23521,2022-12-20,Tuesday,12.1278,3799
Chennai,mq18481,2022-12-20,Tuesday,31.7176,8225
Chennai,op18481,2022-12-20,Tuesday,19.147,3917
Mysore,uy26932,2022-12-20,Tuesday,33.6282,9858
Mysore,yt26932,2022-12-20,Tuesday,29.2986,11158
Bangalore,ga23521,2022-12-21,Wednesday,33.029599999999995,8816
Bangalore,qw23521,2022-12-21,Wednesday,17.7202,6035
Chennai,mq18481,2022-12-21,Wednesday,23.5504,8157
Chennai,op18481,2022-12-21,Wednesday,21.7218,9129
Mysore,uy26932,2022-12-21,Wednesday,17.3512,6842
Mysore,yt26932,2022-12-21,Wednesday,18.3106,8791
Bangalore,ga23521,2022-12-22,Thursday,36.3506,11094
Bangalore,qw23521,2022-12-22,Thursday,29.0362,8543
Chennai,mq18481,2022-12-22,Thursday,33.8168,11165
Chennai,op18481,2022-12-22,Thursday,34.415400000000005,8134
Mysore,uy26932,2022-12-22,Thursday,5.781,1796
Mysore,yt26932,2022-12-22,Thursday,13.4562,4089
Bangalore,ga23521,2022-12-23,Friday,19.6472,7141
Bangalore,qw23521,2022-12-23,Friday,27.6996,12349
Chennai,mq18481,2022-12-23,Friday,17.589,9142
Chennai,op18481,2022-12-23,Friday,24.4606,12604
Mysore,uy26932,2022-12-23,Friday,35.9898,10310
Mysore,yt26932,2022-12-23,Friday,38.1382,12031
Bangalore,ga23521,2022-12-24,Saturday,20.204800000000002,6694
Bangalore,qw23521,2022-12-24,Saturday,25.6168,9723
Chennai,mq18481,2022-12-24,Saturday,24.4606,8278
Chennai,op18481,2022-12-24,Saturday,35.6454,10512
Mysore,uy26932,2022-12-24,Saturday,4.51,1849
Mysore,yt26932,2022-12-24,Saturday,29.1264,8210
Bangalore,ga23521,2022-12-25,Sunday,23.329,7791
Bangalore,qw23521,2022-12-25,Sunday,45.2148,14085
Chennai,mq18481,2022-12-25,Sunday,28.601600000000005,8202
Chennai,op18481,2022-12-25,Sunday,39.8438,11152
Mysore,uy26932,2022-12-25,Sunday,26.6254,9086
Mysore,yt26932,2022-12-25,Sunday,32.6442,10161
Bangalore,ga23521,2022-12-26,Monday,40.8196,11923
Bangalore,qw23521,2022-12-26,Monday,30.9878,9720
