txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
mq18481,2022-12-01,Thursday,9.4046,1089
op18481,2022-12-01,Thursday,8.7674,2996
qw23521,2022-12-01,Thursday,22.125,4786
uy26932,2022-12-01,Thursday,30.9514,7551
ga23521,2022-12-02,Friday,4.9442,1859
op18481,2022-12-02,Friday,15.3282,3932
qw23521,2022-12-02,Friday,14.8916,4297
uy26932,2022-12-02,Friday,20.2134,5240
ga23521,2022-12-03,Saturday,40.568400000000004,8819
mq18481,2022-12-03,Saturday,8.6258,2755
op18481,2022-12-03,Saturday,37.406,11671
qw23521,2022-12-03,Saturday,38.3618,9949
uy26932,2022-12-03,Saturday,37.1346,6830
yt26932,2022-12-03,Saturday,38.527,9264
ga23521,2022-12-04,Sunday,67.3426,14528
mq18481,2022-12-04,Sunday,44.2264,12365
op18481,2022-12-04,Sunday,57.7256,12588
qw23521,2022-12-04,Sunday,6.372,3140
uy26932,2022-12-04,Sunday,60.4514,11149
yt26932,2022-12-04,Sunday,84.4762,18471
ga23521,2022-12-05,Monday,117.0442,20573
mq18481,2022-12-05,Monday,47.1764,7695
op18481,2022-12-05,Monday,60.003,12598
qw23521,2022-12-05,Monday,76.20439999999999,15456
uy26932,2022-12-05,Monday,31.0576,6564
yt26932,2022-12-05,Monday,31.5768,5873
ga23521,2022-12-06,Tuesday,51.6132,13624
mq18481,2022-12-06,Tuesday,54.6576,9673
op18481,2022-12-06,Tuesday,42.5036,10237
qw23521,2022-12-06,Tuesday,14.738199999999999,2361
uy26932,2022-12-06,Tuesday,36.3204,8426
yt26932,2022-12-06,Tuesday,27.081,3918
ga23521,2022-12-07,Wednesday,41.536,12366
mq18481,2022-12-07,Wednesday,36.013600000000004,6254
op18481,2022-12-07,Wednesday,14.9034,3507
qw23521,2022-12-07,Wednesday,19.1042,4621
yt26932,2022-12-07,Wednesday,37.9606,8154
ga23521,2022-12-08,Thursday,32.2612,8217
mq18481,2022-12-08,Thursday,8.0948,1638
op18481,2022-12-08,Thursday,12.083200000000001,2359
qw23521,2022-12-08,Thursday,11.233600000000001,2756
uy26932,2022-12-08,Thursday,7.138999999999999,1821
ga23521,2022-12-09,Friday,33.3114,6801
mq18481,2022-12-09,Friday,31.435200000000002,5962
op18481,2022-12-09,Friday,40.7454,9493
qw23521,2022-12-09,Friday,23.611800000000002,6887
uy26932,2022-12-09,Friday,59.885,14585
yt26932,2022-12-09,Friday,29.5944,5721
ga23521,2022-12-10,Saturday,61.9618,15385
mq18481,2022-12-10,Saturday,31.211,11109
op18481,2022-12-10,Saturday,15.0332,5150
qw23521,2022-12-10,Saturday,62.953,14729
uy26932,2022-12-10,Saturday,52.4746,11264
yt26932,2022-12-10,Saturday,71.8502,15721
ga23521,2022-12-11,Sunday,34.6684,7596
mq18481,2022-12-11,Sunday,10.171599999999998,3602
op18481,2022-12-11,Sunday,9.935599999999999,1179
qw23521,2022-12-11,Sunday,11.540399999999998,1471
uy26932,2022-12-11,Sunday,4.3542,1003
yt26932,2022-12-11,Sunday,10.8442,3003
ga23521,2022-12-12,Monday,34.1846,8215
mq18481,2022-12-12,Monday,42.9756,10492
op18481,2022-12-12,Monday,39.4946,11541
qw23521,2022-12-12,Monday,60.003,13406
uy26932,2022-12-12,Monday,38.444399999999995,11519
yt26932,2022-12-12,Monday,75.1542,16051
ga23521,2022-12-13,Tuesday,17.2752,5947
mq18481,2022-12-13,Tuesday,2.8320000000000003,3301
op18481,2022-12-13,Tuesday,31.4706,9530
qw23521,2022-12-13,Tuesday,12.118599999999999,4653
uy26932,2022-12-13,Tuesday,15.045,3703
yt26932,2022-12-13,Tuesday,18.2546,4624
ga23521,2022-12-14,Wednesday,45.9964,8621
mq18481,2022-12-14,Wednesday,3.0208,1977
op18481,2022-12-14,Wednesday,37.5122,8194
qw23521,2022-12-14,Wednesday,47.613,8721
uy26932,2022-12-14,Wednesday,55.8376,15232
yt26932,2022-12-14,Wednesday,64.0386,13434
ga23521,2022-12-15,Thursday,45.784,8233
mq18481,2022-12-15,Thursday,70.1156,13074
op18481,2022-12-15,Thursday,29.441,10477
qw23521,2022-12-15,Thursday,48.3682,11246
uy26932,2022-12-15,Thursday,58.4336,11758
yt26932,2022-12-15,Thursday,96.7718,13890
ga23521,2022-12-16,Friday,17.0628,3563
