txn.chargeStationCity,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,2022-12-01,Thursday,148.3614,31663
Chennai,2022-12-01,Thursday,94.4708,21181
Chennai,2022-12-02,Friday,4.9323999999999995,1093
Mysore,2022-12-01,Thursday,96.8426,19595
Bangalore,2022-12-02,Friday,141.482,31374
Chennai,2022-12-02,Friday,76.0628,18196
Mysore,2022-12-02,Friday,90.801,17508
Bangalore,2022-12-03,Saturday,31.659399999999998,8854
Chennai,2022-12-03,Saturday,58.4218,12365
Mysore,2022-12-03,Saturday,74.90639999999999,14262
Bangalore,2022-12-04,Sunday,27.022,5797
Chennai,2022-12-04,Sunday,40.415,7643
Mysore,2022-12-04,Sunday,50.1854,9137
Bangalore,2022-12-05,Monday,104.80760000000001,23664
Chennai,2022-12-05,Monday,104.5834,24457
Mysore,2022-12-05,Monday,95.1434,23493
Bangalore,2022-12-06,Tuesday,38.5152,10443
Chennai,2022-12-06,Tuesday,13.216000000000001,5778
Mysore,2022-12-06,Tuesday,24.5322,6476
Bangalore,2022-12-07,Wednesday,53.1118,10053
Chennai,2022-12-07,Wednesday,95.7452,20607
Mysore,2022-12-07,Wednesday,36.0962,8146
Bangalore,2022-12-08,Thursday,88.9012,16667
Chennai,2022-12-08,Thursday,97.1258,24069
Mysore,2022-12-08,Thursday,133.3518,28682
Bangalore,2022-12-09,Friday,33.559200000000004,9155
Chennai,2022-12-09,Friday,24.366999999999997,4703
Mysore,2022-12-09,Friday,33.158,7971
Bangalore,2022-12-10,Saturday,72.4284,24282
Chennai,2022-12-10,Saturday,140.9864,30834
Mysore,2022-12-10,Saturday,57.0766,13900
Bangalore,2022-12-11,Sunday,107.8992,21756
Chennai,2022-12-11,Sunday,102.8488,26160
Mysore,2022-12-11,Sunday,126.04759999999999,26657
Bangalore,2022-12-12,Monday,41.6894,13593
Chennai,2022-12-12,Monday,67.3662,17721
Mysore,2022-12-12,Monday,114.578,23332
Bangalore,2022-12-13,Tuesday,18.1602,4759
Chennai,2022-12-13,Tuesday,17.912399999999998,4587
Mysore,2022-12-13,Tuesday,31.6358,6914
Bangalore,2022-12-14,Wednesday,36.721599999999995,9675
Chennai,2022-12-14,Wednesday,58.351,11212
Mysore,2022-12-14,Wednesday,126.42519999999999,25467
Bangalore,2022-12-15,Thursday,37.535799999999995,7330
Chennai,2022-12-15,Thursday,23.5764,8447
Mysore,2022-12-15,Thursday,38.3618,9773
Bangalore,2022-12-16,Friday,137.529,27603
Chennai,2022-12-16,Friday,112.749,24298
Mysore,2022-12-16,Friday,93.0784,15767
Bangalore,2022-12-17,Saturday,53.0174,8809
Chennai,2022-12-17,Saturday,43.8606,8619
Mysore,2022-12-17,Saturday,42.857600000000005,7048
Bangalore,2022-12-18,Sunday,10.159799999999999,3676
Chennai,2022-12-18,Sunday,70.9534,14671
Mysore,2022-12-18,Sunday,37.830799999999996,9690
Mysore,2022-12-19,Monday,3.7878,1594
Bangalore,2022-12-19,Monday,57.761,16045
Chennai,2022-12-19,Monday,49.501,13640
Mysore,2022-12-19,Monday,74.281,14666
Bangalore,2022-12-20,Tuesday,26.1252,8848
Chennai,2022-12-20,Tuesday,14.042,6994
Mysore,2022-12-20,Tuesday,34.102000000000004,7595
Bangalore,2022-12-21,Wednesday,75.8976,20615
Chennai,2022-12-21,Wednesday,6.8794,2666
Mysore,2022-12-21,Wednesday,32.7804,7074
Bangalore,2022-12-22,Thursday,94.80120000000001,21309
Chennai,2022-12-22,Thursday,122.0356,23512
Mysore,2022-12-22,Thursday,90.9898,20963
Bangalore,2022-12-23,Friday,83.839,18339
Chennai,2022-12-23,Friday,77.3136,21746
Mysore,2022-12-23,Friday,105.964,25064
Bangalore,2022-12-24,Saturday,54.5278,11506
Chennai,2022-12-24,Saturday,58.6932,11826
Mysore,2022-12-24,Saturday,81.6324,15070
Bangalore,2022-12-25,Sunday,103.48599999999999,27005
Chennai,2022-12-25,Sunday,52.392,14879
Mysore,2022-12-25,Sunday,63.8144,19641
Bangalore,2022-12-26,Monday,22.5498,6419
Chennai,2022-12-26,Monday,15.5288,3716
Mysore,2022-12-26,Monday,35.4944,8278
Bangalore,2022-12-27,Tuesday,53.4658,10448
Chennai,2022-12-27,Tuesday,78.588,15576
Mysore,2022-12-27,Tuesday,17.6528,5836
Bangalore,2022-12-28,Wednesday,109.8934,22423
Chennai,2022-12-28,Wednesday,128.8088,27557
Mysore,2022-12-28,Wednesday,97.55059999999999,21832
Bangalore,2022-12-29,Thursday,77.5378,19104
Chennai,2022-12-29,Thursday,40.5448,14085
Mysore,2022-12-29,Thursday,55.4246,10109
Bangalore,2022-12-30,Friday,81.5852,21332
Chennai,2022-12-30,Friday,77.18379999999999,14743
Mysore,2022-12-30,Friday,65.549,21444
Bangalore,2022-12-31,Saturday,69.64359999999999,17992
Chennai,2022-12-31,Saturday,45.0642,8913
Mysore,2022-12-31,Saturday,80.535,21140
