day_of_the_week,Total_amount_charged,txn.deliveredWh
Friday,10.561,1427
Thursday,317.3374,72102
Friday,269.55920000000003,50480
Saturday,163.5362,40713
Sunday,117.9528,28603
Monday,176.233,39072
Tuesday,313.585,67798
Wednesday,118.3186,31655
Thursday,329.2318,77601
Friday,247.90619999999998,56419
Saturday,336.595,72852
Sunday,225.8638,49952
Monday,277.7956,57711
Tuesday,290.8346,64099
Wednesday,183.0062,39164
Thursday,268.5208,64814
Friday,131.26319999999998,32550
Saturday,264.261,62255
Sunday,294.6696,66358
Monday,92.4294,16585
Tuesday,133.7648,28543
Wednesday,129.2926,35243
Thursday,302.9414,67962
Friday,268.45,53756
Saturday,157.6598,34420
Sunday,220.2234,52159
Monday,208.1048,52043
Tuesday,74.2574,14824
Wednesday,265.5708,71368
Thursday,62.1978,15871
Friday,243.2452,55957
Saturday,158.4386,36942
