txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,ga23521,2022-02-01,Tuesday,30.0782,5334
Bangalore,qw23521,2022-02-01,Tuesday,20.1072,5364
Chennai,mq18481,2022-02-01,Tuesday,51.1766,11966
Chennai,op18481,2022-02-01,Tuesday,30.538400000000003,5602
Mysore,uy26932,2022-02-01,Tuesday,17.8416,4907
Mysore,yt26932,2022-02-01,Tuesday,43.388600000000004,9228
Bangalore,ga23521,2022-02-02,Wednesday,27.2226,8197
Bangalore,qw23521,2022-02-02,Wednesday,43.07,8884
Chennai,mq18481,2022-02-02,Wednesday,24.0602,6800
Chennai,op18481,2022-02-02,Wednesday,31.730200000000004,7471
Mysore,uy26932,2022-02-02,Wednesday,33.807,10180
Mysore,yt26932,2022-02-02,Wednesday,13.050799999999999,3374
Bangalore,ga23521,2022-02-03,Thursday,49.3004,11777
Bangalore,qw23521,2022-02-03,Thursday,27.517599999999998,5615
Chennai,mq18481,2022-02-03,Thursday,28.7802,5210
Chennai,op18481,2022-02-03,Thursday,28.4616,8289
Mysore,uy26932,2022-02-03,Thursday,46.6218,11893
Mysore,yt26932,2022-02-03,Thursday,56.9822,10657
Bangalore,ga23521,2022-02-04,Friday,31.683,8284
Bangalore,qw23521,2022-02-04,Friday,61.123999999999995,14282
Chennai,mq18481,2022-02-04,Friday,15.1748,5181
Chennai,op18481,2022-02-04,Friday,29.1814,8200
Mysore,uy26932,2022-02-04,Friday,46.8224,10415
Mysore,yt26932,2022-02-04,Friday,61.596,12697
Bangalore,ga23521,2022-02-05,Saturday,11.1864,1462
Bangalore,qw23521,2022-02-05,Saturday,33.523799999999994,5531
Chennai,mq18481,2022-02-05,Saturday,45.8902,11375
Chennai,op18481,2022-02-05,Saturday,22.1604,4980
Mysore,uy26932,2022-02-05,Saturday,50.4332,9579
Mysore,yt26932,2022-02-05,Saturday,14.9034,4854
Bangalore,ga23521,2022-02-06,Sunday,40.273399999999995,9222
Bangalore,qw23521,2022-02-06,Sunday,76.2988,18062
Chennai,mq18481,2022-02-06,Sunday,35.931,6415
Chennai,op18481,2022-02-06,Sunday,27.965999999999998,8036
Mysore,uy26932,2022-02-06,Sunday,33.748,10751
Mysore,yt26932,2022-02-06,Sunday,30.196199999999997,5382
Bangalore,ga23521,2022-02-07,Monday,9.3574,3151
Bangalore,qw23521,2022-02-07,Monday,22.974600000000002,6164
Chennai,mq18481,2022-02-07,Monday,15.0568,3757
Chennai,op18481,2022-02-07,Monday,13.0154,4406
Mysore,uy26932,2022-02-07,Monday,5.852799999999999,4633
Mysore,yt26932,2022-02-07,Monday,15.7884,2347
Bangalore,ga23521,2022-02-08,Tuesday,9.0624,4682
Bangalore,qw23521,2022-02-08,Tuesday,39.4946,10232
Chennai,mq18481,2022-02-08,Tuesday,46.5864,11456
Chennai,op18481,2022-02-08,Tuesday,40.7808,7401
Mysore,uy26932,2022-02-08,Tuesday,38.8692,8993
Mysore,yt26932,2022-02-08,Tuesday,24.189999999999998,6821
Bangalore,ga23521,2022-02-09,Wednesday,13.865,4560
Bangalore,qw23521,2022-02-09,Wednesday,49.5954,11043
Chennai,mq18481,2022-02-09,Wednesday,43.4122,10197
Chennai,op18481,2022-02-09,Wednesday,37.5122,11058
Mysore,uy26932,2022-02-09,Wednesday,26.4556,6087
Mysore,yt26932,2022-02-09,Wednesday,38.7512,9005
Bangalore,ga23521,2022-02-10,Thursday,5.9708,1872
Bangalore,qw23521,2022-02-10,Thursday,10.749799999999999,1687
Chennai,mq18481,2022-02-10,Thursday,7.8351999999999995,1069
Chennai,op18481,2022-02-10,Thursday,12.968200000000001,4765
Mysore,uy26932,2022-02-10,Thursday,6.324800000000001,1174
Mysore,yt26932,2022-02-10,Thursday,18.372600000000002,4208
Bangalore,ga23521,2022-02-11,Friday,45.005199999999995,6971
Bangalore,qw23521,2022-02-11,Friday,25.488,5713
Chennai,mq18481,2022-02-11,Friday,62.481,11962
Chennai,op18481,2022-02-11,Friday,29.5708,7972
Mysore,uy26932,2022-02-11,Friday,59.9086,13506
