txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
ga23521,2022-02-01,Tuesday,30.0782,5334
mq18481,2022-02-01,Tuesday,51.1766,11966
op18481,2022-02-01,Tuesday,30.538400000000003,5602
qw23521,2022-02-01,Tuesday,20.1072,5364
uy26932,2022-02-01,Tuesday,17.8416,4907
yt26932,2022-02-01,Tuesday,43.388600000000004,9228
ga23521,2022-02-02,Wednesday,27.2226,8197
mq18481,2022-02-02,Wednesday,24.0602,6800
op18481,2022-02-02,Wednesday,31.730200000000004,7471
qw23521,2022-02-02,Wednesday,43.07,8884
uy26932,2022-02-02,Wednesday,33.807,10180
yt26932,2022-02-02,Wednesday,13.050799999999999,3374
ga23521,2022-02-03,Thursday,49.3004,11777
mq18481,2022-02-03,Thursday,28.7802,5210
op18481,2022-02-03,Thursday,28.4616,8289
qw23521,2022-02-03,Thursday,27.517599999999998,5615
uy26932,2022-02-03,Thursday,46.6218,11893
yt26932,2022-02-03,Thursday,56.9822,10657
ga23521,2022-02-04,Friday,31.683,8284
mq18481,2022-02-04,Friday,15.1748,5181
op18481,2022-02-04,Friday,29.1814,8200
qw23521,2022-02-04,Friday,61.123999999999995,14282
uy26932,2022-02-04,Friday,46.8224,10415
yt26932,2022-02-04,Friday,61.596,12697
ga23521,2022-02-05,Saturday,11.1864,1462
mq18481,2022-02-05,Saturday,45.8902,11375
op18481,2022-02-05,Saturday,22.1604,4980
qw23521,2022-02-05,Saturday,33.523799999999994,5531
uy26932,2022-02-05,Saturday,50.4332,9579
yt26932,2022-02-05,Saturday,14.9034,4854
ga23521,2022-02-06,Sunday,40.273399999999995,9222
mq18481,2022-02-06,Sunday,35.931,6415
op18481,2022-02-06,Sunday,27.965999999999998,8036
qw23521,2022-02-06,Sunday,76.2988,18062
uy26932,2022-02-06,Sunday,33.748,10751
yt26932,2022-02-06,Sunday,30.196199999999997,5382
ga23521,2022-02-07,Monday,9.3574,3151
mq18481,2022-02-07,Monday,15.0568,3757
op18481,2022-02-07,Monday,13.0154,4406
qw23521,2022-02-07,Monday,22.974600000000002,6164
uy26932,2022-02-07,Monday,5.852799999999999,4633
yt26932,2022-02-07,Monday,15.7884,2347
ga23521,2022-02-08,Tuesday,9.0624,4682
mq18481,2022-02-08,Tuesday,46.5864,11456
op18481,2022-02-08,Tuesday,40.7808,7401
qw23521,2022-02-08,Tuesday,39.4946,10232
uy26932,2022-02-08,Tuesday,38.8692,8993
yt26932,2022-02-08,Tuesday,24.189999999999998,6821
