txn.chargeStationCity,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,2022-02-01,Tuesday,50.1854,10698
Chennai,2022-02-01,Tuesday,81.715,17568
Mysore,2022-02-01,Tuesday,61.2302,14135
Bangalore,2022-02-02,Wednesday,70.2926,17081
Chennai,2022-02-02,Wednesday,55.790400000000005,14271
Mysore,2022-02-02,Wednesday,46.8578,13554
Bangalore,2022-02-03,Thursday,76.818,17392
Chennai,2022-02-03,Thursday,57.2418,13499
Mysore,2022-02-03,Thursday,103.604,22550
Bangalore,2022-02-04,Friday,92.807,22566
Chennai,2022-02-04,Friday,44.3562,13381
Mysore,2022-02-04,Friday,108.4184,23112
Bangalore,2022-02-05,Saturday,44.7102,6993
Chennai,2022-02-05,Saturday,68.0506,16355
Mysore,2022-02-05,Saturday,65.3366,14433
Bangalore,2022-02-06,Sunday,116.5722,27284
Chennai,2022-02-06,Sunday,63.897,14451
Mysore,2022-02-06,Sunday,63.944199999999995,16133
Bangalore,2022-02-07,Monday,32.332,9315
Chennai,2022-02-07,Monday,28.072200000000002,8163
Mysore,2022-02-07,Monday,21.6412,6980
Bangalore,2022-02-08,Tuesday,48.557,14914
Chennai,2022-02-08,Tuesday,87.3672,18857
Mysore,2022-02-08,Tuesday,63.0592,15814
Bangalore,2022-02-09,Wednesday,63.4604,15603
Chennai,2022-02-09,Wednesday,80.92439999999999,21255
Mysore,2022-02-09,Wednesday,65.2068,15092
Bangalore,2022-02-10,Thursday,16.720599999999997,3559
Chennai,2022-02-10,Thursday,20.8034,5834
Mysore,2022-02-10,Thursday,24.697400000000002,5382
Bangalore,2022-02-11,Friday,70.4932,12684
Chennai,2022-02-11,Friday,92.0518,19934
Mysore,2022-02-11,Friday,83.74459999999999,17952
Bangalore,2022-02-12,Saturday,56.7108,12862
Chennai,2022-02-12,Saturday,48.922799999999995,11048
Mysore,2022-02-12,Saturday,55.5544,11364
Bangalore,2022-02-13,Sunday,59.0236,14884
Chennai,2022-02-13,Sunday,86.56479999999999,21371
Mysore,2022-02-13,Sunday,81.5852,16518
Bangalore,2022-02-14,Monday,28.2138,8246
Chennai,2022-02-14,Monday,5.7348,2417
Mysore,2022-02-14,Monday,21.5704,5556
Bangalore,2022-02-15,Tuesday,77.349,14906
Chennai,2022-02-15,Tuesday,72.7942,12920
Mysore,2022-02-15,Tuesday,48.6396,13892
Bangalore,2022-02-16,Wednesday,105.6926,21786
Chennai,2022-02-16,Wednesday,71.0124,17507
Mysore,2022-02-16,Wednesday,87.7684,20711
Bangalore,2022-02-17,Thursday,99.7218,22849
Chennai,2022-02-17,Thursday,94.8602,28718
Mysore,2022-02-17,Thursday,103.0022,22972
Bangalore,2022-02-18,Friday,99.2852,24314
Chennai,2022-02-18,Friday,98.5182,27755
Mysore,2022-02-18,Friday,75.09519999999999,19956
Bangalore,2022-02-19,Saturday,111.5454,24304
Chennai,2022-02-19,Saturday,92.0046,26056
Mysore,2022-02-19,Saturday,96.524,23037
Bangalore,2022-02-20,Sunday,32.4146,9833
Chennai,2022-02-20,Sunday,19.6352,5209
Mysore,2022-02-20,Sunday,64.1566,11571
Bangalore,2022-02-21,Monday,43.3178,11992
Chennai,2022-02-21,Monday,50.3624,13120
Mysore,2022-02-21,Monday,65.1006,11729
Bangalore,2022-02-22,Tuesday,44.958,9946
Chennai,2022-02-22,Tuesday,82.4348,17125
Mysore,2022-02-22,Tuesday,78.057,23931
Bangalore,2022-02-23,Wednesday,109.9288,27880
Chennai,2022-02-23,Wednesday,85.1606,18831
Mysore,2022-02-23,Wednesday,62.0798,16067
Bangalore,2022-02-24,Thursday,10.5256,4769
Chennai,2022-02-24,Thursday,53.4304,10483
Mysore,2022-02-24,Thursday,30.3614,8450
Bangalore,2022-02-25,Friday,56.0972,12225
Chennai,2022-02-25,Friday,27.470399999999998,6049
Mysore,2022-02-25,Friday,89.1136,20289
Bangalore,2022-02-26,Saturday,39.1052,9515
Chennai,2022-02-26,Saturday,88.9956,19226
Mysore,2022-02-26,Saturday,29.889400000000002,7586
Bangalore,2022-02-27,Sunday,62.3394,16352
Chennai,2022-02-27,Sunday,87.5206,14660
Mysore,2022-02-27,Sunday,96.9724,21943
Bangalore,2022-02-28,Monday,81.0424,19635
Chennai,2022-02-28,Monday,146.39079999999998,35786
Mysore,2022-02-28,Monday,84.12219999999999,19550
