day_of_the_week,Total_amount_charged,txn.deliveredWh
Tuesday,228.035,55153
Wednesday,77.6558,18532
Thursday,86.258,22679
Friday,181.543,45388
Saturday,225.9346,52632
Sunday,352.0294,74350
Monday,185.0948,45483
Tuesday,215.6686,49671
Wednesday,209.2022,40077
Thursday,189.0478,39064
Friday,315.7208,68815
Saturday,362.85,73571
Sunday,75.7088,20451
Monday,319.3316,75586
Tuesday,304.6642,70036
Wednesday,280.6866,60951
Thursday,47.565799999999996,14793
Friday,78.9656,17050
Saturday,182.8764,43415
Monday,5.2392,1178
Sunday,114.9556,23826
Monday,311.8622,73638
Tuesday,71.92099999999999,17898
Wednesday,133.5052,30015
Thursday,216.7188,53610
Friday,246.7852,64226
Saturday,267.7892,58500
Sunday,266.6328,65056
Monday,267.2818,63638
