txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,ga23521,2022-01-01,Saturday,8.5116,3443
Bangalore,qw23521,2022-01-01,Saturday,15.776800000000001,3921
Chennai,mq18481,2022-01-01,Saturday,3.0668,1428
Chennai,op18481,2022-01-01,Saturday,5.412,3117
Mysore,uy26932,2022-01-01,Saturday,5.6088,1890
Mysore,yt26932,2022-01-01,Saturday,10.3812,2850
Bangalore,ga23521,2022-01-02,Sunday,17.0642,4718
Bangalore,qw23521,2022-01-02,Sunday,19.6718,4607
Chennai,mq18481,2022-01-02,Sunday,4.428000000000001,1024
Chennai,op18481,2022-01-02,Sunday,8.036000000000001,1274
Mysore,uy26932,2022-01-02,Sunday,7.896599999999999,4249
Mysore,yt26932,2022-01-02,Sunday,9.700600000000001,4936
Bangalore,ga23521,2022-01-03,Monday,27.388,9829
Bangalore,qw23521,2022-01-03,Monday,46.9696,14162
Chennai,mq18481,2022-01-03,Monday,20.934600000000003,6764
Chennai,op18481,2022-01-03,Monday,48.5358,16395
Mysore,uy26932,2022-01-03,Monday,21.0658,8190
Mysore,yt26932,2022-01-03,Monday,44.1734,11946
Bangalore,ga23521,2022-01-04,Tuesday,16.6132,3863
Bangalore,qw23521,2022-01-04,Tuesday,34.2596,11842
Chennai,mq18481,2022-01-04,Tuesday,13.6202,6900
Chennai,op18481,2022-01-04,Tuesday,20.1228,6994
Mysore,uy26932,2022-01-04,Tuesday,36.4736,10767
Mysore,yt26932,2022-01-04,Tuesday,49.323,17544
Bangalore,ga23521,2022-01-05,Wednesday,23.0912,6936
Bangalore,qw23521,2022-01-05,Wednesday,36.613,13031
Chennai,mq18481,2022-01-05,Wednesday,24.7312,8322
Chennai,op18481,2022-01-05,Wednesday,27.9866,9269
Mysore,uy26932,2022-01-05,Wednesday,34.8746,10198
Mysore,yt26932,2022-01-05,Wednesday,37.7036,14431
Bangalore,ga23521,2022-01-06,Thursday,3.7802000000000002,1362
