txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
ga23521,2022-01-01,Saturday,10.2188,1087
mq18481,2022-01-01,Saturday,18.9036,4335
op18481,2022-01-01,Saturday,51.7548,10070
qw23521,2022-01-01,Saturday,33.1462,7821
uy26932,2022-01-01,Saturday,13.145199999999999,3364
yt26932,2022-01-01,Saturday,31.683,7064
ga23521,2022-01-02,Sunday,14.443199999999997,3022
mq18481,2022-01-02,Sunday,9.9474,3601
op18481,2022-01-02,Sunday,35.7186,6673
qw23521,2022-01-02,Sunday,25.2284,4823
uy26932,2022-01-02,Sunday,30.3732,4765
yt26932,2022-01-02,Sunday,20.709,5220
ga23521,2022-01-03,Monday,49.0762,8821
mq18481,2022-01-03,Monday,60.769999999999996,13701
op18481,2022-01-03,Monday,50.091,11627
qw23521,2022-01-03,Monday,60.8526,14076
uy26932,2022-01-03,Monday,30.2788,4893
yt26932,2022-01-03,Monday,45.288399999999996,13178
mq18481,2022-01-04,Tuesday,46.8224,13536
op18481,2022-01-04,Tuesday,32.6978,8823
qw23521,2022-01-04,Tuesday,23.1634,3985
uy26932,2022-01-04,Tuesday,38.94,7917
yt26932,2022-01-04,Tuesday,38.586,8432
ga23521,2022-01-05,Wednesday,26.290399999999998,6263
op18481,2022-01-05,Wednesday,26.066200000000002,6441
qw23521,2022-01-05,Wednesday,10.561,3041
uy26932,2022-01-05,Wednesday,27.6946,7300
yt26932,2022-01-05,Wednesday,17.7944,6678
ga23521,2022-01-06,Thursday,9.675999999999998,1053
mq18481,2022-01-06,Thursday,17.794400000000003,3166
op18481,2022-01-06,Thursday,11.859,4960
qw23521,2022-01-06,Thursday,26.880399999999998,6769
uy26932,2022-01-06,Thursday,26.7388,4327
yt26932,2022-01-06,Thursday,10.0418,2820
ga23521,2022-01-07,Friday,30.278799999999997,9629
mq18481,2022-01-07,Friday,31.978,8070
op18481,2022-01-07,Friday,54.1502,10561
qw23521,2022-01-07,Friday,47.9906,12804
uy26932,2022-01-07,Friday,45.0524,10797
yt26932,2022-01-07,Friday,33.2052,12232
yt26932,2022-01-08,Saturday,11.575800000000001,1648
ga23521,2022-01-08,Saturday,78.3402,15559
mq18481,2022-01-08,Saturday,22.2076,4036
op18481,2022-01-08,Saturday,29.6652,7779
qw23521,2022-01-08,Saturday,34.5032,10268
uy26932,2022-01-08,Saturday,52.415600000000005,13932
yt26932,2022-01-08,Saturday,62.504599999999996,13672
ga23521,2022-01-09,Sunday,38.1494,10231
mq18481,2022-01-09,Sunday,35.4472,8894
op18481,2022-01-09,Sunday,5.227399999999999,1330
qw23521,2022-01-09,Sunday,61.72580000000001,15820
uy26932,2022-01-09,Sunday,24.4496,6591
yt26932,2022-01-09,Sunday,52.6044,11445
ga23521,2022-01-10,Monday,13.5582,2642
