txn.chargeStationCity,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,2022-01-01,Saturday,72.4874,17736
Chennai,2022-01-01,Saturday,20.744400000000002,3973
Mysore,2022-01-01,Saturday,40.733599999999996,9240
Bangalore,2022-01-02,Sunday,68.72319999999999,17020
Chennai,2022-01-02,Sunday,112.1236,22161
Mysore,2022-01-02,Sunday,104.0406,21731
Bangalore,2022-01-03,Monday,115.9232,25325
Chennai,2022-01-03,Monday,62.0562,19069
Mysore,2022-01-03,Monday,109.8108,24832
Bangalore,2022-01-04,Tuesday,45.3828,12291
Chennai,2022-01-04,Tuesday,12.614199999999997,2790
Mysore,2022-01-04,Tuesday,8.4134,1437
Bangalore,2022-01-05,Wednesday,31.2346,7775
Chennai,2022-01-05,Wednesday,88.0516,22499
Mysore,2022-01-05,Wednesday,62.0444,12483
Bangalore,2022-01-06,Thursday,58.941,15950
Chennai,2022-01-06,Thursday,84.9246,22180
Mysore,2022-01-06,Thursday,32.922000000000004,8110
Bangalore,2022-01-07,Friday,96.5594,20406
Chennai,2022-01-07,Friday,119.6284,24391
Mysore,2022-01-07,Friday,120.3364,27435
Bangalore,2022-01-08,Saturday,70.9534,15470
Chennai,2022-01-08,Saturday,126.2954,29668
Mysore,2022-01-08,Saturday,121.3984,30418
Bangalore,2022-01-09,Sunday,115.876,24065
Chennai,2022-01-09,Sunday,103.3326,22993
Mysore,2022-01-09,Sunday,77.0304,22952
Bangalore,2022-01-10,Monday,52.8876,12937
Chennai,2022-01-10,Monday,52.215,12720
Mysore,2022-01-10,Monday,92.7244,23138
Bangalore,2022-01-11,Tuesday,30.267,7492
Chennai,2022-01-11,Tuesday,48.557,12602
Chennai,2022-01-12,Wednesday,1.3805999999999998,1362
Mysore,2022-01-11,Tuesday,39.4946,7670
Bangalore,2022-01-12,Wednesday,45.3474,12815
Chennai,2022-01-12,Wednesday,42.1378,8918
Mysore,2022-01-12,Wednesday,74.5052,14759
Bangalore,2022-01-13,Thursday,54.0794,9699
Chennai,2022-01-13,Thursday,82.8832,19110
Mysore,2022-01-13,Thursday,62.4456,18139
Bangalore,2022-01-14,Friday,58.4808,11950
Chennai,2022-01-14,Friday,51.6014,14025
Mysore,2022-01-14,Friday,56.5574,10380
Bangalore,2022-01-15,Saturday,53.277,9852
Chennai,2022-01-15,Saturday,51.3536,14172
Mysore,2022-01-15,Saturday,25.5116,6718
Bangalore,2022-01-16,Sunday,55.4718,11271
Chennai,2022-01-16,Sunday,69.2778,19219
Mysore,2022-01-16,Sunday,42.043400000000005,8373
Bangalore,2022-01-17,Monday,77.7738,17013
Chennai,2022-01-17,Monday,38.161199999999994,7504
Mysore,2022-01-17,Monday,46.079,10325
Bangalore,2022-01-18,Tuesday,73.4786,17009
Chennai,2022-01-18,Tuesday,62.717,15164
Mysore,2022-01-18,Tuesday,105.0318,23385
Bangalore,2022-01-19,Wednesday,122.071,25539
Chennai,2022-01-19,Wednesday,64.074,19005
Mysore,2022-01-19,Wednesday,84.0632,17089
Bangalore,2022-01-20,Thursday,52.982,14906
Chennai,2022-01-20,Thursday,84.6532,16468
Mysore,2022-01-20,Thursday,55.165,13206
Bangalore,2022-01-21,Friday,98.0698,22866
Chennai,2022-01-21,Friday,61.006,13877
Mysore,2022-01-21,Friday,95.6862,19096
Bangalore,2022-01-22,Saturday,30.4794,7082
Chennai,2022-01-22,Saturday,14.2308,2378
Mysore,2022-01-22,Saturday,23.3522,4030
Bangalore,2022-01-23,Sunday,107.203,27498
Chennai,2022-01-23,Sunday,119.1446,23778
Mysore,2022-01-23,Sunday,51.9672,10413
Bangalore,2022-01-24,Monday,82.2932,22766
Chennai,2022-01-24,Monday,80.5704,16386
Mysore,2022-01-24,Monday,71.37819999999999,16726
Bangalore,2022-01-25,Tuesday,64.1566,17286
Chennai,2022-01-25,Tuesday,121.2096,28541
Mysore,2022-01-25,Tuesday,93.2908,21234
Bangalore,2022-01-26,Wednesday,61.9028,11083
Chennai,2022-01-26,Wednesday,31.2228,4836
Mysore,2022-01-26,Wednesday,27.293400000000002,5913
Bangalore,2022-01-27,Thursday,134.3194,30043
Chennai,2022-01-27,Thursday,128.9858,27501
Mysore,2022-01-27,Thursday,63.012,17152
Bangalore,2022-01-28,Friday,137.1514,27987
Chennai,2022-01-28,Friday,76.58200000000001,17749
Mysore,2022-01-28,Friday,132.8916,26152
Bangalore,2022-01-29,Saturday,34.4088,9520
Chennai,2022-01-29,Saturday,85.07799999999999,16638
Mysore,2022-01-29,Saturday,94.931,21490
Bangalore,2022-01-30,Sunday,30.09,7036
Chennai,2022-01-30,Sunday,36.7806,9248
Mysore,2022-01-30,Sunday,105.8696,26727
Bangalore,2022-01-31,Monday,65.5018,18241
Chennai,2022-01-31,Monday,89.562,21916
Mysore,2022-01-31,Monday,99.2616,23847
