day_of_the_week,Total_amount_charged,txn.deliveredWh
Saturday,133.9654,30949
Sunday,284.8874,60912
Monday,287.79019999999997,69226
Tuesday,66.4104,16518
Wednesday,181.3306,42757
Thursday,176.7876,46240
Friday,336.5242,72232
Saturday,318.6472,75556
Sunday,296.239,70010
Monday,197.827,48795
Tuesday,118.3186,27764
Wednesday,1.3805999999999998,1362
Wednesday,161.9904,36492
Thursday,199.4082,46948
Friday,166.6396,36355
Saturday,130.1422,30742
Sunday,166.793,38863
Monday,162.01399999999998,34842
Tuesday,241.2274,55558
Wednesday,270.2082,61633
Thursday,192.8002,44580
Friday,254.762,55839
Saturday,68.0624,13490
Sunday,278.3148,61689
Monday,234.2418,55878
Tuesday,278.657,67061
Wednesday,120.419,21832
Thursday,326.3172,74696
Friday,346.625,71888
Saturday,214.4178,47648
Sunday,172.74020000000002,43011
Monday,254.3254,64004
