txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
ga23521,2022-07-01,Friday,19.2812,2922
mq18481,2022-07-01,Friday,28.143,5399
op18481,2022-07-01,Friday,25.3936,6935
qw23521,2022-07-01,Friday,68.8766,15465
uy26932,2022-07-01,Friday,47.613,9194
yt26932,2022-07-01,Friday,52.4628,7857
ga23521,2022-07-02,Saturday,42.822199999999995,7570
mq18481,2022-07-02,Saturday,39.931200000000004,8414
op18481,2022-07-02,Saturday,32.3438,8790
qw23521,2022-07-02,Saturday,33.5828,12338
uy26932,2022-07-02,Saturday,56.0618,12904
yt26932,2022-07-02,Saturday,61.6196,16045
ga23521,2022-07-03,Sunday,21.865399999999998,8516
mq18481,2022-07-03,Sunday,24.839,5586
op18481,2022-07-03,Sunday,33.181599999999996,6973
qw23521,2022-07-03,Sunday,16.8976,4429
uy26932,2022-07-03,Sunday,46.9876,10262
yt26932,2022-07-03,Sunday,54.126599999999996,10540
ga23521,2022-07-04,Monday,55.2476,14117
mq18481,2022-07-04,Monday,56.0028,10149
op18481,2022-07-04,Monday,36.6862,9833
qw23521,2022-07-04,Monday,37.111,6951
uy26932,2022-07-04,Monday,58.115,13993
yt26932,2022-07-04,Monday,54.952600000000004,13506
ga23521,2022-07-05,Tuesday,13.8886,8220
mq18481,2022-07-05,Tuesday,101.716,20629
op18481,2022-07-05,Tuesday,67.4016,15799
qw23521,2022-07-05,Tuesday,68.971,17511
uy26932,2022-07-05,Tuesday,17.2988,4100
yt26932,2022-07-05,Tuesday,50.7046,9974
ga23521,2022-07-06,Wednesday,58.7168,12435
mq18481,2022-07-06,Wednesday,49.6898,12405
op18481,2022-07-06,Wednesday,35.458999999999996,7662
qw23521,2022-07-06,Wednesday,50.8816,11105
uy26932,2022-07-06,Wednesday,79.9332,17475
yt26932,2022-07-06,Wednesday,43.034600000000005,11366
ga23521,2022-07-07,Thursday,30.1608,7634
mq18481,2022-07-07,Thursday,38.2438,8406
op18481,2022-07-07,Thursday,11.9298,2823
qw23521,2022-07-07,Thursday,7.5756,2999
uy26932,2022-07-07,Thursday,54.456999999999994,12437
yt26932,2022-07-07,Thursday,33.6182,7956
ga23521,2022-07-08,Friday,53.8434,11514
mq18481,2022-07-08,Friday,6.0416,1837
op18481,2022-07-08,Friday,46.2206,11086
qw23521,2022-07-08,Friday,45.559799999999996,8194
uy26932,2022-07-08,Friday,41.3354,13146
yt26932,2022-07-08,Friday,14.455,2822
ga23521,2022-07-09,Saturday,40.4386,10826
mq18481,2022-07-09,Saturday,53.7962,14263
op18481,2022-07-09,Saturday,42.5272,8153
qw23521,2022-07-09,Saturday,22.2076,4466
uy26932,2022-07-09,Saturday,63.3306,10556
yt26932,2022-07-09,Saturday,39.9666,9187
ga23521,2022-07-10,Sunday,16.8504,3197
mq18481,2022-07-10,Sunday,29.8186,7387
op18481,2022-07-10,Sunday,38.8692,15312
qw23521,2022-07-10,Sunday,79.709,15275
uy26932,2022-07-10,Sunday,33.0636,10947
yt26932,2022-07-10,Sunday,41.7012,10472
ga23521,2022-07-11,Monday,19.1514,2095
mq18481,2022-07-11,Monday,16.602600000000002,2961
op18481,2022-07-11,Monday,33.1816,7007
qw23521,2022-07-11,Monday,18.549599999999998,4506
uy26932,2022-07-11,Monday,36.922200000000004,4718
yt26932,2022-07-11,Monday,6.9148000000000005,1076
mq18481,2022-07-12,Tuesday,15.693999999999999,4235
op18481,2022-07-12,Tuesday,5.428,1529
qw23521,2022-07-12,Tuesday,14.455,6633
uy26932,2022-07-12,Tuesday,20.65,4391
ga23521,2022-07-13,Wednesday,20.9332,4935
mq18481,2022-07-13,Wednesday,44.4388,12471
op18481,2022-07-13,Wednesday,14.927,3508
qw23521,2022-07-13,Wednesday,31.7066,6583
uy26932,2022-07-13,Wednesday,23.0218,8322
yt26932,2022-07-13,Wednesday,34.986999999999995,6882
ga23521,2022-07-14,Thursday,47.9198,10092
mq18481,2022-07-14,Thursday,13.1216,3400
op18481,2022-07-14,Thursday,40.2498,7656
qw23521,2022-07-14,Thursday,36.839600000000004,6897
uy26932,2022-07-14,Thursday,26.0544,8247
yt26932,2022-07-14,Thursday,52.014399999999995,13251
mq18481,2022-07-15,Friday,19.599800000000002,6956
op18481,2022-07-15,Friday,4.3542,1229
qw23521,2022-07-15,Friday,14.0774,2574
yt26932,2022-07-15,Friday,20.6618,4087
ga23521,2022-07-16,Saturday,51.294599999999996,9107
mq18481,2022-07-16,Saturday,37.2526,10088
op18481,2022-07-16,Saturday,30.160800000000002,6543
qw23521,2022-07-16,Saturday,36.344,9966
uy26932,2022-07-16,Saturday,81.5498,21630
yt26932,2022-07-16,Saturday,42.9166,10686
ga23521,2022-07-17,Sunday,26.715200000000003,6087
mq18481,2022-07-17,Sunday,30.3496,7079
op18481,2022-07-17,Sunday,30.798000000000002,8021
qw23521,2022-07-17,Sunday,27.9896,4968
uy26932,2022-07-17,Sunday,22.6678,6642
yt26932,2022-07-17,Sunday,53.206199999999995,12159
mq18481,2022-07-18,Monday,20.7562,6342
qw23521,2022-07-18,Monday,28.5442,4871
uy26932,2022-07-18,Monday,11.941600000000001,2902
yt26932,2022-07-18,Monday,1.4631999999999998,1825
ga23521,2022-07-19,Tuesday,34.3262,12035
mq18481,2022-07-19,Tuesday,43.4948,7612
