txn.chargeStationCity,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,2022-07-01,Friday,72.48740000000001,16184
Chennai,2022-07-01,Friday,57.2064,9147
Mysore,2022-07-01,Friday,36.9694,8887
Bangalore,2022-07-02,Saturday,52.1678,10971
Chennai,2022-07-02,Saturday,50.032,9456
Mysore,2022-07-02,Saturday,44.7928,12225
Bangalore,2022-07-03,Sunday,81.8094,17634
Chennai,2022-07-03,Sunday,56.0028,12605
Mysore,2022-07-03,Sunday,100.0404,20357
Bangalore,2022-07-04,Monday,71.2838,13454
Chennai,2022-07-04,Monday,51.6958,13251
Mysore,2022-07-04,Monday,62.481,15294
Bangalore,2022-07-05,Tuesday,82.541,17264
Chennai,2022-07-05,Tuesday,103.4506,21421
Mysore,2022-07-05,Tuesday,84.3464,20451
Bangalore,2022-07-06,Wednesday,70.3988,18686
Chennai,2022-07-06,Wednesday,85.255,19349
Mysore,2022-07-06,Wednesday,100.8664,19420
Bangalore,2022-07-07,Thursday,19.9538,7599
Chennai,2022-07-07,Thursday,20.7562,5052
Mysore,2022-07-07,Thursday,21.3698,4245
Bangalore,2022-07-08,Friday,19.9302,3986
Chennai,2022-07-08,Friday,36.1198,8480
Mysore,2022-07-08,Friday,31.4116,7476
Bangalore,2022-07-09,Saturday,26.172400000000003,6576
Chennai,2022-07-09,Saturday,33.158,12467
Mysore,2022-07-09,Saturday,27.930600000000002,5734
Bangalore,2022-07-10,Sunday,46.456599999999995,7759
Chennai,2022-07-10,Sunday,61.065,14368
Mysore,2022-07-10,Sunday,61.4072,13351
Bangalore,2022-07-11,Monday,64.7466,17363
Chennai,2022-07-11,Monday,48.498,13111
Mysore,2022-07-11,Monday,84.9128,18206
Bangalore,2022-07-12,Tuesday,82.3286,18053
Chennai,2022-07-12,Tuesday,61.407199999999996,19889
Mysore,2022-07-12,Tuesday,157.9902,36247
Bangalore,2022-07-13,Wednesday,77.66760000000001,22242
Chennai,2022-07-13,Wednesday,84.68860000000001,20136
Mysore,2022-07-13,Wednesday,92.6772,18230
Bangalore,2022-07-14,Thursday,73.514,16164
Chennai,2022-07-14,Thursday,89.1254,22150
Mysore,2022-07-14,Thursday,75.8504,23301
Bangalore,2022-07-15,Friday,29.700599999999998,9020
Chennai,2022-07-15,Friday,30.561999999999998,7645
Mysore,2022-07-15,Friday,37.4768,8129
Bangalore,2022-07-16,Saturday,101.2676,25288
Chennai,2022-07-16,Saturday,75.2958,18520
Mysore,2022-07-16,Saturday,65.313,17411
Bangalore,2022-07-17,Sunday,14.514,3338
Chennai,2022-07-17,Sunday,23.541,5587
Mysore,2022-07-17,Sunday,40.533,8104
Bangalore,2022-07-18,Monday,118.0,29277
Chennai,2022-07-18,Monday,62.5282,15480
Mysore,2022-07-18,Monday,93.2318,22612
Bangalore,2022-07-19,Tuesday,52.391999999999996,9480
Chennai,2022-07-19,Tuesday,44.427,12111
Mysore,2022-07-19,Tuesday,29.2404,5891
Bangalore,2022-07-20,Wednesday,43.7662,10329
Chennai,2022-07-20,Wednesday,35.4354,9163
Mysore,2022-07-20,Wednesday,54.7166,12119
Bangalore,2022-07-21,Thursday,117.98819999999999,24338
Chennai,2022-07-21,Thursday,77.8918,18419
Mysore,2022-07-21,Thursday,62.9766,17225
Bangalore,2022-07-22,Friday,80.4524,18174
Chennai,2022-07-22,Friday,71.5316,19798
Mysore,2022-07-22,Friday,129.4932,26707
Bangalore,2022-07-23,Saturday,51.2002,9812
Chennai,2022-07-23,Saturday,62.717,15509
Mysore,2022-07-23,Saturday,43.010999999999996,9504
Bangalore,2022-07-24,Sunday,53.052800000000005,11572
Chennai,2022-07-24,Sunday,73.92699999999999,21421
Mysore,2022-07-24,Sunday,63.6374,12741
Bangalore,2022-07-25,Monday,49.300399999999996,8136
Chennai,2022-07-25,Monday,25.2992,4173
Mysore,2022-07-25,Monday,78.5644,14537
Bangalore,2022-07-26,Tuesday,28.2138,8186
Chennai,2022-07-26,Tuesday,39.4946,9854
Mysore,2022-07-26,Tuesday,22.4318,6127
Bangalore,2022-07-27,Wednesday,59.4248,11242
Chennai,2022-07-27,Wednesday,59.4012,16359
Mysore,2022-07-27,Wednesday,26.644399999999997,4391
Bangalore,2022-07-28,Thursday,86.94239999999999,22734
Chennai,2022-07-28,Thursday,57.4188,17620
Mysore,2022-07-28,Thursday,41.7484,10152
Bangalore,2022-07-29,Friday,20.8624,6070
Chennai,2022-07-29,Friday,40.8044,6465
Mysore,2022-07-29,Friday,61.5488,10897
Bangalore,2022-07-30,Saturday,19.9184,4412
Chennai,2022-07-30,Saturday,11.2572,2682
Mysore,2022-07-30,Saturday,38.892799999999994,9089
Bangalore,2022-07-31,Sunday,84.9246,19823
Chennai,2022-07-31,Sunday,53.5248,11776
Mysore,2022-07-31,Sunday,69.9976,17523
