day_of_the_week,Total_amount_charged,txn.deliveredWh
Friday,191.3606,43820
Saturday,320.9128,60668
Sunday,204.0928,50324
Monday,224.1882,58561
Tuesday,241.9354,59515
Wednesday,225.6396,54759
Thursday,295.7198,78412
Friday,229.569,53231
Saturday,228.507,50393
Sunday,132.6556,29054
Monday,290.4334,64738
Tuesday,272.698,67731
Wednesday,156.881,34602
Thursday,274.586,55965
Friday,139.8418,29412
Saturday,129.1864,31948
Sunday,264.556,57932
Monday,215.8456,52847
Tuesday,86.7182,18439
Wednesday,6.6434,1279
Wednesday,247.977,55746
Thursday,230.0882,55437
Friday,279.3532,56690
Saturday,242.5018,56801
Sunday,6.0888,1367
Sunday,126.26,29524
Monday,152.5622,35551
Tuesday,318.9776,71425
Wednesday,216.058,44634
Thursday,90.7184,21533
Friday,278.2558,71211
Saturday,276.2498,66761
Sunday,6.4192,1555
Sunday,91.096,20930
