txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,ga23521,2022-06-01,Wednesday,24.638399999999997,3992
Bangalore,qw23521,2022-06-01,Wednesday,14.136399999999998,3238
Chennai,mq18481,2022-06-01,Wednesday,67.4016,14308
Chennai,op18481,2022-06-01,Wednesday,16.3902,3460
Mysore,uy26932,2022-06-01,Wednesday,58.1976,15800
Mysore,yt26932,2022-06-01,Wednesday,15.7648,4512
Bangalore,ga23521,2022-06-02,Thursday,37.111,6499
Bangalore,qw23521,2022-06-02,Thursday,18.997999999999998,2374
Chennai,mq18481,2022-06-02,Thursday,27.446799999999996,5877
Chennai,op18481,2022-06-02,Thursday,14.9506,4419
Mysore,yt26932,2022-06-02,Thursday,21.3226,4486
Bangalore,ga23521,2022-06-03,Friday,4.4722,1059
Bangalore,qw23521,2022-06-03,Friday,25.4526,4515
Chennai,mq18481,2022-06-03,Friday,9.6288,1281
Chennai,op18481,2022-06-03,Friday,55.696,11172
Mysore,uy26932,2022-06-03,Friday,15.611400000000001,5702
Mysore,yt26932,2022-06-03,Friday,6.631600000000001,2186
Bangalore,ga23521,2022-06-04,Saturday,35.105,7485
Bangalore,qw23521,2022-06-04,Saturday,37.406,7255
Chennai,mq18481,2022-06-04,Saturday,62.6816,13523
Chennai,op18481,2022-06-04,Saturday,32.7804,8634
Mysore,uy26932,2022-06-04,Saturday,39.8368,7078
Mysore,yt26932,2022-06-04,Saturday,20.4258,4908
Bangalore,ga23521,2022-06-05,Sunday,74.5288,15144
Bangalore,qw23521,2022-06-05,Sunday,56.6872,13257
Chennai,mq18481,2022-06-05,Sunday,58.1622,11459
Chennai,op18481,2022-06-05,Sunday,17.888799999999996,6298
Mysore,uy26932,2022-06-05,Sunday,23.5056,6187
Mysore,yt26932,2022-06-05,Sunday,21.546799999999998,4110
Bangalore,ga23521,2022-06-06,Monday,15.8002,4829
Bangalore,qw23521,2022-06-06,Monday,15.634999999999998,2742
Chennai,mq18481,2022-06-06,Monday,23.281399999999998,2562
Chennai,op18481,2022-06-06,Monday,7.4458,3157
Mysore,uy26932,2022-06-06,Monday,23.7416,6724
Mysore,yt26932,2022-06-06,Monday,33.5002,7403
Bangalore,ga23521,2022-06-07,Tuesday,33.8424,5929
Bangalore,qw23521,2022-06-07,Tuesday,31.6122,5658
Chennai,mq18481,2022-06-07,Tuesday,18.6086,4528
Chennai,op18481,2022-06-07,Tuesday,18.8564,5881
Mysore,uy26932,2022-06-07,Tuesday,41.2882,8957
Bangalore,ga23521,2022-06-08,Wednesday,23.694399999999998,5846
Bangalore,qw23521,2022-06-08,Wednesday,19.4818,4565
Chennai,mq18481,2022-06-08,Wednesday,1.239,1976
Chennai,op18481,2022-06-08,Wednesday,9.9002,2933
Mysore,yt26932,2022-06-08,Wednesday,21.5586,3252
Bangalore,ga23521,2022-06-09,Thursday,32.863,8151
Bangalore,qw23521,2022-06-09,Thursday,20.5556,6182
Chennai,mq18481,2022-06-09,Thursday,25.6768,4963
Chennai,op18481,2022-06-09,Thursday,50.8344,7729
Mysore,uy26932,2022-06-09,Thursday,35.2466,7665
Mysore,yt26932,2022-06-09,Thursday,35.919200000000004,6601
Bangalore,ga23521,2022-06-10,Friday,49.796,10573
Bangalore,qw23521,2022-06-10,Friday,8.142,1724
Chennai,mq18481,2022-06-10,Friday,61.36,17799
Chennai,op18481,2022-06-10,Friday,34.4324,13841
Mysore,uy26932,2022-06-10,Friday,31.683,5900
Mysore,yt26932,2022-06-10,Friday,82.6118,22162
Bangalore,ga23521,2022-06-11,Saturday,31.564999999999998,6245
Bangalore,qw23521,2022-06-11,Saturday,9.9238,1750
Chennai,mq18481,2022-06-11,Saturday,5.8764,3067
Mysore,uy26932,2022-06-11,Saturday,23.246,4006
Mysore,yt26932,2022-06-11,Saturday,9.9592,1564
Bangalore,ga23521,2022-06-12,Sunday,51.153,11456
Bangalore,qw23521,2022-06-12,Sunday,30.090000000000003,4511
Chennai,mq18481,2022-06-12,Sunday,15.3046,3218
Chennai,op18481,2022-06-12,Sunday,47.8018,11086
Mysore,uy26932,2022-06-12,Sunday,32.2494,7628
Mysore,yt26932,2022-06-12,Sunday,13.735199999999999,4922
Bangalore,ga23521,2022-06-13,Monday,14.7972,2417
Bangalore,qw23521,2022-06-13,Monday,17.369600000000002,3534
Chennai,mq18481,2022-06-13,Monday,17.6646,2999
Chennai,op18481,2022-06-13,Monday,24.7564,8022
Mysore,uy26932,2022-06-13,Monday,16.2958,2317
Mysore,yt26932,2022-06-13,Monday,11.4224,3172
Bangalore,ga23521,2022-06-14,Tuesday,14.7854,3553
Bangalore,qw23521,2022-06-14,Tuesday,37.6302,5693
Chennai,mq18481,2022-06-14,Tuesday,54.7992,9495
Chennai,op18481,2022-06-14,Tuesday,49.394800000000004,9127
Mysore,uy26932,2022-06-14,Tuesday,25.2402,6332
Mysore,yt26932,2022-06-14,Tuesday,32.745,8138
