txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
ga23521,2022-06-01,Wednesday,35.7422,10297
mq18481,2022-06-01,Wednesday,30.762600000000003,6670
op18481,2022-06-01,Wednesday,19.706,3797
qw23521,2022-06-01,Wednesday,63.543,10918
uy26932,2022-06-01,Wednesday,25.8892,5987
yt26932,2022-06-01,Wednesday,12.862,3653
ga23521,2022-06-02,Thursday,14.2072,3133
mq18481,2022-06-02,Thursday,33.0282,7736
op18481,2022-06-02,Thursday,9.8176,1686
qw23521,2022-06-02,Thursday,2.9028,3427
uy26932,2022-06-02,Thursday,29.653399999999998,5489
yt26932,2022-06-02,Thursday,52.805,13913
ga23521,2022-06-03,Friday,16.1896,3354
mq18481,2022-06-03,Friday,66.965,16935
op18481,2022-06-03,Friday,29.146,7766
qw23521,2022-06-03,Friday,55.4482,15102
uy26932,2022-06-03,Friday,28.4262,5800
yt26932,2022-06-03,Friday,75.55539999999999,15854
ga23521,2022-06-04,Saturday,6.7378,1099
mq18481,2022-06-04,Saturday,23.7416,7214
op18481,2022-06-04,Saturday,27.1754,7993
qw23521,2022-06-04,Saturday,7.0092,3344
uy26932,2022-06-04,Saturday,26.2314,7949
yt26932,2022-06-04,Saturday,31.564999999999998,4972
ga23521,2022-06-05,Sunday,5.6758,2296
mq18481,2022-06-05,Sunday,31.588599999999996,7029
op18481,2022-06-05,Sunday,16.9448,3254
qw23521,2022-06-05,Sunday,42.8576,6642
uy26932,2022-06-05,Sunday,18.9862,2432
yt26932,2022-06-05,Sunday,1.5458,1399
ga23521,2022-06-06,Monday,43.9432,9665
mq18481,2022-06-06,Monday,24.2962,7598
op18481,2022-06-06,Monday,27.9542,7975
qw23521,2022-06-06,Monday,56.994,11957
uy26932,2022-06-06,Monday,34.7392,6791
yt26932,2022-06-06,Monday,38.8928,6190
ga23521,2022-06-07,Tuesday,22.4436,5104
mq18481,2022-06-07,Tuesday,7.587400000000001,4369
op18481,2022-06-07,Tuesday,8.378,3848
qw23521,2022-06-07,Tuesday,13.3812,2850
uy26932,2022-06-07,Tuesday,7.776199999999999,1302
yt26932,2022-06-07,Tuesday,17.877,3045
ga23521,2022-06-08,Wednesday,68.2512,15242
mq18481,2022-06-08,Wednesday,33.335,8238
op18481,2022-06-08,Wednesday,45.784,9411
qw23521,2022-06-08,Wednesday,42.5036,13567
uy26932,2022-06-08,Wednesday,39.0226,8416
yt26932,2022-06-08,Wednesday,73.278,20981
ga23521,2022-06-09,Thursday,71.00059999999999,13473
mq18481,2022-06-09,Thursday,40.3088,7769
op18481,2022-06-09,Thursday,39.6834,10267
qw23521,2022-06-09,Thursday,32.001599999999996,8255
uy26932,2022-06-09,Thursday,37.6066,6141
yt26932,2022-06-09,Thursday,16.8976,3942
ga23521,2022-06-10,Friday,34.0312,5635
mq18481,2022-06-10,Friday,24.0956,5947
op18481,2022-06-10,Friday,37.4296,7679
qw23521,2022-06-10,Friday,41.3708,10848
uy26932,2022-06-10,Friday,49.9612,10487
yt26932,2022-06-10,Friday,6.4782,1202
ga23521,2022-06-11,Saturday,49.9258,14042
mq18481,2022-06-11,Saturday,68.0388,14851
op18481,2022-06-11,Saturday,82.5646,15784
qw23521,2022-06-11,Saturday,25.7948,7973
uy26932,2022-06-11,Saturday,41.1466,7257
yt26932,2022-06-11,Saturday,30.3614,6812
ga23521,2022-06-12,Sunday,11.977,2960
mq18481,2022-06-12,Sunday,16.1188,4306
op18481,2022-06-12,Sunday,9.086,4878
qw23521,2022-06-12,Sunday,15.517,3597
uy26932,2022-06-12,Sunday,7.433999999999999,1078
yt26932,2022-06-12,Sunday,11.033000000000001,3477
ga23521,2022-06-13,Monday,7.138999999999999,3031
mq18481,2022-06-13,Monday,47.9788,10184
op18481,2022-06-13,Monday,31.9544,8615
qw23521,2022-06-13,Monday,23.375799999999998,4692
uy26932,2022-06-13,Monday,33.205200000000005,7270
yt26932,2022-06-13,Monday,15.222000000000001,3264
ga23521,2022-06-14,Tuesday,9.6406,1556
mq18481,2022-06-14,Tuesday,12.767600000000002,3387
op18481,2022-06-14,Tuesday,19.47,6775
qw23521,2022-06-14,Tuesday,23.8832,4545
uy26932,2022-06-14,Tuesday,8.2128,1750
yt26932,2022-06-14,Tuesday,20.3078,4562
ga23521,2022-06-15,Wednesday,39.447399999999995,7807
mq18481,2022-06-15,Wednesday,26.7978,4987
op18481,2022-06-15,Wednesday,24.7092,6233
qw23521,2022-06-15,Wednesday,41.6776,11071
uy26932,2022-06-15,Wednesday,15.3872,4953
yt26932,2022-06-15,Wednesday,4.8616,3205
ga23521,2022-06-16,Thursday,45.4772,13170
mq18481,2022-06-16,Thursday,27.0102,7027
op18481,2022-06-16,Thursday,46.409400000000005,13914
qw23521,2022-06-16,Thursday,38.586,9457
uy26932,2022-06-16,Thursday,45.017,11995
yt26932,2022-06-16,Thursday,80.6648,13915
ga23521,2022-06-17,Friday,39.6952,8705
mq18481,2022-06-17,Friday,43.778000000000006,12817
op18481,2022-06-17,Friday,50.1146,10740
qw23521,2022-06-17,Friday,52.9938,11517
uy26932,2022-06-17,Friday,52.6988,14861
yt26932,2022-06-17,Friday,46.492,10371
ga23521,2022-06-18,Saturday,27.5294,5467
mq18481,2022-06-18,Saturday,41.5006,11538
op18481,2022-06-18,Saturday,46.669000000000004,11399
qw23521,2022-06-18,Saturday,35.7776,7963
uy26932,2022-06-18,Saturday,70.4224,11161
yt26932,2022-06-18,Saturday,18.6912,4909
ga23521,2022-06-19,Sunday,50.7872,8757
mq18481,2022-06-19,Sunday,28.166600000000003,8241
op18481,2022-06-19,Sunday,41.9844,9911
qw23521,2022-06-19,Sunday,21.5704,5455
uy26932,2022-06-19,Sunday,15.6232,2838
yt26932,2022-06-19,Sunday,7.8824,1203
ga23521,2022-06-20,Monday,27.281599999999997,7626
mq18481,2022-06-20,Monday,69.7498,14336
op18481,2022-06-20,Monday,39.7188,8221
qw23521,2022-06-20,Monday,36.7806,7312
uy26932,2022-06-20,Monday,19.3048,4917
yt26932,2022-06-20,Monday,16.991999999999997,5022
ga23521,2022-06-21,Tuesday,21.476,8972
mq18481,2022-06-21,Tuesday,35.1876,7761
op18481,2022-06-21,Tuesday,54.0794,13403
qw23521,2022-06-21,Tuesday,9.6288,2718
uy26932,2022-06-21,Tuesday,33.2406,9419
yt26932,2022-06-21,Tuesday,30.7744,7948
ga23521,2022-06-22,Wednesday,23.1634,5904
mq18481,2022-06-22,Wednesday,22.656,4991
op18481,2022-06-22,Wednesday,20.8152,3360
qw23521,2022-06-22,Wednesday,11.2218,3900
uy26932,2022-06-22,Wednesday,21.063,3969
yt26932,2022-06-22,Wednesday,12.354600000000001,2953
ga23521,2022-06-23,Thursday,32.3084,6306
mq18481,2022-06-23,Thursday,13.2042,4482
op18481,2022-06-23,Thursday,52.6162,8996
qw23521,2022-06-23,Thursday,63.8026,13490
uy26932,2022-06-23,Thursday,38.881,8892
yt26932,2022-06-23,Thursday,47.0112,10901
ga23521,2022-06-24,Friday,42.9992,6886
mq18481,2022-06-24,Friday,25.4762,4436
op18481,2022-06-24,Friday,19.706000000000003,4157
qw23521,2022-06-24,Friday,8.7674,1442
uy26932,2022-06-24,Friday,17.4876,5172
yt26932,2022-06-24,Friday,13.5582,2709
ga23521,2022-06-25,Saturday,16.154199999999996,5309
mq18481,2022-06-25,Saturday,62.575399999999995,17289
op18481,2022-06-25,Saturday,63.047399999999996,16086
qw23521,2022-06-25,Saturday,22.892000000000003,6475
uy26932,2022-06-25,Saturday,71.2484,12454
yt26932,2022-06-25,Saturday,23.1634,6568
ga23521,2022-06-26,Sunday,26.019,6115
mq18481,2022-06-26,Sunday,31.2346,6766
op18481,2022-06-26,Sunday,46.0554,11181
qw23521,2022-06-26,Sunday,26.55,5579
uy26932,2022-06-26,Sunday,4.4132,1833
yt26932,2022-06-26,Sunday,20.0718,2302
ga23521,2022-06-27,Monday,60.5694,10362
mq18481,2022-06-27,Monday,27.564799999999998,7663
op18481,2022-06-27,Monday,24.3906,5085
qw23521,2022-06-27,Monday,30.857,6539
uy26932,2022-06-27,Monday,39.235,13256
yt26932,2022-06-27,Monday,33.547399999999996,8531
mq18481,2022-06-28,Tuesday,16.968400000000003,4192
op18481,2022-06-28,Tuesday,9.735,1811
qw23521,2022-06-28,Tuesday,12.4726,2331
uy26932,2022-06-28,Tuesday,3.5989999999999998,1702
yt26932,2022-06-28,Tuesday,12.508000000000001,4259
ga23521,2022-06-29,Wednesday,70.033,14494
mq18481,2022-06-29,Wednesday,40.2734,10098
op18481,2022-06-29,Wednesday,35.0814,9528
qw23521,2022-06-29,Wednesday,46.7988,11416
uy26932,2022-06-29,Wednesday,37.8662,8783
yt26932,2022-06-29,Wednesday,36.0018,10170
ga23521,2022-06-30,Thursday,19.5762,4860
mq18481,2022-06-30,Thursday,33.063599999999994,6795
op18481,2022-06-30,Thursday,20.095399999999998,5512
qw23521,2022-06-30,Thursday,38.1258,5137
yt26932,2022-06-30,Thursday,8.4134,1086
