txn.chargeStationCity,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,2022-06-01,Wednesday,52.569,8741
Chennai,2022-06-01,Wednesday,22.774,7495
Mysore,2022-06-01,Wednesday,11.8472,2650
Bangalore,2022-06-02,Thursday,14.868000000000002,3234
Chennai,2022-06-02,Thursday,19.3874,2794
Mysore,2022-06-02,Thursday,45.2412,12073
Bangalore,2022-06-03,Friday,31.6358,8199
Chennai,2022-06-03,Friday,106.377,21564
Mysore,2022-06-03,Friday,86.6474,18769
Bangalore,2022-06-04,Saturday,116.91439999999999,26242
Chennai,2022-06-04,Saturday,82.0218,15767
Mysore,2022-06-04,Saturday,61.560599999999994,16461
Bangalore,2022-06-05,Sunday,52.3212,14826
Chennai,2022-06-05,Sunday,109.563,24712
Mysore,2022-06-05,Sunday,83.74459999999999,17911
Bangalore,2022-06-06,Monday,95.78059999999999,26849
Chennai,2022-06-06,Monday,69.6318,14843
Mysore,2022-06-06,Monday,152.574,27833
Bangalore,2022-06-07,Tuesday,88.2522,19545
Chennai,2022-06-07,Tuesday,96.75999999999999,21480
Mysore,2022-06-07,Tuesday,90.034,24417
Bangalore,2022-06-08,Wednesday,50.52759999999999,10770
Chennai,2022-06-08,Wednesday,87.4026,19076
Mysore,2022-06-08,Wednesday,32.638799999999996,8827
Bangalore,2022-06-09,Thursday,35.518,7826
Chennai,2022-06-09,Thursday,75.7442,15190
Mysore,2022-06-09,Thursday,68.499,13405
Bangalore,2022-06-10,Friday,27.966,8189
Chennai,2022-06-10,Friday,59.531,12311
Mysore,2022-06-10,Friday,76.1926,15319
Bangalore,2022-06-11,Saturday,61.053200000000004,13972
Chennai,2022-06-11,Saturday,28.1076,7131
Mysore,2022-06-11,Saturday,55.0942,10625
Bangalore,2022-06-12,Sunday,135.3342,33306
Chennai,2022-06-12,Sunday,109.7046,21776
Mysore,2022-06-12,Sunday,40.4268,8598
Bangalore,2022-06-13,Monday,97.35,18913
Chennai,2022-06-13,Monday,44.7928,9264
Mysore,2022-06-13,Monday,45.843,12262
Bangalore,2022-06-14,Tuesday,13.1924,3301
Chennai,2022-06-14,Tuesday,40.8634,6942
Mysore,2022-06-14,Tuesday,30.4912,8604
Bangalore,2022-06-15,Wednesday,21.534999999999997,6126
Chennai,2022-06-15,Wednesday,24.2136,4375
Mysore,2022-06-15,Wednesday,48.911,8339
Bangalore,2022-06-16,Thursday,121.6226,30010
Chennai,2022-06-16,Thursday,53.69,14257
Mysore,2022-06-16,Thursday,72.8178,15772
Bangalore,2022-06-17,Friday,99.5802,20907
Chennai,2022-06-17,Friday,66.3396,18186
Mysore,2022-06-17,Friday,135.4404,32685
Bangalore,2022-06-18,Saturday,75.2604,20228
Chennai,2022-06-18,Saturday,49.7724,13086
Mysore,2022-06-18,Saturday,34.0784,8355
Bangalore,2022-06-19,Sunday,72.7588,13521
Chennai,2022-06-19,Sunday,36.6744,10612
Mysore,2022-06-19,Sunday,26.5146,6030
Bangalore,2022-06-20,Monday,68.6642,20348
Chennai,2022-06-20,Monday,80.02759999999999,20059
Mysore,2022-06-20,Monday,102.66,21606
Bangalore,2022-06-21,Tuesday,66.3514,16960
Chennai,2022-06-21,Tuesday,62.787800000000004,11590
Mysore,2022-06-21,Tuesday,69.4666,14425
Bangalore,2022-06-22,Wednesday,97.7984,22409
Chennai,2022-06-22,Wednesday,123.9236,26674
Mysore,2022-06-22,Wednesday,125.493,23887
Bangalore,2022-06-23,Thursday,31.447,7932
Chennai,2022-06-23,Thursday,50.1618,14047
Mysore,2022-06-23,Thursday,47.8962,14250
Bangalore,2022-06-24,Friday,61.95,16166
Chennai,2022-06-24,Friday,91.0488,22380
Mysore,2022-06-24,Friday,71.685,24700
Bangalore,2022-06-25,Saturday,71.5434,14256
Chennai,2022-06-25,Saturday,89.7272,20692
Mysore,2022-06-25,Saturday,53.843399999999995,9713
Bangalore,2022-06-26,Sunday,26.0308,7631
Chennai,2022-06-26,Sunday,25.464399999999998,6101
Mysore,2022-06-26,Sunday,33.4766,7565
Bangalore,2022-06-27,Monday,19.493599999999997,7090
Chennai,2022-06-27,Monday,60.215399999999995,13219
Mysore,2022-06-27,Monday,29.452799999999996,7224
Bangalore,2022-06-28,Tuesday,101.244,21943
Chennai,2022-06-28,Tuesday,47.5894,11367
Mysore,2022-06-28,Tuesday,87.0604,22151
Bangalore,2022-06-29,Wednesday,33.63,7801
Chennai,2022-06-29,Wednesday,12.9328,2814
Mysore,2022-06-29,Wednesday,34.7274,7958
Bangalore,2022-06-30,Thursday,66.552,19488
Chennai,2022-06-30,Thursday,127.9474,29681
Mysore,2022-06-30,Thursday,117.5516,22678
