day_of_the_week,Total_amount_charged,txn.deliveredWh
Wednesday,87.1902,18886
Thursday,79.4966,18101
Friday,224.6602,48532
Saturday,260.4968,58470
Sunday,245.62879999999998,57449
Monday,317.9864,69525
Tuesday,275.0462,65442
Wednesday,170.569,38673
Thursday,179.7612,36421
Friday,163.6896,35819
Saturday,144.255,31728
Sunday,285.4656,63680
Monday,187.9858,40439
Tuesday,84.547,18847
Wednesday,94.6596,18840
Thursday,248.1304,60039
Friday,301.3602,71778
Saturday,159.1112,41669
Sunday,135.9478,30163
Monday,251.3518,62013
Tuesday,198.6058,42975
Wednesday,347.215,72970
Thursday,129.505,36229
Friday,224.6838,63246
Saturday,215.114,44661
Sunday,84.9718,21297
Monday,109.1618,27533
Tuesday,235.8938,55461
Wednesday,81.2902,18573
Thursday,312.051,71847
