txn.chargeStationCity,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,2022-03-01,Tuesday,82.0808,19872
Chennai,2022-03-01,Tuesday,55.7314,11015
Mysore,2022-03-01,Tuesday,47.4832,10124
Bangalore,2022-03-02,Wednesday,32.0842,9963
Chennai,2022-03-02,Wednesday,43.7898,11502
Mysore,2022-03-02,Wednesday,31.5532,8335
Bangalore,2022-03-03,Thursday,117.233,27532
Chennai,2022-03-03,Thursday,75.2486,12098
Mysore,2022-03-03,Thursday,74.2928,16991
Bangalore,2022-03-04,Friday,84.547,18505
Chennai,2022-03-04,Friday,87.1666,17723
Chennai,2022-03-05,Saturday,4.2598,1794
Mysore,2022-03-04,Friday,54.5632,16833
Bangalore,2022-03-05,Saturday,80.6884,19981
Chennai,2022-03-05,Saturday,50.799,16229
Mysore,2022-03-05,Saturday,117.41000000000001,27197
Bangalore,2022-03-06,Sunday,48.439,10506
Chennai,2022-03-06,Sunday,49.359399999999994,10552
Mysore,2022-03-06,Sunday,51.211999999999996,11199
Bangalore,2022-03-07,Monday,78.7886,15550
Chennai,2022-03-07,Monday,100.1112,23722
Mysore,2022-03-07,Monday,55.400999999999996,9843
Bangalore,2022-03-08,Tuesday,15.174800000000001,4264
Chennai,2022-03-08,Tuesday,20.3196,6603
Mysore,2022-03-08,Tuesday,22.0896,7212
Bangalore,2022-03-09,Wednesday,82.9422,19497
Chennai,2022-03-09,Wednesday,98.9194,22922
Mysore,2022-03-09,Wednesday,97.35000000000001,25185
Bangalore,2022-03-10,Thursday,21.7946,4177
Chennai,2022-03-10,Thursday,37.217200000000005,9632
Mysore,2022-03-10,Thursday,29.1932,9591
Bangalore,2022-03-11,Friday,92.3586,19993
Chennai,2022-03-11,Friday,101.8576,18392
Mysore,2022-03-11,Friday,152.456,32571
Bangalore,2022-03-12,Saturday,59.649,15992
Chennai,2022-03-12,Saturday,101.185,21048
Mysore,2022-03-12,Saturday,99.4268,22243
Bangalore,2022-03-13,Sunday,63.838,18590
Chennai,2022-03-13,Sunday,92.0636,18097
Mysore,2022-03-13,Sunday,84.9482,20616
Bangalore,2022-03-14,Monday,89.0664,24245
Chennai,2022-03-14,Monday,101.64519999999999,24467
Mysore,2022-03-14,Monday,129.6938,26836
Bangalore,2022-03-15,Tuesday,38.1376,5573
Chennai,2022-03-15,Tuesday,50.032,9341
Mysore,2022-03-15,Tuesday,71.2602,16038
Bangalore,2022-03-16,Wednesday,36.4148,4670
Chennai,2022-03-16,Wednesday,16.4728,2754
Mysore,2022-03-16,Wednesday,26.0426,8237
Bangalore,2022-03-17,Thursday,137.293,29646
Bangalore,2022-03-18,Friday,10.679,1095
Chennai,2022-03-17,Thursday,87.143,21502
Mysore,2022-03-17,Thursday,79.9686,20284
Bangalore,2022-03-18,Friday,69.9032,18112
Chennai,2022-03-18,Friday,69.1008,20105
Mysore,2022-03-18,Friday,105.2324,25792
Bangalore,2022-03-19,Saturday,64.71119999999999,12657
Chennai,2022-03-19,Saturday,32.520799999999994,9676
Mysore,2022-03-19,Saturday,39.412,8055
Bangalore,2022-03-20,Sunday,51.8728,11385
Chennai,2022-03-20,Sunday,32.332,7900
Mysore,2022-03-20,Sunday,27.671,10049
Bangalore,2022-03-21,Monday,14.679200000000002,4398
Chennai,2022-03-21,Monday,35.624199999999995,11111
Mysore,2022-03-21,Monday,20.461199999999998,5773
Bangalore,2022-03-22,Tuesday,50.999599999999994,11653
Chennai,2022-03-22,Tuesday,61.5252,17123
Mysore,2022-03-22,Tuesday,11.4342,2130
Bangalore,2022-03-23,Wednesday,158.3678,31111
Chennai,2022-03-23,Wednesday,97.9046,22889
Mysore,2022-03-23,Wednesday,50.0792,14154
Bangalore,2022-03-24,Thursday,60.9942,16691
Chennai,2022-03-24,Thursday,104.725,21572
Mysore,2022-03-24,Thursday,62.1506,17909
Bangalore,2022-03-25,Friday,22.5616,7292
Chennai,2022-03-25,Friday,13.475599999999998,3505
Mysore,2022-03-25,Friday,56.757999999999996,12328
Bangalore,2022-03-26,Saturday,85.23140000000001,19221
Chennai,2022-03-26,Saturday,94.86019999999999,23510
Mysore,2022-03-26,Saturday,58.4572,14345
Bangalore,2022-03-27,Sunday,41.5596,6661
Chennai,2022-03-27,Sunday,60.416000000000004,15415
Mysore,2022-03-27,Sunday,94.7776,17222
Bangalore,2022-03-28,Monday,61.1004,17601
Chennai,2022-03-28,Monday,126.9326,25934
Mysore,2022-03-28,Monday,97.881,20155
Bangalore,2022-03-29,Tuesday,65.7732,15688
Chennai,2022-03-29,Tuesday,79.1898,19756
Mysore,2022-03-29,Tuesday,121.76419999999999,24576
Bangalore,2022-03-30,Wednesday,42.6688,15040
Chennai,2022-03-30,Wednesday,68.5462,12325
Mysore,2022-03-30,Wednesday,52.132400000000004,12581
Bangalore,2022-03-31,Thursday,86.6002,16704
Chennai,2022-03-31,Thursday,74.2102,19211
Mysore,2022-03-31,Thursday,102.129,18494
