day_of_the_week,Total_amount_charged,txn.deliveredWh
Tuesday,185.2954,41011
Wednesday,107.4272,29800
Thursday,266.7744,56621
Friday,226.2768,53061
Saturday,4.2598,1794
Saturday,248.8974,63407
Sunday,149.0104,32257
Monday,234.3008,49115
Tuesday,57.584,18079
Wednesday,279.2116,67604
Thursday,88.205,23400
Friday,346.6722,70956
Saturday,260.2608,59283
Sunday,240.8498,57303
Monday,320.4054,75548
Tuesday,159.4298,30952
Wednesday,78.9302,15661
Friday,10.679,1095
Thursday,304.4046,71432
Friday,244.2364,64009
Saturday,136.644,30388
Sunday,111.8758,29334
Monday,70.7646,21282
Tuesday,123.959,30906
Wednesday,306.3516,68154
Thursday,227.8698,56172
Friday,92.7952,23125
Saturday,238.5488,57076
Sunday,196.7532,39298
Monday,285.914,63690
Tuesday,266.7272,60020
Wednesday,163.3474,39946
Thursday,262.9394,54409
