txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,ga23521,2022-05-01,Sunday,41.8428,9912
Bangalore,qw23521,2022-05-01,Sunday,75.7678,13267
Chennai,mq18481,2022-05-01,Sunday,54.752,12191
Chennai,op18481,2022-05-01,Sunday,34.7864,5398
Mysore,uy26932,2022-05-01,Sunday,52.5808,14101
Mysore,yt26932,2022-05-01,Sunday,66.7526,13472
Bangalore,ga23521,2022-05-02,Monday,33.0282,8106
Bangalore,qw23521,2022-05-02,Monday,29.629800000000003,7835
Chennai,mq18481,2022-05-02,Monday,11.0684,3725
Chennai,op18481,2022-05-02,Monday,49.8668,9077
Mysore,uy26932,2022-05-02,Monday,8.7792,1591
Mysore,yt26932,2022-05-02,Monday,43.825199999999995,8427
Bangalore,ga23521,2022-05-03,Tuesday,20.7208,4983
Bangalore,qw23521,2022-05-03,Tuesday,27.671,6249
Chennai,mq18481,2022-05-03,Tuesday,47.1528,8036
Chennai,op18481,2022-05-03,Tuesday,54.9762,10773
Mysore,uy26932,2022-05-03,Tuesday,36.1316,7613
Mysore,yt26932,2022-05-03,Tuesday,22.6088,3067
Bangalore,ga23521,2022-05-04,Wednesday,43.6954,11162
Bangalore,qw23521,2022-05-04,Wednesday,34.6802,6209
Chennai,mq18481,2022-05-04,Wednesday,38.4916,6130
Chennai,op18481,2022-05-04,Wednesday,35.4944,8771
Mysore,uy26932,2022-05-04,Wednesday,38.3382,8261
Mysore,yt26932,2022-05-04,Wednesday,43.5538,11070
Bangalore,ga23521,2022-05-05,Thursday,5.3926,3318
Bangalore,qw23521,2022-05-05,Thursday,18.349,5177
Chennai,mq18481,2022-05-05,Thursday,11.0212,3470
Mysore,uy26932,2022-05-05,Thursday,24.7092,4141
Bangalore,ga23521,2022-05-06,Friday,2.6786,1155
Bangalore,qw23521,2022-05-06,Friday,16.1306,2972
Chennai,mq18481,2022-05-06,Friday,10.4312,1200
Chennai,op18481,2022-05-06,Friday,17.3696,3251
Mysore,uy26932,2022-05-06,Friday,22.7386,4395
Mysore,yt26932,2022-05-06,Friday,27.3406,4764
Bangalore,ga23521,2022-05-07,Saturday,30.526600000000002,7273
Bangalore,qw23521,2022-05-07,Saturday,8.4842,4106
Chennai,mq18481,2022-05-07,Saturday,16.272199999999998,7079
Chennai,op18481,2022-05-07,Saturday,18.7974,4603
Mysore,uy26932,2022-05-07,Saturday,52.864,11858
Mysore,yt26932,2022-05-07,Saturday,52.156,8993
Bangalore,ga23521,2022-05-08,Sunday,9.5226,3360
Bangalore,qw23521,2022-05-08,Sunday,37.1582,7994
Chennai,mq18481,2022-05-08,Sunday,15.552399999999999,2281
Chennai,op18481,2022-05-08,Sunday,5.4516,1222
Mysore,uy26932,2022-05-08,Sunday,13.629000000000001,3279
Mysore,yt26932,2022-05-08,Sunday,8.555,1014
Bangalore,ga23521,2022-05-09,Monday,50.7046,9438
Bangalore,qw23521,2022-05-09,Monday,18.939,6541
Chennai,mq18481,2022-05-09,Monday,6.501799999999999,1679
Mysore,uy26932,2022-05-09,Monday,13.7234,2555
Mysore,yt26932,2022-05-09,Monday,23.9658,5092
Bangalore,ga23521,2022-05-10,Tuesday,35.6596,9585
Bangalore,qw23521,2022-05-10,Tuesday,13.2986,5572
Chennai,mq18481,2022-05-10,Tuesday,21.122,3689
Chennai,op18481,2022-05-10,Tuesday,22.7268,6172
Mysore,uy26932,2022-05-10,Tuesday,35.3292,8028
Mysore,yt26932,2022-05-10,Tuesday,25.0868,6460
Bangalore,ga23521,2022-05-11,Wednesday,40.3088,8958
Bangalore,qw23521,2022-05-11,Wednesday,24.6266,4079
Chennai,mq18481,2022-05-11,Wednesday,36.6154,8744
Chennai,op18481,2022-05-11,Wednesday,72.9476,13325
Mysore,uy26932,2022-05-11,Wednesday,23.6236,4025
Mysore,yt26932,2022-05-11,Wednesday,20.272399999999998,8073
Bangalore,ga23521,2022-05-12,Thursday,86.83619999999999,19893
Bangalore,qw23521,2022-05-12,Thursday,22.1958,4209
Chennai,mq18481,2022-05-12,Thursday,34.279,8378
Chennai,op18481,2022-05-12,Thursday,31.175600000000003,6843
Mysore,uy26932,2022-05-12,Thursday,54.457,7866
Mysore,yt26932,2022-05-12,Thursday,36.8042,9555
Bangalore,ga23521,2022-05-13,Friday,55.3774,11033
Bangalore,qw23521,2022-05-13,Friday,46.9994,10604
Chennai,mq18481,2022-05-13,Friday,93.633,20857
Chennai,op18481,2022-05-13,Friday,19.352,5452
Mysore,uy26932,2022-05-13,Friday,24.2136,4400
Mysore,yt26932,2022-05-13,Friday,44.4506,11054
Bangalore,ga23521,2022-05-14,Saturday,61.761199999999995,15201
Bangalore,qw23521,2022-05-14,Saturday,62.9176,15133
Chennai,mq18481,2022-05-14,Saturday,19.9774,5003
Chennai,op18481,2022-05-14,Saturday,44.5804,9863
Mysore,uy26932,2022-05-14,Saturday,13.806000000000001,4121
Mysore,yt26932,2022-05-14,Saturday,103.781,25081
Bangalore,ga23521,2022-05-15,Sunday,55.047,14364
Bangalore,qw23521,2022-05-15,Sunday,66.92960000000001,14926
Chennai,mq18481,2022-05-15,Sunday,18.3962,5044
Chennai,op18481,2022-05-15,Sunday,63.483999999999995,12147
Mysore,uy26932,2022-05-15,Sunday,75.2958,20582
Mysore,yt26932,2022-05-15,Sunday,42.220400000000005,9285
Bangalore,ga23521,2022-05-16,Monday,15.587799999999998,3338
Bangalore,qw23521,2022-05-16,Monday,21.995199999999997,6450
Chennai,mq18481,2022-05-16,Monday,20.5084,4813
Chennai,op18481,2022-05-16,Monday,16.107,3737
Mysore,uy26932,2022-05-16,Monday,6.631600000000001,2751
Mysore,yt26932,2022-05-16,Monday,10.9268,3807
Bangalore,ga23521,2022-05-17,Tuesday,69.797,12412
Bangalore,qw23521,2022-05-17,Tuesday,46.7634,13535
Chennai,mq18481,2022-05-17,Tuesday,62.7052,15978
Chennai,op18481,2022-05-17,Tuesday,46.315,12753
Mysore,uy26932,2022-05-17,Tuesday,56.0382,13491
Mysore,yt26932,2022-05-17,Tuesday,17.1926,3744
Bangalore,ga23521,2022-05-18,Wednesday,38.999,11454
Bangalore,qw23521,2022-05-18,Wednesday,55.5308,11128
Chennai,mq18481,2022-05-18,Wednesday,34.2554,10403
Chennai,op18481,2022-05-18,Wednesday,36.2024,7627
Mysore,uy26932,2022-05-18,Wednesday,41.536,6510
Mysore,yt26932,2022-05-18,Wednesday,49.4656,12992
Bangalore,ga23521,2022-05-19,Thursday,8.366200000000001,3479
Bangalore,qw23521,2022-05-19,Thursday,12.1186,3195
Chennai,mq18481,2022-05-19,Thursday,28.2256,6588
Chennai,op18481,2022-05-19,Thursday,40.1082,5921
Mysore,uy26932,2022-05-19,Thursday,32.5326,5549
Mysore,yt26932,2022-05-19,Thursday,19.1986,3926
Bangalore,ga23521,2022-05-20,Friday,33.547399999999996,7245
Bangalore,qw23521,2022-05-20,Friday,61.8792,12249
Chennai,mq18481,2022-05-20,Friday,43.400400000000005,12424
Chennai,op18481,2022-05-20,Friday,54.681200000000004,11430
Mysore,uy26932,2022-05-20,Friday,35.4944,7728
Mysore,yt26932,2022-05-20,Friday,41.087599999999995,7466
Bangalore,ga23521,2022-05-21,Saturday,10.655399999999998,1426
Bangalore,qw23521,2022-05-21,Saturday,10.3132,1127
Chennai,mq18481,2022-05-21,Saturday,10.855999999999998,3081
Chennai,op18481,2022-05-21,Saturday,19.2458,5697
Mysore,uy26932,2022-05-21,Saturday,5.0504,2775
Mysore,yt26932,2022-05-21,Saturday,25.523400000000002,5770
Bangalore,ga23521,2022-05-22,Sunday,24.272599999999997,4904
Bangalore,qw23521,2022-05-22,Sunday,27.092800000000004,7959
Chennai,mq18481,2022-05-22,Sunday,40.0728,6702
Chennai,op18481,2022-05-22,Sunday,31.506,5910
Mysore,uy26932,2022-05-22,Sunday,31.3998,5855
Mysore,yt26932,2022-05-22,Sunday,51.0468,10726
Bangalore,ga23521,2022-05-23,Monday,55.058800000000005,14870
Chennai,mq18481,2022-05-23,Monday,11.5994,2981
Chennai,op18481,2022-05-23,Monday,21.2872,6454
Mysore,uy26932,2022-05-23,Monday,12.626,4188
Mysore,yt26932,2022-05-23,Monday,21.9244,6800
Bangalore,ga23521,2022-05-24,Tuesday,59.7198,12976
Bangalore,qw23521,2022-05-24,Tuesday,23.6472,8541
Chennai,mq18481,2022-05-24,Tuesday,51.223800000000004,10295
Chennai,op18481,2022-05-24,Tuesday,27.4468,6422
Mysore,uy26932,2022-05-24,Tuesday,26.6208,7184
Mysore,yt26932,2022-05-24,Tuesday,56.168,11406
Bangalore,ga23521,2022-05-25,Wednesday,26.019000000000002,6413
Bangalore,qw23521,2022-05-25,Wednesday,35.046,7498
Chennai,mq18481,2022-05-25,Wednesday,31.5886,5715
Chennai,op18481,2022-05-25,Wednesday,16.7324,4226
Mysore,uy26932,2022-05-25,Wednesday,26.7152,6811
Mysore,yt26932,2022-05-25,Wednesday,3.2332,1121
Bangalore,ga23521,2022-05-26,Thursday,16.000799999999998,4954
Bangalore,qw23521,2022-05-26,Thursday,1.652,1651
Chennai,mq18481,2022-05-26,Thursday,64.3454,16386
Chennai,op18481,2022-05-26,Thursday,35.1876,8110
Mysore,uy26932,2022-05-26,Thursday,40.592,7503
Mysore,yt26932,2022-05-26,Thursday,74.6232,19133
Mysore,yt26932,2022-05-27,Friday,2.655,1979
Bangalore,ga23521,2022-05-27,Friday,14.4314,3788
Bangalore,qw23521,2022-05-27,Friday,20.2016,3814
Chennai,mq18481,2022-05-27,Friday,17.7472,3545
Chennai,op18481,2022-05-27,Friday,24.603,5022
Mysore,uy26932,2022-05-27,Friday,3.0797999999999996,1956
Mysore,yt26932,2022-05-27,Friday,16.8504,4502
Bangalore,qw23521,2022-05-28,Saturday,20.4022,4998
Chennai,mq18481,2022-05-28,Saturday,4.425000000000001,2737
Chennai,op18481,2022-05-28,Saturday,9.298399999999999,3398
Mysore,uy26932,2022-05-28,Saturday,3.5282,1774
Mysore,yt26932,2022-05-28,Saturday,15.5642,2241
Bangalore,ga23521,2022-05-29,Sunday,87.0958,17869
Bangalore,qw23521,2022-05-29,Sunday,25.3228,8131
Chennai,mq18481,2022-05-29,Sunday,28.1902,9465
Chennai,op18481,2022-05-29,Sunday,39.6952,8905
Mysore,uy26932,2022-05-29,Sunday,62.587199999999996,9807
Mysore,yt26932,2022-05-29,Sunday,75.3784,16596
Bangalore,ga23521,2022-05-30,Monday,14.16,5128
Bangalore,qw23521,2022-05-30,Monday,21.334400000000002,3399
Chennai,mq18481,2022-05-30,Monday,26.2314,5124
Chennai,op18481,2022-05-30,Monday,12.7086,3285
Mysore,uy26932,2022-05-30,Monday,24.9452,6643
Mysore,yt26932,2022-05-30,Monday,26.608999999999998,7537
Bangalore,ga23521,2022-05-31,Tuesday,39.0108,9900
Bangalore,qw23521,2022-05-31,Tuesday,50.0556,12132
Chennai,mq18481,2022-05-31,Tuesday,47.495,13307
Chennai,op18481,2022-05-31,Tuesday,53.7372,12993
Mysore,uy26932,2022-05-31,Tuesday,17.770799999999998,5820
Mysore,yt26932,2022-05-31,Tuesday,42.539,8989
