txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
ga23521,2022-05-01,Sunday,2.6314,1504
mq18481,2022-05-01,Sunday,17.287,5177
op18481,2022-05-01,Sunday,17.1926,2453
qw23521,2022-05-01,Sunday,12.342799999999999,2502
yt26932,2022-05-01,Sunday,13.428399999999998,2948
ga23521,2022-05-02,Monday,52.2976,12336
mq18481,2022-05-02,Monday,34.515,8044
op18481,2022-05-02,Monday,60.357,14001
qw23521,2022-05-02,Monday,35.99,10895
uy26932,2022-05-02,Monday,49.7252,12545
yt26932,2022-05-02,Monday,24.8626,7270
ga23521,2022-05-03,Tuesday,25.9482,7059
mq18481,2022-05-03,Tuesday,23.883200000000002,4358
op18481,2022-05-03,Tuesday,50.2444,11387
qw23521,2022-05-03,Tuesday,18.9626,3107
uy26932,2022-05-03,Tuesday,1.4868000000000001,1549
yt26932,2022-05-03,Tuesday,33.169799999999995,7192
ga23521,2022-05-04,Wednesday,23.659,4973
mq18481,2022-05-04,Wednesday,90.32900000000001,22002
op18481,2022-05-04,Wednesday,46.090799999999994,10827
qw23521,2022-05-04,Wednesday,38.644999999999996,8602
uy26932,2022-05-04,Wednesday,38.055,6220
yt26932,2022-05-04,Wednesday,77.5378,16673
ga23521,2022-05-05,Thursday,1.4986,1852
mq18481,2022-05-05,Thursday,18.3254,4898
op18481,2022-05-05,Thursday,15.127600000000001,5443
qw23521,2022-05-05,Thursday,9.086,1887
uy26932,2022-05-05,Thursday,51.8846,11670
yt26932,2022-05-05,Thursday,45.1468,6731
ga23521,2022-05-06,Friday,19.2104,7558
mq18481,2022-05-06,Friday,58.0796,10740
op18481,2022-05-06,Friday,43.8134,11028
qw23521,2022-05-06,Friday,46.8224,11948
uy26932,2022-05-06,Friday,23.1752,5441
yt26932,2022-05-06,Friday,98.7424,20170
ga23521,2022-05-07,Saturday,31.6476,6161
mq18481,2022-05-07,Saturday,1.77,1921
op18481,2022-05-07,Saturday,6.9502,1775
qw23521,2022-05-07,Saturday,12.767600000000002,3048
uy26932,2022-05-07,Saturday,21.334400000000002,2689
yt26932,2022-05-07,Saturday,12.9682,3431
ga23521,2022-05-08,Sunday,9.617,3284
op18481,2022-05-08,Sunday,13.9358,3490
qw23521,2022-05-08,Sunday,15.458,4136
uy26932,2022-05-08,Sunday,8.1892,1327
yt26932,2022-05-08,Sunday,23.1044,5326
ga23521,2022-05-09,Monday,43.1762,13720
mq18481,2022-05-09,Monday,26.231399999999997,8361
op18481,2022-05-09,Monday,43.6482,9603
qw23521,2022-05-09,Monday,48.2266,11531
uy26932,2022-05-09,Monday,65.608,17019
yt26932,2022-05-09,Monday,48.0968,8387
ga23521,2022-05-10,Tuesday,11.2218,4712
mq18481,2022-05-10,Tuesday,19.9656,2377
op18481,2022-05-10,Tuesday,14.820799999999998,2783
qw23521,2022-05-10,Tuesday,22.479,5724
uy26932,2022-05-10,Tuesday,14.1718,4401
yt26932,2022-05-10,Tuesday,12.331,3254
ga23521,2022-05-11,Wednesday,3.6462,1057
mq18481,2022-05-11,Wednesday,16.5554,4525
op18481,2022-05-11,Wednesday,38.232,4738
qw23521,2022-05-11,Wednesday,43.7898,10767
uy26932,2022-05-11,Wednesday,11.564,1478
yt26932,2022-05-11,Wednesday,20.8624,3066
ga23521,2022-05-12,Thursday,39.0344,11949
mq18481,2022-05-12,Thursday,26.6916,6477
op18481,2022-05-12,Thursday,10.1952,2783
qw23521,2022-05-12,Thursday,44.6512,9314
uy26932,2022-05-12,Thursday,19.788600000000002,3483
yt26932,2022-05-12,Thursday,42.5036,8707
ga23521,2022-05-13,Friday,48.262,10546
mq18481,2022-05-13,Friday,46.4684,9400
op18481,2022-05-13,Friday,100.772,21118
qw23521,2022-05-13,Friday,30.561999999999998,5951
uy26932,2022-05-13,Friday,55.1532,10426
yt26932,2022-05-13,Friday,38.1612,8849
ga23521,2022-05-14,Saturday,40.238,7345
mq18481,2022-05-14,Saturday,46.5392,10858
op18481,2022-05-14,Saturday,38.9518,11463
qw23521,2022-05-14,Saturday,22.8566,3383
uy26932,2022-05-14,Saturday,18.820999999999998,5516
yt26932,2022-05-14,Saturday,23.482,7466
ga23521,2022-05-15,Sunday,56.3568,11804
mq18481,2022-05-15,Sunday,27.3996,7066
op18481,2022-05-15,Sunday,37.0166,9650
qw23521,2022-05-15,Sunday,21.4642,4298
uy26932,2022-05-15,Sunday,32.391,8873
yt26932,2022-05-15,Sunday,66.1862,11072
ga23521,2022-05-16,Monday,70.2572,11595
mq18481,2022-05-16,Monday,32.5562,5225
op18481,2022-05-16,Monday,34.113800000000005,11312
qw23521,2022-05-16,Monday,62.952999999999996,9841
uy26932,2022-05-16,Monday,29.2168,4570
yt26932,2022-05-16,Monday,58.1976,10106
ga23521,2022-05-17,Tuesday,12.5198,4866
mq18481,2022-05-17,Tuesday,17.003800000000002,2914
op18481,2022-05-17,Tuesday,21.8654,3811
uy26932,2022-05-17,Tuesday,4.6256,1874
yt26932,2022-05-17,Tuesday,30.8688,7225
ga23521,2022-05-18,Wednesday,57.4306,10788
mq18481,2022-05-18,Wednesday,14.006599999999999,3728
op18481,2022-05-18,Wednesday,36.403,7668
qw23521,2022-05-18,Wednesday,21.5822,4250
uy26932,2022-05-18,Wednesday,42.5036,12039
yt26932,2022-05-18,Wednesday,33.5946,6831
ga23521,2022-05-19,Thursday,17.8888,4098
mq18481,2022-05-19,Thursday,9.9356,3369
qw23521,2022-05-19,Thursday,11.044799999999999,1275
uy26932,2022-05-19,Thursday,16.6616,2719
yt26932,2022-05-19,Thursday,26.4084,4433
ga23521,2022-05-20,Friday,24.839,9510
mq18481,2022-05-20,Friday,44.7692,11343
op18481,2022-05-20,Friday,68.2394,15113
qw23521,2022-05-20,Friday,17.912399999999998,4511
uy26932,2022-05-20,Friday,21.5586,2850
yt26932,2022-05-20,Friday,23.836000000000002,6874
ga23521,2022-05-21,Saturday,37.630199999999995,10028
mq18481,2022-05-21,Saturday,36.2614,8141
op18481,2022-05-21,Saturday,52.864,9263
qw23521,2022-05-21,Saturday,64.6994,12865
uy26932,2022-05-21,Saturday,26.4556,7560
yt26932,2022-05-21,Saturday,13.982999999999999,3266
ga23521,2022-05-22,Sunday,21.8536,2892
mq18481,2022-05-22,Sunday,28.7566,5846
op18481,2022-05-22,Sunday,54.2564,9365
qw23521,2022-05-22,Sunday,52.0026,13262
uy26932,2022-05-22,Sunday,33.3822,8355
yt26932,2022-05-22,Sunday,20.65,6486
ga23521,2022-05-23,Monday,9.794,1536
mq18481,2022-05-23,Monday,20.413999999999998,3271
op18481,2022-05-23,Monday,38.173,9291
qw23521,2022-05-23,Monday,43.742599999999996,9148
uy26932,2022-05-23,Monday,28.803800000000003,4948
yt26932,2022-05-23,Monday,9.3338,1156
ga23521,2022-05-24,Tuesday,26.2786,8827
mq18481,2022-05-24,Tuesday,20.1072,3712
op18481,2022-05-24,Tuesday,36.9458,9054
qw23521,2022-05-24,Tuesday,3.6934,1376
uy26932,2022-05-24,Tuesday,20.9568,4246
yt26932,2022-05-24,Tuesday,22.809399999999997,5454
ga23521,2022-05-25,Wednesday,24.6738,6070
mq18481,2022-05-25,Wednesday,12.5198,4305
op18481,2022-05-25,Wednesday,19.9184,5328
qw23521,2022-05-25,Wednesday,13.959400000000002,4138
uy26932,2022-05-25,Wednesday,10.8914,3020
yt26932,2022-05-25,Wednesday,6.5254,1411
ga23521,2022-05-26,Thursday,15.186600000000002,3020
mq18481,2022-05-26,Thursday,41.1702,9744
op18481,2022-05-26,Thursday,29.912999999999997,3950
op18481,2022-05-27,Friday,4.8498,1929
qw23521,2022-05-26,Thursday,13.853200000000001,5288
uy26932,2022-05-26,Thursday,17.169,2144
yt26932,2022-05-26,Thursday,7.658200000000001,3167
ga23521,2022-05-27,Friday,50.905199999999994,8261
mq18481,2022-05-27,Friday,2.5252,1451
op18481,2022-05-27,Friday,13.3812,2986
qw23521,2022-05-27,Friday,54.8228,9924
uy26932,2022-05-27,Friday,18.5732,4533
yt26932,2022-05-27,Friday,29.5472,6139
ga23521,2022-05-28,Saturday,68.07419999999999,17696
mq18481,2022-05-28,Saturday,34.2672,7765
op18481,2022-05-28,Saturday,20.272399999999998,5768
qw23521,2022-05-28,Saturday,57.7374,12680
uy26932,2022-05-28,Saturday,80.8772,19162
yt26932,2022-05-28,Saturday,48.4272,13811
ga23521,2022-05-29,Sunday,6.5372,1253
mq18481,2022-05-29,Sunday,10.2188,2897
op18481,2022-05-29,Sunday,17.3106,4189
qw23521,2022-05-29,Sunday,35.919200000000004,9058
uy26932,2022-05-29,Sunday,27.4468,7147
yt26932,2022-05-29,Sunday,15.3164,3657
ga23521,2022-05-30,Monday,4.956,1617
mq18481,2022-05-30,Monday,14.950600000000001,3291
op18481,2022-05-30,Monday,15.2692,3929
qw23521,2022-05-30,Monday,46.905,6837
uy26932,2022-05-30,Monday,29.995599999999996,6658
yt26932,2022-05-30,Monday,60.1092,14530
ga23521,2022-05-31,Tuesday,42.5862,11261
mq18481,2022-05-31,Tuesday,46.5156,7794
op18481,2022-05-31,Tuesday,112.12360000000001,26194
qw23521,2022-05-31,Tuesday,27.328799999999998,6100
uy26932,2022-05-31,Tuesday,32.922000000000004,9867
yt26932,2022-05-31,Tuesday,74.694,14892
