txn.chargeStationCity,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,2022-05-01,Sunday,100.1584,18640
Chennai,2022-05-01,Sunday,44.6512,12077
Mysore,2022-05-01,Sunday,74.55239999999999,19179
Bangalore,2022-05-02,Monday,66.5284,17322
Chennai,2022-05-02,Monday,61.407199999999996,15021
Mysore,2022-05-02,Monday,85.7388,19630
Bangalore,2022-05-03,Tuesday,99.9696,23890
Chennai,2022-05-03,Tuesday,25.6886,8581
Mysore,2022-05-03,Tuesday,135.228,25966
Bangalore,2022-05-04,Wednesday,47.105599999999995,11130
Chennai,2022-05-04,Wednesday,37.642,9344
Mysore,2022-05-04,Wednesday,47.6484,10966
Bangalore,2022-05-05,Thursday,53.9614,13693
Chennai,2022-05-05,Thursday,56.297799999999995,8831
Mysore,2022-05-05,Thursday,70.75280000000001,13910
Bangalore,2022-05-06,Friday,23.069,5973
Chennai,2022-05-06,Friday,27.718199999999996,6768
Mysore,2022-05-06,Friday,25.311,8355
Bangalore,2022-05-07,Saturday,113.16199999999999,24571
Chennai,2022-05-07,Saturday,155.1346,34335
Mysore,2022-05-07,Saturday,59.6608,12896
Bangalore,2022-05-08,Sunday,76.3224,21826
Chennai,2022-05-08,Sunday,91.7568,20125
Mysore,2022-05-08,Sunday,137.4936,29899
Bangalore,2022-05-09,Monday,75.52,17664
Chennai,2022-05-09,Monday,98.4238,20326
Mysore,2022-05-09,Monday,124.3838,25395
Bangalore,2022-05-10,Tuesday,46.1262,10565
Chennai,2022-05-10,Tuesday,104.7722,22066
Mysore,2022-05-10,Tuesday,34.692,7040
Bangalore,2022-05-11,Wednesday,52.403800000000004,10824
Chennai,2022-05-11,Wednesday,111.0262,25629
Mysore,2022-05-11,Wednesday,77.1366,16978
Bangalore,2022-05-12,Thursday,30.3968,9049
Chennai,2022-05-12,Thursday,18.726599999999998,6212
Bangalore,2022-05-13,Friday,30.939600000000002,10354
Chennai,2022-05-13,Friday,52.9584,12914
Mysore,2022-05-13,Friday,19.1396,2828
Bangalore,2022-05-14,Saturday,34.2318,7002
Chennai,2022-05-14,Saturday,47.908,10042
Mysore,2022-05-14,Saturday,64.2864,12061
Bangalore,2022-05-15,Sunday,59.649,12752
Chennai,2022-05-15,Sunday,62.7524,18358
Mysore,2022-05-15,Sunday,71.0478,15062
Bangalore,2022-05-16,Monday,122.8498,26444
Chennai,2022-05-16,Monday,104.607,26496
Mysore,2022-05-16,Monday,74.6468,16984
Bangalore,2022-05-17,Tuesday,64.4516,14171
Chennai,2022-05-17,Tuesday,58.150400000000005,13665
Mysore,2022-05-17,Tuesday,33.795199999999994,7664
Bangalore,2022-05-18,Wednesday,105.669,24127
Chennai,2022-05-18,Wednesday,69.1716,14387
Mysore,2022-05-18,Wednesday,57.702,13359
Bangalore,2022-05-19,Thursday,68.4636,17425
Chennai,2022-05-19,Thursday,97.5624,23587
Mysore,2022-05-19,Thursday,84.0868,17203
Bangalore,2022-05-20,Friday,83.19,16764
Chennai,2022-05-20,Friday,103.7456,24299
Mysore,2022-05-20,Friday,36.698,9955
Bangalore,2022-05-21,Saturday,28.013200000000005,5693
Chennai,2022-05-21,Saturday,31.022199999999998,8003
Mysore,2022-05-21,Saturday,52.7106,8793
Bangalore,2022-05-22,Sunday,50.2562,10375
Chennai,2022-05-22,Sunday,24.78,4797
Mysore,2022-05-22,Sunday,16.991999999999997,2730
Bangalore,2022-05-23,Monday,31.2346,8603
Chennai,2022-05-23,Monday,66.1508,16103
Mysore,2022-05-23,Monday,64.7702,13031
Bangalore,2022-05-24,Tuesday,79.6264,14219
Chennai,2022-05-24,Tuesday,78.8712,17186
Mysore,2022-05-24,Tuesday,126.7674,25273
Bangalore,2022-05-25,Wednesday,122.0592,24677
Chennai,2022-05-25,Wednesday,89.5974,19465
Mysore,2022-05-25,Wednesday,112.4186,24110
Bangalore,2022-05-26,Thursday,43.6718,10322
Chennai,2022-05-26,Thursday,59.0708,13555
Mysore,2022-05-26,Thursday,93.6094,18537
Bangalore,2022-05-27,Friday,89.9278,21371
Chennai,2022-05-27,Friday,57.5604,10779
Mysore,2022-05-27,Friday,96.229,21702
Bangalore,2022-05-28,Saturday,91.3556,23883
Chennai,2022-05-28,Saturday,102.6836,26739
Mysore,2022-05-28,Saturday,90.6948,20102
Bangalore,2022-05-29,Sunday,120.7612,24844
Chennai,2022-05-29,Sunday,145.7654,30448
Mysore,2022-05-29,Sunday,65.7024,11467
Bangalore,2022-05-30,Monday,71.48440000000001,15927
Chennai,2022-05-30,Monday,125.65820000000001,28011
Mysore,2022-05-30,Monday,81.8212,25498
Bangalore,2022-05-31,Tuesday,32.3084,7292
Chennai,2022-05-31,Tuesday,55.2358,12637
Mysore,2022-05-31,Tuesday,33.9604,5748
