day_of_the_week,Total_amount_charged,txn.deliveredWh
Sunday,125.23339999999999,29084
Monday,180.3158,43925
Tuesday,79.2842,17506
Wednesday,137.7296,35145
Thursday,101.657,25233
Friday,281.0406,68483
Saturday,339.1084,74960
Sunday,305.6436,62795
Monday,115.404,30373
Tuesday,239.127,55117
Wednesday,115.935,22834
Thursday,95.9812,22094
Friday,173.8966,32608
Saturday,319.013,66365
Sunday,278.2558,63873
Monday,167.265,41837
Tuesday,85.55,24577
Wednesday,110.7902,22126
Thursday,203.5618,55030
Friday,129.7292,35176
Saturday,106.54220000000001,24825
Sunday,286.3388,69835
Monday,281.961,68940
Tuesday,250.1364,69138
Wednesday,210.0282,55233
Thursday,65.8794,17361
Friday,207.2198,49845
Saturday,163.31199999999998,39939
Sunday,137.9892,35218
Monday,340.3474,74184
Tuesday,226.4656,52858
