txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,ga23521,2022-11-01,Tuesday,11.0802,4877
Bangalore,qw23521,2022-11-01,Tuesday,12.484399999999999,3044
Chennai,mq18481,2022-11-01,Tuesday,32.0606,4164
Mysore,uy26932,2022-11-01,Tuesday,35.1286,7340
Mysore,yt26932,2022-11-01,Tuesday,30.9514,6610
Bangalore,ga23521,2022-11-02,Wednesday,29.193199999999997,5095
Bangalore,qw23521,2022-11-02,Wednesday,15.0096,3185
Chennai,mq18481,2022-11-02,Wednesday,31.388,6057
Chennai,op18481,2022-11-02,Wednesday,13.0862,3723
Mysore,uy26932,2022-11-02,Wednesday,10.7262,1567
Mysore,yt26932,2022-11-02,Wednesday,16.225,4864
Bangalore,ga23521,2022-11-03,Thursday,8.496,1746
Bangalore,qw23521,2022-11-03,Thursday,12.272,3663
Chennai,mq18481,2022-11-03,Thursday,14.950600000000001,4845
Chennai,op18481,2022-11-03,Thursday,3.9530000000000003,1884
Mysore,uy26932,2022-11-03,Thursday,17.3814,2315
Mysore,yt26932,2022-11-03,Thursday,7.1272,1689
Bangalore,ga23521,2022-11-04,Friday,67.1538,14540
Bangalore,qw23521,2022-11-04,Friday,34.7864,8098
Chennai,mq18481,2022-11-04,Friday,34.8336,6513
Chennai,op18481,2022-11-04,Friday,31.9544,8267
Mysore,uy26932,2022-11-04,Friday,45.3946,8500
Mysore,yt26932,2022-11-04,Friday,49.9494,10829
Bangalore,ga23521,2022-11-05,Saturday,6.7142,2586
Bangalore,qw23521,2022-11-05,Saturday,2.6314,1508
Chennai,mq18481,2022-11-05,Saturday,2.5488,1542
Chennai,op18481,2022-11-05,Saturday,18.1956,2328
Mysore,uy26932,2022-11-05,Saturday,9.5934,1967
Mysore,yt26932,2022-11-05,Saturday,28.343600000000002,6647
Bangalore,ga23521,2022-11-06,Sunday,19.824,4782
Bangalore,qw23521,2022-11-06,Sunday,32.119600000000005,6658
Chennai,mq18481,2022-11-06,Sunday,14.16,5408
Chennai,op18481,2022-11-06,Sunday,67.6966,14403
Mysore,uy26932,2022-11-06,Sunday,31.034000000000002,6674
Mysore,yt26932,2022-11-06,Sunday,63.684599999999996,15786
Bangalore,ga23521,2022-11-07,Monday,10.443,4847
Chennai,mq18481,2022-11-07,Monday,20.7444,7862
Mysore,uy26932,2022-11-07,Monday,9.6642,1334
Mysore,yt26932,2022-11-07,Monday,15.4344,2518
Bangalore,ga23521,2022-11-08,Tuesday,29.2404,6528
Bangalore,qw23521,2022-11-08,Tuesday,45.7958,8482
Chennai,mq18481,2022-11-08,Tuesday,42.9048,7877
Chennai,op18481,2022-11-08,Tuesday,57.3598,15013
Mysore,uy26932,2022-11-08,Tuesday,45.8548,10392
Mysore,yt26932,2022-11-08,Tuesday,64.8882,14128
Bangalore,ga23521,2022-11-09,Wednesday,20.590999999999998,5077
Bangalore,qw23521,2022-11-09,Wednesday,17.4404,5704
Chennai,mq18481,2022-11-09,Wednesday,32.0724,9337
Chennai,op18481,2022-11-09,Wednesday,38.35,7545
