txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
ga23521,2022-11-01,Tuesday,61.501599999999996,10973
mq18481,2022-11-01,Tuesday,58.1858,12513
op18481,2022-11-01,Tuesday,55.0824,11584
qw23521,2022-11-01,Tuesday,57.6784,13776
uy26932,2022-11-01,Tuesday,29.901200000000003,8882
yt26932,2022-11-01,Tuesday,53.69,9509
ga23521,2022-11-02,Wednesday,52.6398,12602
mq18481,2022-11-02,Wednesday,24.603,3757
op18481,2022-11-02,Wednesday,51.8846,10747
qw23521,2022-11-02,Wednesday,18.5968,2928
uy26932,2022-11-02,Wednesday,47.955200000000005,9566
yt26932,2022-11-02,Wednesday,37.1818,9121
ga23521,2022-11-03,Thursday,49.961200000000005,14503
mq18481,2022-11-03,Thursday,33.4176,7982
op18481,2022-11-03,Thursday,42.9992,10459
qw23521,2022-11-03,Thursday,39.589,9608
uy26932,2022-11-03,Thursday,42.468199999999996,8870
yt26932,2022-11-03,Thursday,75.57900000000001,15749
ga23521,2022-11-04,Friday,75.9094,14373
mq18481,2022-11-04,Friday,74.7648,13945
op18481,2022-11-04,Friday,42.5626,9925
qw23521,2022-11-04,Friday,38.9046,9782
uy26932,2022-11-04,Friday,64.00319999999999,16453
yt26932,2022-11-04,Friday,40.4858,9377
ga23521,2022-11-05,Saturday,31.7892,8068
mq18481,2022-11-05,Saturday,33.818799999999996,9102
op18481,2022-11-05,Saturday,26.2786,5845
qw23521,2022-11-05,Saturday,25.0986,5358
uy26932,2022-11-05,Saturday,38.5152,8001
yt26932,2022-11-05,Saturday,42.303,8792
ga23521,2022-11-06,Sunday,18.9036,5149
mq18481,2022-11-06,Sunday,4.6138,1885
qw23521,2022-11-06,Sunday,11.6466,1672
uy26932,2022-11-06,Sunday,21.3462,4412
yt26932,2022-11-06,Sunday,24.19,5392
ga23521,2022-11-07,Monday,5.982600000000001,1664
mq18481,2022-11-07,Monday,32.4146,7726
op18481,2022-11-07,Monday,23.305,5936
qw23521,2022-11-07,Monday,16.756,4609
uy26932,2022-11-07,Monday,44.3916,7494
yt26932,2022-11-07,Monday,37.9842,7492
ga23521,2022-11-08,Tuesday,26.3258,3222
mq18481,2022-11-08,Tuesday,34.2318,8865
op18481,2022-11-08,Tuesday,28.7212,7045
qw23521,2022-11-08,Tuesday,20.355,9274
uy26932,2022-11-08,Tuesday,28.1548,5600
yt26932,2022-11-08,Tuesday,30.8098,9565
ga23521,2022-11-09,Wednesday,32.804,8063
mq18481,2022-11-09,Wednesday,91.686,17457
op18481,2022-11-09,Wednesday,46.1734,14472
qw23521,2022-11-09,Wednesday,30.8924,9680
uy26932,2022-11-09,Wednesday,44.8164,11102
yt26932,2022-11-09,Wednesday,73.101,16167
ga23521,2022-11-10,Thursday,37.6656,12177
mq18481,2022-11-10,Thursday,47.3652,9802
mq18481,2022-11-11,Friday,2.8792,1059
op18481,2022-11-10,Thursday,84.8184,18735
qw23521,2022-11-10,Thursday,33.712599999999995,7484
uy26932,2022-11-10,Thursday,19.1632,5887
yt26932,2022-11-10,Thursday,52.403800000000004,13444
ga23521,2022-11-11,Friday,32.461800000000004,6538
mq18481,2022-11-11,Friday,9.912,1684
op18481,2022-11-11,Friday,7.8116,2536
qw23521,2022-11-11,Friday,50.7046,14268
uy26932,2022-11-11,Friday,21.358,5997
yt26932,2022-11-11,Friday,13.275,2843
ga23521,2022-11-12,Saturday,10.8088,1138
mq18481,2022-11-12,Saturday,2.8792,1002
op18481,2022-11-12,Saturday,25.842,4421
qw23521,2022-11-12,Saturday,18.9272,4792
uy26932,2022-11-12,Saturday,22.596999999999998,4491
yt26932,2022-11-12,Saturday,8.956199999999999,1607
ga23521,2022-11-13,Sunday,9.322,2795
mq18481,2022-11-13,Sunday,45.43,11032
op18481,2022-11-13,Sunday,43.4358,12324
qw23521,2022-11-13,Sunday,60.050200000000004,14007
uy26932,2022-11-13,Sunday,38.196600000000004,6057
yt26932,2022-11-13,Sunday,13.4992,2631
ga23521,2022-11-14,Monday,26.727,6721
mq18481,2022-11-14,Monday,27.104599999999998,4942
op18481,2022-11-14,Monday,31.399799999999995,7433
qw23521,2022-11-14,Monday,50.917,10599
uy26932,2022-11-14,Monday,6.4782,2091
yt26932,2022-11-14,Monday,15.6822,5071
ga23521,2022-11-15,Tuesday,52.8876,11012
mq18481,2022-11-15,Tuesday,46.2796,14628
op18481,2022-11-15,Tuesday,41.4534,6578
qw23521,2022-11-15,Tuesday,26.4084,5027
uy26932,2022-11-15,Tuesday,74.1394,13850
yt26932,2022-11-15,Tuesday,57.44239999999999,11499
ga23521,2022-11-16,Wednesday,12.3074,4585
mq18481,2022-11-16,Wednesday,33.5356,7107
op18481,2022-11-16,Wednesday,57.8318,12365
qw23521,2022-11-16,Wednesday,35.2938,9538
uy26932,2022-11-16,Wednesday,38.3854,10364
yt26932,2022-11-16,Wednesday,21.0748,5692
ga23521,2022-11-17,Thursday,1.9351999999999998,1945
mq18481,2022-11-17,Thursday,52.7224,8085
op18481,2022-11-17,Thursday,15.941799999999999,4856
qw23521,2022-11-17,Thursday,10.218800000000002,2784
uy26932,2022-11-17,Thursday,45.9374,10030
yt26932,2022-11-17,Thursday,15.1748,5539
ga23521,2022-11-18,Friday,35.6596,8321
mq18481,2022-11-18,Friday,22.125,6285
op18481,2022-11-18,Friday,84.8892,17930
qw23521,2022-11-18,Friday,53.8906,14229
uy26932,2022-11-18,Friday,40.415,12228
yt26932,2022-11-18,Friday,46.728,13028
ga23521,2022-11-19,Saturday,12.6378,2488
mq18481,2022-11-19,Saturday,22.5026,4097
op18481,2022-11-19,Saturday,24.9098,4713
qw23521,2022-11-19,Saturday,19.422800000000002,3812
uy26932,2022-11-19,Saturday,16.2604,2573
yt26932,2022-11-19,Saturday,16.874,3031
ga23521,2022-11-20,Sunday,27.635599999999997,5598
mq18481,2022-11-20,Sunday,25.8774,5525
op18481,2022-11-20,Sunday,28.851,6546
qw23521,2022-11-20,Sunday,50.4096,7580
uy26932,2022-11-20,Sunday,10.2896,3161
yt26932,2022-11-20,Sunday,15.5288,4302
ga23521,2022-11-21,Monday,23.954,8237
mq18481,2022-11-21,Monday,36.1434,8206
op18481,2022-11-21,Monday,75.225,15654
qw23521,2022-11-21,Monday,44.1674,9815
uy26932,2022-11-21,Monday,20.826999999999998,4833
yt26932,2022-11-21,Monday,56.345,16283
ga23521,2022-11-22,Tuesday,39.0816,9037
mq18481,2022-11-22,Tuesday,31.447,6860
op18481,2022-11-22,Tuesday,7.5047999999999995,3750
qw23521,2022-11-22,Tuesday,16.4964,3197
uy26932,2022-11-22,Tuesday,8.448799999999999,3234
yt26932,2022-11-22,Tuesday,41.7956,10535
ga23521,2022-11-23,Wednesday,47.730999999999995,15342
mq18481,2022-11-23,Wednesday,54.7402,12638
op18481,2022-11-23,Wednesday,15.4698,7220
qw23521,2022-11-23,Wednesday,39.2114,9386
uy26932,2022-11-23,Wednesday,37.6774,9253
yt26932,2022-11-23,Wednesday,35.0106,6862
ga23521,2022-11-24,Thursday,42.067,9808
mq18481,2022-11-24,Thursday,44.0376,10801
op18481,2022-11-24,Thursday,33.7008,9206
qw23521,2022-11-24,Thursday,73.691,14243
uy26932,2022-11-24,Thursday,73.7618,14834
yt26932,2022-11-24,Thursday,40.2616,9448
ga23521,2022-11-25,Friday,16.343,3215
mq18481,2022-11-25,Friday,10.714400000000001,3283
op18481,2022-11-25,Friday,17.5702,6414
qw23521,2022-11-25,Friday,43.1054,7731
uy26932,2022-11-25,Friday,17.2044,3936
yt26932,2022-11-25,Friday,21.2636,2398
ga23521,2022-11-26,Saturday,5.015000000000001,3009
mq18481,2022-11-26,Saturday,26.019,5427
op18481,2022-11-26,Saturday,20.874200000000002,3438
qw23521,2022-11-26,Saturday,23.4702,7150
uy26932,2022-11-26,Saturday,31.0576,3779
yt26932,2022-11-26,Saturday,20.437599999999996,3411
ga23521,2022-11-27,Sunday,7.103599999999999,1474
mq18481,2022-11-27,Sunday,7.552,2215
op18481,2022-11-28,Monday,1.77,1629
qw23521,2022-11-27,Sunday,9.864799999999999,2486
uy26932,2022-11-27,Sunday,6.0652,1458
yt26932,2022-11-27,Sunday,18.2664,4209
ga23521,2022-11-28,Monday,54.044000000000004,12918
mq18481,2022-11-28,Monday,35.0932,8109
op18481,2022-11-28,Monday,52.156,11885
qw23521,2022-11-28,Monday,30.3614,12630
uy26932,2022-11-28,Monday,40.6864,8347
yt26932,2022-11-28,Monday,17.759,5517
ga23521,2022-11-29,Tuesday,34.479600000000005,9171
mq18481,2022-11-29,Tuesday,24.78,7649
op18481,2022-11-29,Tuesday,12.4962,3124
qw23521,2022-11-29,Tuesday,31.624000000000002,6886
uy26932,2022-11-29,Tuesday,36.226,11757
yt26932,2022-11-29,Tuesday,20.272399999999998,3759
ga23521,2022-11-30,Wednesday,101.6216,20344
mq18481,2022-11-30,Wednesday,47.459599999999995,8585
op18481,2022-11-30,Wednesday,52.5572,11579
qw23521,2022-11-30,Wednesday,55.459999999999994,12387
uy26932,2022-11-30,Wednesday,61.0532,10916
yt26932,2022-11-30,Wednesday,52.8168,11663
