day_of_the_week,Total_amount_charged,txn.deliveredWh
Tuesday,245.6524,53953
Wednesday,233.5928,52099
Thursday,223.0908,51740
Friday,276.3206,55323
Saturday,5.522399999999999,1536
Saturday,216.9902,42628
Sunday,97.0668,21845
Monday,74.5524,20569
Tuesday,258.3256,62050
Thursday,6.0416,1377
Wednesday,149.447,32788
Thursday,60.7464,17647
Friday,290.811,68948
Saturday,97.9872,24881
Sunday,211.9634,47134
Monday,197.3314,45616
Tuesday,238.0768,56539
Wednesday,288.9702,63199
Thursday,164.669,31773
Friday,315.2016,66086
Saturday,109.71640000000001,22657
Sunday,133.1158,31381
Monday,263.6474,68620
Tuesday,200.4584,47057
Wednesday,305.8796,67685
Thursday,259.1752,55456
Friday,159.8546,47605
Saturday,209.6034,44487
Sunday,142.2254,32687
Monday,119.72279999999999,39342
Tuesday,248.862,48944
Wednesday,320.842,68888
