txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,ga23521,2022-10-01,Saturday,21.4524,3948
Bangalore,qw23521,2022-10-01,Saturday,8.047600000000001,1289
Chennai,mq18481,2022-10-01,Saturday,36.4974,9795
Chennai,op18481,2022-10-01,Saturday,10.702599999999999,2878
Mysore,uy26932,2022-10-01,Saturday,12.5198,2983
Mysore,yt26932,2022-10-01,Saturday,11.0448,3295
Bangalore,ga23521,2022-10-02,Sunday,34.8926,9425
Bangalore,qw23521,2022-10-02,Sunday,71.3192,14121
Chennai,mq18481,2022-10-02,Sunday,69.1126,13269
Chennai,op18481,2022-10-02,Sunday,70.2218,13972
Mysore,uy26932,2022-10-02,Sunday,44.84,10143
Mysore,yt26932,2022-10-02,Sunday,33.4648,4591
Bangalore,ga23521,2022-10-03,Monday,14.8444,4497
Bangalore,qw23521,2022-10-03,Monday,29.063399999999998,6403
Chennai,mq18481,2022-10-03,Monday,28.9336,11321
Chennai,op18481,2022-10-03,Monday,19.8476,4484
Mysore,uy26932,2022-10-03,Monday,61.0886,12464
Mysore,yt26932,2022-10-03,Monday,11.8118,3791
Bangalore,ga23521,2022-10-04,Tuesday,7.7644,3086
Bangalore,qw23521,2022-10-04,Tuesday,37.842600000000004,9594
Chennai,mq18481,2022-10-04,Tuesday,11.540400000000002,2657
Chennai,op18481,2022-10-04,Tuesday,18.7384,6104
Mysore,uy26932,2022-10-04,Tuesday,13.098,2757
Mysore,yt26932,2022-10-04,Tuesday,21.122,4615
Bangalore,ga23521,2022-10-05,Wednesday,43.7072,8878
Bangalore,qw23521,2022-10-05,Wednesday,8.4724,3020
Chennai,mq18481,2022-10-05,Wednesday,11.2926,2535
Chennai,op18481,2022-10-05,Wednesday,10.4076,2385
Mysore,uy26932,2022-10-05,Wednesday,9.499,3364
Mysore,yt26932,2022-10-05,Wednesday,19.8122,3993
Bangalore,qw23521,2022-10-06,Thursday,16.284,3853
Chennai,mq18481,2022-10-06,Thursday,21.1928,2617
Mysore,uy26932,2022-10-06,Thursday,7.906000000000001,3007
Mysore,yt26932,2022-10-06,Thursday,19.765,4584
Bangalore,ga23521,2022-10-07,Friday,3.0561999999999996,1250
Bangalore,qw23521,2022-10-07,Friday,14.466800000000001,4412
Chennai,mq18481,2022-10-07,Friday,12.7204,3079
Chennai,op18481,2022-10-07,Friday,22.880200000000002,3912
Mysore,uy26932,2022-10-07,Friday,18.5732,5746
Mysore,yt26932,2022-10-07,Friday,13.086199999999998,2438
Bangalore,ga23521,2022-10-08,Saturday,44.910799999999995,8396
Bangalore,qw23521,2022-10-08,Saturday,11.8,5194
Chennai,mq18481,2022-10-08,Saturday,13.0862,4084
Chennai,op18481,2022-10-08,Saturday,46.6336,8183
Mysore,uy26932,2022-10-08,Saturday,41.5714,9882
Mysore,yt26932,2022-10-08,Saturday,17.1926,8292
Bangalore,ga23521,2022-10-09,Sunday,26.6208,7666
Bangalore,qw23521,2022-10-09,Sunday,28.6504,5097
Chennai,mq18481,2022-10-09,Sunday,28.839199999999998,6758
Chennai,op18481,2022-10-09,Sunday,15.693999999999999,4518
Mysore,uy26932,2022-10-09,Sunday,18.3608,6895
Mysore,yt26932,2022-10-09,Sunday,53.571999999999996,12580
Bangalore,ga23521,2022-10-10,Monday,18.337200000000003,3613
Bangalore,qw23521,2022-10-10,Monday,75.5672,14677
Chennai,mq18481,2022-10-10,Monday,37.7954,8391
Chennai,op18481,2022-10-10,Monday,21.464199999999998,8526
Mysore,uy26932,2022-10-10,Monday,28.7094,8309
Mysore,yt26932,2022-10-10,Monday,14.148200000000001,2694
Bangalore,ga23521,2022-10-11,Tuesday,25.6886,4026
Bangalore,qw23521,2022-10-11,Tuesday,17.3342,4451
Chennai,mq18481,2022-10-11,Tuesday,47.294399999999996,10315
Chennai,op18481,2022-10-11,Tuesday,35.8838,11114
Mysore,uy26932,2022-10-11,Tuesday,49.9494,12514
Mysore,yt26932,2022-10-11,Tuesday,55.3066,11108
Bangalore,ga23521,2022-10-12,Wednesday,28.0014,4982
Bangalore,qw23521,2022-10-12,Wednesday,28.084,7148
Chennai,mq18481,2022-10-12,Wednesday,36.1434,7538
Chennai,op18481,2022-10-12,Wednesday,17.5702,4346
Mysore,uy26932,2022-10-12,Wednesday,44.2972,9013
Mysore,yt26932,2022-10-12,Wednesday,17.936,4987
Bangalore,ga23521,2022-10-13,Thursday,76.5584,19355
Bangalore,qw23521,2022-10-13,Thursday,31.6004,7300
Chennai,mq18481,2022-10-13,Thursday,73.514,14204
Chennai,op18481,2022-10-13,Thursday,21.4406,6775
Mysore,uy26932,2022-10-13,Thursday,42.4446,8734
Mysore,yt26932,2022-10-13,Thursday,40.7808,8750
Bangalore,ga23521,2022-10-14,Friday,37.111000000000004,6037
Bangalore,qw23521,2022-10-14,Friday,45.8076,10161
Chennai,mq18481,2022-10-14,Friday,57.442400000000006,13386
Chennai,op18481,2022-10-14,Friday,60.947,12827
Mysore,uy26932,2022-10-14,Friday,34.715599999999995,9402
Mysore,yt26932,2022-10-14,Friday,29.476399999999998,4121
Bangalore,ga23521,2022-10-15,Saturday,43.6246,12388
Bangalore,qw23521,2022-10-15,Saturday,19.1278,5380
Chennai,mq18481,2022-10-15,Saturday,32.827600000000004,7724
Chennai,op18481,2022-10-15,Saturday,42.716,9495
Mysore,uy26932,2022-10-15,Saturday,25.971799999999998,5980
Mysore,yt26932,2022-10-15,Saturday,4.9678,2274
Bangalore,ga23521,2022-10-16,Sunday,48.5098,9121
Bangalore,qw23521,2022-10-16,Sunday,50.1382,10003
Chennai,mq18481,2022-10-16,Sunday,12.024199999999999,2836
Chennai,op18481,2022-10-16,Sunday,29.8422,4496
Mysore,uy26932,2022-10-16,Sunday,8.6376,1613
Mysore,yt26932,2022-10-16,Sunday,6.206799999999999,1675
Bangalore,ga23521,2022-10-17,Monday,54.1384,10581
Bangalore,qw23521,2022-10-17,Monday,51.943599999999996,11242
Chennai,mq18481,2022-10-17,Monday,34.22,8553
Chennai,op18481,2022-10-17,Monday,14.690999999999999,4911
Mysore,uy26932,2022-10-17,Monday,50.5512,9328
Mysore,yt26932,2022-10-17,Monday,21.9362,5812
Bangalore,ga23521,2022-10-18,Tuesday,34.7274,9520
Bangalore,qw23521,2022-10-18,Tuesday,33.4176,4586
Chennai,mq18481,2022-10-18,Tuesday,16.8268,3785
Chennai,op18481,2022-10-18,Tuesday,51.7312,15559
Mysore,uy26932,2022-10-18,Tuesday,45.4182,12004
Mysore,yt26932,2022-10-18,Tuesday,33.0872,6071
Bangalore,ga23521,2022-10-19,Wednesday,60.5458,11226
Bangalore,qw23521,2022-10-19,Wednesday,73.986,12115
Chennai,mq18481,2022-10-19,Wednesday,39.0108,10531
Chennai,op18481,2022-10-19,Wednesday,73.455,16054
Mysore,uy26932,2022-10-19,Wednesday,47.849000000000004,9999
Mysore,yt26932,2022-10-19,Wednesday,74.3754,16104
Bangalore,ga23521,2022-10-20,Thursday,39.647999999999996,8810
Bangalore,qw23521,2022-10-20,Thursday,43.07,8396
Chennai,mq18481,2022-10-20,Thursday,74.3046,15171
