txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
ga23521,2022-10-01,Saturday,20.0364,6859
mq18481,2022-10-01,Saturday,19.3166,5312
op18481,2022-10-01,Saturday,84.0514,16290
qw23521,2022-10-01,Saturday,22.42,6827
uy26932,2022-10-01,Saturday,34.361599999999996,10708
yt26932,2022-10-01,Saturday,37.370599999999996,7690
ga23521,2022-10-02,Sunday,21.1692,5100
qw23521,2022-10-02,Sunday,9.8294,3690
uy26932,2022-10-02,Sunday,17.699999999999996,4594
yt26932,2022-10-02,Sunday,26.6916,5938
ga23521,2022-10-03,Monday,11.339799999999999,2997
mq18481,2022-10-03,Monday,38.9164,7172
op18481,2022-10-03,Monday,29.264,8083
qw23521,2022-10-03,Monday,13.392999999999999,5327
uy26932,2022-10-03,Monday,9.1332,1261
ga23521,2022-10-04,Tuesday,19.9892,4430
mq18481,2022-10-04,Tuesday,21.1102,5013
uy26932,2022-10-04,Tuesday,11.918,5024
yt26932,2022-10-04,Tuesday,18.974400000000003,4377
ga23521,2022-10-05,Wednesday,20.65,3049
op18481,2022-10-05,Wednesday,36.7924,8561
qw23521,2022-10-05,Wednesday,58.9764,14837
uy26932,2022-10-05,Wednesday,28.6386,7872
yt26932,2022-10-05,Wednesday,43.7898,8090
ga23521,2022-10-06,Thursday,12.543399999999998,3736
mq18481,2022-10-06,Thursday,8.9444,3008
op18481,2022-10-06,Thursday,32.6742,6151
qw23521,2022-10-06,Thursday,5.4162,2625
uy26932,2022-10-06,Thursday,48.4744,9104
yt26932,2022-10-06,Thursday,38.7866,7832
ga23521,2022-10-07,Friday,48.5334,11780
mq18481,2022-10-07,Friday,36.6154,9363
op18481,2022-10-07,Friday,26.561799999999998,8340
qw23521,2022-10-07,Friday,44.191,9040
uy26932,2022-10-07,Friday,70.6466,16788
yt26932,2022-10-07,Friday,40.4386,6242
ga23521,2022-10-08,Saturday,25.558799999999998,4951
mq18481,2022-10-08,Saturday,10.938600000000001,2595
op18481,2022-10-08,Saturday,11.9062,2644
qw23521,2022-10-08,Saturday,30.691799999999997,5200
yt26932,2022-10-08,Saturday,11.2336,1230
ga23521,2022-10-09,Sunday,42.904799999999994,10309
mq18481,2022-10-09,Sunday,22.892,6419
op18481,2022-10-09,Sunday,14.8444,7044
qw23521,2022-10-09,Sunday,14.5612,2898
uy26932,2022-10-09,Sunday,37.4886,8021
yt26932,2022-10-09,Sunday,27.317,9194
ga23521,2022-10-10,Monday,31.152,7566
mq18481,2022-10-10,Monday,12.861999999999998,2847
op18481,2022-10-10,Monday,16.0362,4698
qw23521,2022-10-10,Monday,8.0122,6092
yt26932,2022-10-10,Monday,19.505399999999998,6398
ga23521,2022-10-11,Tuesday,10.1126,2855
mq18481,2022-10-11,Tuesday,30.1962,8018
op18481,2022-10-11,Tuesday,18.8682,4350
qw23521,2022-10-11,Tuesday,34.9044,6173
uy26932,2022-10-11,Tuesday,47.2236,7783
yt26932,2022-10-11,Tuesday,24.2018,4134
ga23521,2022-10-12,Wednesday,37.6656,7603
mq18481,2022-10-12,Wednesday,37.052,6202
op18481,2022-10-12,Wednesday,33.8778,8289
qw23521,2022-10-12,Wednesday,52.6162,10500
uy26932,2022-10-12,Wednesday,20.5084,3861
yt26932,2022-10-12,Wednesday,76.6764,13941
ga23521,2022-10-13,Thursday,38.5034,10640
mq18481,2022-10-13,Thursday,63.5784,13785
op18481,2022-10-13,Thursday,38.302800000000005,10674
qw23521,2022-10-13,Thursday,53.418600000000005,14223
uy26932,2022-10-13,Thursday,50.940599999999996,14487
yt26932,2022-10-13,Thursday,50.2208,11410
ga23521,2022-10-14,Friday,9.982800000000001,3663
mq18481,2022-10-14,Friday,2.1358,1153
op18481,2022-10-14,Friday,8.5668,1535
qw23521,2022-10-14,Friday,20.602800000000002,2942
uy26932,2022-10-14,Friday,12.684999999999999,2694
yt26932,2022-10-14,Friday,20.1072,3264
ga23521,2022-10-15,Saturday,30.337799999999998,6490
mq18481,2022-10-15,Saturday,38.621399999999994,8280
op18481,2022-10-15,Saturday,36.58,7883
qw23521,2022-10-15,Saturday,17.2398,4547
uy26932,2022-10-15,Saturday,28.520599999999998,3924
yt26932,2022-10-15,Saturday,67.4606,13736
ga23521,2022-10-16,Sunday,13.8886,3250
mq18481,2022-10-16,Sunday,40.7926,8544
op18481,2022-10-16,Sunday,17.9832,5304
qw23521,2022-10-16,Sunday,52.982,12617
uy26932,2022-10-16,Sunday,41.5832,7918
yt26932,2022-10-16,Sunday,41.359,10800
ga23521,2022-10-17,Monday,50.622,9324
mq18481,2022-10-17,Monday,23.187,5027
op18481,2022-10-17,Monday,14.7028,3641
qw23521,2022-10-17,Monday,28.792,6055
uy26932,2022-10-17,Monday,13.463799999999999,2408
yt26932,2022-10-17,Monday,32.1786,6712
mq18481,2022-10-18,Tuesday,8.4252,1311
op18481,2022-10-18,Tuesday,5.132999999999999,1894
qw23521,2022-10-18,Tuesday,17.180799999999998,5032
uy26932,2022-10-18,Tuesday,15.1158,6563
yt26932,2022-10-18,Tuesday,7.5638000000000005,1007
ga23521,2022-10-19,Wednesday,15.8002,4733
mq18481,2022-10-19,Wednesday,16.2132,4502
op18481,2022-10-19,Wednesday,13.487400000000001,3715
qw23521,2022-10-19,Wednesday,44.3916,8354
uy26932,2022-10-19,Wednesday,13.983,5617
yt26932,2022-10-19,Wednesday,17.416800000000002,3612
ga23521,2022-10-20,Thursday,35.364599999999996,8321
mq18481,2022-10-20,Thursday,64.0976,14458
op18481,2022-10-20,Thursday,45.4654,9408
qw23521,2022-10-20,Thursday,28.1784,8403
uy26932,2022-10-20,Thursday,58.6106,15373
yt26932,2022-10-20,Thursday,67.5904,15021
ga23521,2022-10-21,Friday,31.1048,6119
op18481,2022-10-21,Friday,21.358,3195
qw23521,2022-10-21,Friday,18.962600000000002,3907
