txn.chargeStationCity,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,2022-10-01,Saturday,42.4564,13686
Chennai,2022-10-01,Saturday,103.368,21602
Mysore,2022-10-01,Saturday,71.7322,18398
Bangalore,2022-10-02,Sunday,30.9986,8790
Mysore,2022-10-02,Sunday,44.3916,10532
Bangalore,2022-10-03,Monday,24.732799999999997,8324
Chennai,2022-10-03,Monday,68.1804,15255
Mysore,2022-10-03,Monday,9.1332,1261
Bangalore,2022-10-04,Tuesday,19.9892,4430
Chennai,2022-10-04,Tuesday,21.1102,5013
Mysore,2022-10-04,Tuesday,30.892400000000002,9401
Bangalore,2022-10-05,Wednesday,79.6264,17886
Chennai,2022-10-05,Wednesday,36.7924,8561
Mysore,2022-10-05,Wednesday,72.4284,15962
Bangalore,2022-10-06,Thursday,17.9596,6361
Chennai,2022-10-06,Thursday,41.6186,9159
Mysore,2022-10-06,Thursday,87.261,16936
Bangalore,2022-10-07,Friday,92.7244,20820
Chennai,2022-10-07,Friday,63.177200000000006,17703
Mysore,2022-10-07,Friday,111.0852,23030
Bangalore,2022-10-08,Saturday,56.2506,10151
Chennai,2022-10-08,Saturday,22.8448,5239
Mysore,2022-10-08,Saturday,11.2336,1230
Bangalore,2022-10-09,Sunday,57.466,13207
Chennai,2022-10-09,Sunday,37.7364,13463
Mysore,2022-10-09,Sunday,64.8056,17215
Bangalore,2022-10-10,Monday,39.1642,13658
Chennai,2022-10-10,Monday,28.8982,7545
Mysore,2022-10-10,Monday,19.505399999999998,6398
Bangalore,2022-10-11,Tuesday,45.017,9028
Chennai,2022-10-11,Tuesday,49.0644,12368
Mysore,2022-10-11,Tuesday,71.4254,11917
Bangalore,2022-10-12,Wednesday,90.2818,18103
Chennai,2022-10-12,Wednesday,70.9298,14491
Mysore,2022-10-12,Wednesday,97.1848,17802
Bangalore,2022-10-13,Thursday,91.922,24863
Chennai,2022-10-13,Thursday,101.8812,24459
Mysore,2022-10-13,Thursday,101.1614,25897
Bangalore,2022-10-14,Friday,30.585600000000003,6605
Chennai,2022-10-14,Friday,10.7026,2688
Mysore,2022-10-14,Friday,32.792199999999994,5958
Bangalore,2022-10-15,Saturday,47.5776,11037
Chennai,2022-10-15,Saturday,75.20139999999999,16163
Mysore,2022-10-15,Saturday,95.9812,17660
Bangalore,2022-10-16,Sunday,66.8706,15867
Chennai,2022-10-16,Sunday,58.7758,13848
Mysore,2022-10-16,Sunday,82.9422,18718
Bangalore,2022-10-17,Monday,79.414,15379
Chennai,2022-10-17,Monday,37.8898,8668
Mysore,2022-10-17,Monday,45.6424,9120
Bangalore,2022-10-18,Tuesday,17.180799999999998,5032
Chennai,2022-10-18,Tuesday,13.5582,3205
Mysore,2022-10-18,Tuesday,22.6796,7570
Bangalore,2022-10-19,Wednesday,60.1918,13087
Chennai,2022-10-19,Wednesday,29.7006,8217
Mysore,2022-10-19,Wednesday,31.3998,9229
Bangalore,2022-10-20,Thursday,63.543,16724
Chennai,2022-10-20,Thursday,109.563,23866
Mysore,2022-10-20,Thursday,126.20100000000001,30394
Bangalore,2022-10-21,Friday,50.0674,10026
Chennai,2022-10-21,Friday,21.358,3195
Mysore,2022-10-21,Friday,10.4784,4700
Bangalore,2022-10-22,Saturday,68.82939999999999,14767
Chennai,2022-10-22,Saturday,9.853,5414
Mysore,2022-10-22,Saturday,26.9512,7157
Bangalore,2022-10-23,Sunday,65.8794,15939
Chennai,2022-10-23,Sunday,65.431,16529
Mysore,2022-10-23,Sunday,58.4808,15923
Bangalore,2022-10-24,Monday,12.4136,4594
Chennai,2022-10-24,Monday,39.2232,9261
Mysore,2022-10-24,Monday,15.635,3451
Bangalore,2022-10-25,Tuesday,18.8564,4942
Chennai,2022-10-25,Tuesday,24.1664,9177
Mysore,2022-10-25,Tuesday,49.1352,10896
Bangalore,2022-10-26,Wednesday,71.7558,17289
Chennai,2022-10-26,Wednesday,92.8542,24771
Mysore,2022-10-26,Wednesday,79.0836,21577
Bangalore,2022-10-27,Thursday,83.6502,17059
Chennai,2022-10-27,Thursday,120.596,27669
Mysore,2022-10-27,Thursday,81.8094,16470
Bangalore,2022-10-28,Friday,73.337,14855
Chennai,2022-10-28,Friday,72.29860000000001,20045
Mysore,2022-10-28,Friday,56.958600000000004,13679
Bangalore,2022-10-29,Saturday,119.07379999999999,27857
Chennai,2022-10-29,Saturday,79.7562,20373
Mysore,2022-10-29,Saturday,74.9182,17999
Bangalore,2022-10-30,Sunday,86.2226,20424
Chennai,2022-10-30,Sunday,63.956,12229
Mysore,2022-10-30,Sunday,14.7618,4512
Bangalore,2022-10-31,Monday,67.80279999999999,15699
Chennai,2022-10-31,Monday,110.1648,24445
Mysore,2022-10-31,Monday,112.34779999999999,26833
