day_of_the_week,Total_amount_charged,txn.deliveredWh
Saturday,100.2646,24188
Sunday,323.851,65521
Monday,165.5894,42960
Tuesday,110.1058,28813
Wednesday,103.191,24175
Thursday,65.14779999999999,14061
Friday,84.783,20837
Saturday,175.1946,44031
Sunday,171.7372,43514
Monday,196.0216,46210
Tuesday,231.457,53528
Wednesday,172.0322,38014
Thursday,286.3388,65118
Friday,265.5,55934
Saturday,169.2356,43241
Sunday,155.3588,29744
Monday,227.4804,50427
Tuesday,215.2084,51525
Wednesday,369.222,76029
Thursday,304.5226,61008
Friday,197.9922,45736
Saturday,203.16060000000002,48595
Sunday,242.7496,66683
Monday,234.51319999999998,62800
Tuesday,306.387,71043
Wednesday,80.6648,15733
Thursday,355.0502,74135
Friday,234.5722,56338
Saturday,299.2126,63280
Sunday,117.056,30768
Monday,226.58360000000002,43421
