txn.chargeStationCity,txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,ga23521,2022-09-01,Thursday,24.3622,8415
Bangalore,qw23521,2022-09-01,Thursday,43.8372,12287
Chennai,mq18481,2022-09-01,Thursday,38.5236,16719
Chennai,op18481,2022-09-01,Thursday,18.4172,7281
Mysore,uy26932,2022-09-01,Thursday,38.7942,11905
Mysore,yt26932,2022-09-01,Thursday,37.342800000000004,12592
Bangalore,ga23521,2022-09-02,Friday,22.6812,9915
Bangalore,qw23521,2022-09-02,Friday,14.497599999999998,3948
Chennai,mq18481,2022-09-02,Friday,6.4862,1219
Chennai,op18481,2022-09-02,Friday,4.5264,1211
Mysore,uy26932,2022-09-02,Friday,8.0114,1730
Mysore,yt26932,2022-09-02,Friday,8.815000000000001,2751
Bangalore,ga23521,2022-09-03,Saturday,20.7132,6050
Bangalore,qw23521,2022-09-03,Saturday,10.0532,3336
Chennai,mq18481,2022-09-03,Saturday,25.7152,8286
Chennai,op18481,2022-09-03,Saturday,24.575400000000002,8723
Mysore,uy26932,2022-09-03,Saturday,43.0172,15580
Mysore,yt26932,2022-09-03,Saturday,25.0592,8616
Bangalore,ga23521,2022-09-04,Sunday,14.956800000000001,5331
Chennai,mq18481,2022-09-04,Sunday,5.3956,1508
Chennai,op18481,2022-09-04,Sunday,9.1348,3669
Mysore,uy26932,2022-09-04,Sunday,24.3868,5789
Mysore,yt26932,2022-09-04,Sunday,4.7396,1461
Bangalore,ga23521,2022-09-05,Monday,26.1252,7384
Bangalore,qw23521,2022-09-05,Monday,18.3598,7533
Chennai,mq18481,2022-09-05,Monday,19.1552,4650
Chennai,op18481,2022-09-05,Monday,31.9062,10126
Mysore,uy26932,2022-09-05,Monday,32.923,9038
Mysore,yt26932,2022-09-05,Monday,32.7754,8443
Bangalore,ga23521,2022-09-06,Tuesday,24.4278,7554
Bangalore,qw23521,2022-09-06,Tuesday,10.742,4658
Chennai,mq18481,2022-09-06,Tuesday,27.4864,9219
Chennai,op18481,2022-09-06,Tuesday,8.134400000000001,3067
Mysore,uy26932,2022-09-06,Tuesday,21.7546,4831
Mysore,yt26932,2022-09-06,Tuesday,6.8469999999999995,3501
Bangalore,ga23521,2022-09-07,Wednesday,20.6804,7482
Bangalore,qw23521,2022-09-07,Wednesday,17.310200000000002,5970
Chennai,mq18481,2022-09-07,Wednesday,34.0546,9175
Chennai,op18481,2022-09-07,Wednesday,6.6748,2626
Mysore,uy26932,2022-09-07,Wednesday,21.049400000000002,4895
Mysore,yt26932,2022-09-07,Wednesday,13.021600000000001,6156
Bangalore,qw23521,2022-09-08,Thursday,14.8994,4579
Chennai,mq18481,2022-09-08,Thursday,3.3619999999999997,1372
Chennai,op18481,2022-09-08,Thursday,11.1766,4838
Mysore,uy26932,2022-09-08,Thursday,15.145399999999999,4596
Mysore,yt26932,2022-09-08,Thursday,14.309000000000001,3231
