txn.chargePointId,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
ga23521,2022-09-01,Thursday,35.1522,10185
mq18481,2022-09-01,Thursday,41.925399999999996,12405
op18481,2022-09-01,Thursday,31.0104,7162
qw23521,2022-09-01,Thursday,46.9168,9918
uy26932,2022-09-01,Thursday,47.9316,9845
yt26932,2022-09-01,Thursday,34.6566,5727
ga23521,2022-09-02,Friday,15.9536,5957
mq18481,2022-09-02,Friday,16.2132,4406
op18481,2022-09-02,Friday,34.1256,7144
qw23521,2022-09-02,Friday,14.148200000000001,4581
uy26932,2022-09-02,Friday,23.753400000000003,5207
yt26932,2022-09-02,Friday,2.9264,1813
ga23521,2022-09-03,Saturday,11.8826,4930
mq18481,2022-09-03,Saturday,7.3278,1170
op18481,2022-09-03,Saturday,9.3338,1296
qw23521,2022-09-03,Saturday,10.1834,1609
uy26932,2022-09-03,Saturday,10.502,1305
yt26932,2022-09-03,Saturday,13.039,4548
ga23521,2022-09-04,Sunday,34.6212,8785
mq18481,2022-09-04,Sunday,33.158,10714
op18481,2022-09-04,Sunday,28.2256,8093
qw23521,2022-09-04,Sunday,33.2524,9958
uy26932,2022-09-04,Sunday,32.4854,8064
yt26932,2022-09-04,Sunday,40.415,10432
ga23521,2022-09-05,Monday,15.1276,5825
mq18481,2022-09-05,Monday,55.6488,13562
op18481,2022-09-05,Monday,18.537799999999997,2918
qw23521,2022-09-05,Monday,33.0636,6562
uy26932,2022-09-05,Monday,21.6648,5609
yt26932,2022-09-05,Monday,34.1374,8225
ga23521,2022-09-06,Tuesday,28.697599999999998,3946
mq18481,2022-09-06,Tuesday,26.0898,7832
op18481,2022-09-06,Tuesday,79.473,19273
qw23521,2022-09-06,Tuesday,41.0404,11766
uy26932,2022-09-06,Tuesday,41.0876,8983
yt26932,2022-09-06,Tuesday,69.266,14192
ga23521,2022-09-07,Wednesday,30.916,6087
mq18481,2022-09-07,Wednesday,30.290599999999998,6907
op18481,2022-09-07,Wednesday,51.1058,9997
qw23521,2022-09-07,Wednesday,50.5276,14302
uy26932,2022-09-07,Wednesday,42.3738,13536
yt26932,2022-09-07,Wednesday,41.040400000000005,10104
ga23521,2022-09-08,Thursday,22.715,4220
mq18481,2022-09-08,Thursday,27.6828,7129
op18481,2022-09-08,Thursday,25.877399999999998,6062
qw23521,2022-09-08,Thursday,28.8628,6792
uy26932,2022-09-08,Thursday,14.077399999999999,5919
yt26932,2022-09-08,Thursday,1.239,1393
mq18481,2022-09-09,Friday,17.062800000000003,3518
op18481,2022-09-09,Friday,1.357,1697
qw23521,2022-09-09,Friday,4.484,1096
uy26932,2022-09-09,Friday,8.861799999999999,4341
yt26932,2022-09-09,Friday,23.305,4164
ga23521,2022-09-10,Saturday,48.757600000000004,10270
mq18481,2022-09-10,Saturday,59.9676,12994
op18481,2022-09-10,Saturday,40.179,10303
qw23521,2022-09-10,Saturday,30.208,5341
uy26932,2022-09-10,Saturday,61.242,13721
yt26932,2022-09-10,Saturday,59.1534,13541
ga23521,2022-09-11,Sunday,20.4258,5511
mq18481,2022-09-11,Sunday,8.8854,3062
op18481,2022-09-11,Sunday,4.7672,1942
qw23521,2022-09-11,Sunday,25.2402,5148
uy26932,2022-09-11,Sunday,3.6462,1462
yt26932,2022-09-11,Sunday,15.1394,3001
ga23521,2022-09-12,Monday,42.9756,11148
op18481,2022-09-12,Monday,52.6162,14731
qw23521,2022-09-12,Monday,37.9252,9134
uy26932,2022-09-12,Monday,36.568200000000004,10908
yt26932,2022-09-12,Monday,84.3818,20038
ga23521,2022-09-13,Tuesday,37.5712,11278
mq18481,2022-09-13,Tuesday,50.1736,10840
op18481,2022-09-13,Tuesday,35.447199999999995,8008
qw23521,2022-09-13,Tuesday,29.972,7871
uy26932,2022-09-13,Tuesday,42.3974,7829
yt26932,2022-09-13,Tuesday,22.4554,5462
ga23521,2022-09-14,Wednesday,36.544599999999996,7172
op18481,2022-09-14,Wednesday,15.174799999999998,2455
qw23521,2022-09-14,Wednesday,25.311,4743
yt26932,2022-09-14,Wednesday,10.0772,1241
ga23521,2022-09-15,Thursday,37.9724,8306
mq18481,2022-09-15,Thursday,11.8472,2462
op18481,2022-09-15,Thursday,38.9872,7911
qw23521,2022-09-15,Thursday,46.1852,9965
uy26932,2022-09-15,Thursday,10.62,3095
yt26932,2022-09-15,Thursday,7.953200000000001,4246
ga23521,2022-09-16,Friday,26.845,5336
mq18481,2022-09-16,Friday,17.995,3891
op18481,2022-09-16,Friday,20.9922,4682
qw23521,2022-09-16,Friday,4.5076,1177
uy26932,2022-09-16,Friday,31.506,5170
yt26932,2022-09-16,Friday,19.647,4233
ga23521,2022-09-17,Saturday,31.034,5893
mq18481,2022-09-17,Saturday,26.904,6617
op18481,2022-09-17,Saturday,34.22,6725
qw23521,2022-09-17,Saturday,37.653800000000004,7787
uy26932,2022-09-17,Saturday,63.413199999999996,12700
yt26932,2022-09-17,Saturday,48.202999999999996,10593
ga23521,2022-09-18,Sunday,7.292400000000001,3108
mq18481,2022-09-18,Sunday,18.8446,2834
op18481,2022-09-18,Sunday,20.6028,5197
qw23521,2022-09-18,Sunday,33.370400000000004,5557
yt26932,2022-09-18,Sunday,32.9692,6510
ga23521,2022-09-19,Monday,36.6036,11244
mq18481,2022-09-19,Monday,43.0346,8610
op18481,2022-09-19,Monday,38.916399999999996,11349
qw23521,2022-09-19,Monday,40.3324,11080
uy26932,2022-09-19,Monday,101.1142,25631
yt26932,2022-09-19,Monday,2.0532,1692
ga23521,2022-09-20,Tuesday,26.2904,4902
mq18481,2022-09-20,Tuesday,18.419800000000002,4202
op18481,2022-09-20,Tuesday,12.000599999999999,2254
qw23521,2022-09-20,Tuesday,17.6174,3906
uy26932,2022-09-20,Tuesday,49.3712,12924
yt26932,2022-09-20,Tuesday,40.4032,13346
ga23521,2022-09-21,Wednesday,52.4628,13079
mq18481,2022-09-21,Wednesday,48.1676,9019
op18481,2022-09-21,Wednesday,49.4656,14776
qw23521,2022-09-21,Wednesday,30.9632,5516
uy26932,2022-09-21,Wednesday,22.608800000000002,4840
yt26932,2022-09-21,Wednesday,57.7256,11018
ga23521,2022-09-22,Thursday,59.8732,18431
mq18481,2022-09-22,Thursday,43.022800000000004,8878
op18481,2022-09-22,Thursday,24.2018,6120
qw23521,2022-09-22,Thursday,69.2188,15104
uy26932,2022-09-22,Thursday,49.9848,12364
yt26932,2022-09-22,Thursday,42.0198,10835
ga23521,2022-09-23,Friday,54.1266,13151
mq18481,2022-09-23,Friday,21.2282,7864
op18481,2022-09-23,Friday,37.6302,9045
qw23521,2022-09-23,Friday,69.4076,16659
uy26932,2022-09-23,Friday,50.4332,14933
yt26932,2022-09-23,Friday,51.861,10724
ga23521,2022-09-24,Saturday,16.8268,3470
mq18481,2022-09-24,Saturday,24.7918,5443
op18481,2022-09-24,Saturday,26.290399999999998,4205
qw23521,2022-09-24,Saturday,17.5702,3136
uy26932,2022-09-24,Saturday,11.5522,2530
yt26932,2022-09-24,Saturday,38.4444,8906
ga23521,2022-09-25,Sunday,15.870999999999999,3051
mq18481,2022-09-25,Sunday,25.2284,5227
op18481,2022-09-25,Sunday,18.549599999999998,5711
qw23521,2022-09-25,Sunday,34.5032,8041
uy26932,2022-09-25,Sunday,35.1994,9710
yt26932,2022-09-25,Sunday,12.4726,4102
ga23521,2022-09-26,Monday,53.9142,12296
mq18481,2022-09-26,Monday,53.8788,18219
op18481,2022-09-26,Monday,50.4332,13023
qw23521,2022-09-26,Monday,48.415400000000005,10712
uy26932,2022-09-26,Monday,30.5266,5137
yt26932,2022-09-26,Monday,46.9522,11664
yt26932,2022-09-27,Tuesday,10.254199999999999,1982
ga23521,2022-09-27,Tuesday,41.0522,10029
mq18481,2022-09-27,Tuesday,56.8406,12193
op18481,2022-09-27,Tuesday,19.175,6886
qw23521,2022-09-27,Tuesday,82.55279999999999,19177
uy26932,2022-09-27,Tuesday,26.786,3552
yt26932,2022-09-27,Tuesday,60.6756,11665
ga23521,2022-09-28,Wednesday,9.3456,1184
mq18481,2022-09-28,Wednesday,29.830399999999997,5585
op18481,2022-09-28,Wednesday,33.4058,7734
qw23521,2022-09-28,Wednesday,53.9024,12918
uy26932,2022-09-28,Wednesday,24.957,7282
yt26932,2022-09-28,Wednesday,30.7626,7500
ga23521,2022-09-29,Thursday,14.1482,3066
mq18481,2022-09-29,Thursday,14.100999999999999,2310
op18481,2022-09-29,Thursday,25.9836,8346
qw23521,2022-09-29,Thursday,24.1664,5034
uy26932,2022-09-29,Thursday,22.8802,7829
yt26932,2022-09-29,Thursday,31.4824,7651
ga23521,2022-09-30,Friday,6.8911999999999995,4502
mq18481,2022-09-30,Friday,18.0068,4119
op18481,2022-09-30,Friday,35.341,7265
