txn.chargeStationCity,date,day_of_the_week,Total_amount_charged,txn.deliveredWh
Bangalore,2022-09-01,Thursday,67.437,16617
Chennai,2022-09-01,Thursday,105.2442,25643
Mysore,2022-09-01,Thursday,95.2968,23344
Bangalore,2022-09-02,Friday,31.4706,6758
Chennai,2022-09-02,Friday,41.7012,7866
Mysore,2022-09-02,Friday,35.7658,8339
Bangalore,2022-09-03,Saturday,43.7072,9318
Chennai,2022-09-03,Saturday,84.075,22691
Mysore,2022-09-03,Saturday,17.5112,2999
Bangalore,2022-09-04,Sunday,88.3584,16532
Chennai,2022-09-04,Sunday,70.446,17884
Mysore,2022-09-04,Sunday,68.676,15564
Bangalore,2022-09-05,Monday,110.8728,26214
Bangalore,2022-09-06,Tuesday,1.593,1173
Chennai,2022-09-05,Monday,59.1062,14394
Mysore,2022-09-05,Monday,105.0672,26118
Bangalore,2022-09-06,Tuesday,52.5218,12450
Chennai,2022-09-06,Tuesday,67.4252,11393
Mysore,2022-09-06,Tuesday,33.9486,8358
Bangalore,2022-09-07,Wednesday,150.2376,23488
Chennai,2022-09-07,Wednesday,70.505,16523
Mysore,2022-09-07,Wednesday,102.9786,23898
Bangalore,2022-09-08,Thursday,28.744799999999998,6605
Chennai,2022-09-08,Thursday,43.010999999999996,7575
Mysore,2022-09-08,Thursday,10.4194,5337
Bangalore,2022-09-09,Friday,44.4506,15302
Chennai,2022-09-09,Friday,80.0394,20377
Mysore,2022-09-09,Friday,96.05199999999999,20775
Bangalore,2022-09-10,Saturday,46.669000000000004,11438
Chennai,2022-09-10,Saturday,76.9832,18135
Mysore,2022-09-10,Saturday,79.7562,18833
Bangalore,2022-09-11,Sunday,82.5646,15103
Chennai,2022-09-11,Sunday,50.008399999999995,13318
Mysore,2022-09-11,Sunday,46.3622,8559
Bangalore,2022-09-12,Monday,7.2924,1067
Chennai,2022-09-12,Monday,25.4054,3845
Mysore,2022-09-12,Monday,49.265,10527
Bangalore,2022-09-13,Tuesday,33.441199999999995,8840
Chennai,2022-09-13,Tuesday,23.729799999999997,5290
Mysore,2022-09-13,Tuesday,35.577,8246
Bangalore,2022-09-14,Wednesday,55.7786,14381
Chennai,2022-09-14,Wednesday,63.778999999999996,16713
Mysore,2022-09-14,Wednesday,76.0156,17423
Bangalore,2022-09-15,Thursday,70.0448,13888
Bangalore,2022-09-16,Friday,7.906000000000001,1080
Chennai,2022-09-15,Thursday,95.049,22417
Mysore,2022-09-15,Thursday,85.0544,18193
Bangalore,2022-09-16,Friday,60.888,13242
Chennai,2022-09-16,Friday,121.835,28767
Mysore,2022-09-16,Friday,68.086,17244
Bangalore,2022-09-17,Saturday,59.6608,15337
Chennai,2022-09-17,Saturday,57.938,13991
Mysore,2022-09-17,Saturday,63.425000000000004,19513
Bangalore,2022-09-18,Sunday,23.871399999999998,6886
Chennai,2022-09-18,Sunday,43.565599999999996,9932
Mysore,2022-09-18,Sunday,17.936,3120
Bangalore,2022-09-19,Monday,23.6708,6057
Chennai,2022-09-19,Monday,45.784,8113
Mysore,2022-09-19,Monday,8.7674,1954
Bangalore,2022-09-20,Tuesday,90.2582,22239
Chennai,2022-09-20,Tuesday,89.798,24500
Mysore,2022-09-20,Tuesday,54.28,12925
Bangalore,2022-09-21,Wednesday,35.6596,9497
Chennai,2022-09-21,Wednesday,28.3672,4848
Bangalore,2022-09-22,Thursday,74.2456,19459
Chennai,2022-09-22,Thursday,36.5328,9833
Mysore,2022-09-22,Thursday,64.3808,12785
Bangalore,2022-09-23,Friday,64.428,18102
Chennai,2022-09-23,Friday,88.1696,15205
Mysore,2022-09-23,Friday,130.98,33281
Bangalore,2022-09-24,Saturday,91.5916,17915
Chennai,2022-09-24,Saturday,61.3836,15182
Mysore,2022-09-24,Saturday,74.2456,16580
Bangalore,2022-09-25,Sunday,60.2036,16859
Chennai,2022-09-25,Sunday,76.5466,17258
Mysore,2022-09-25,Sunday,87.0132,15163
Bangalore,2022-09-26,Monday,75.1424,16598
Chennai,2022-09-26,Monday,41.1702,11669
Mysore,2022-09-26,Monday,57.784600000000005,13475
Bangalore,2022-09-27,Tuesday,24.957,6340
Chennai,2022-09-27,Tuesday,19.9302,4294
Mysore,2022-09-27,Tuesday,33.9486,9967
Bangalore,2022-09-28,Wednesday,96.0874,21654
Chennai,2022-09-28,Wednesday,75.4374,18075
Chennai,2022-09-29,Thursday,6.8911999999999995,1950
Mysore,2022-09-28,Wednesday,91.863,19318
Bangalore,2022-09-29,Thursday,91.8276,22597
Chennai,2022-09-29,Thursday,79.3314,18570
Mysore,2022-09-29,Thursday,100.5596,24423
Bangalore,2022-09-30,Friday,8.5078,3289
Chennai,2022-09-30,Friday,42.421,6263
Mysore,2022-09-30,Friday,57.218199999999996,12189
