day_of_the_week,Total_amount_charged,txn.deliveredWh
Thursday,237.593,55242
Friday,107.1204,29108
Saturday,62.2686,14858
Sunday,202.1576,56046
Monday,178.18,42701
Tuesday,285.6544,65992
Wednesday,246.2542,60933
Thursday,120.45439999999999,31515
Friday,55.0706,14816
Saturday,299.50759999999997,66170
Sunday,78.1042,20126
Monday,254.467,65959
Tuesday,218.0168,51288
Wednesday,87.10759999999999,15611
Thursday,153.5652,35985
Friday,121.4928,24489
Saturday,241.428,50315
Sunday,113.07939999999999,23206
Monday,262.0544,69606
Tuesday,164.1026,41534
Wednesday,261.3936,58248
Thursday,288.3212,71732
Friday,284.6868,72376
Saturday,135.4758,27690
Sunday,141.8242,35842
Monday,284.1204,71051
Tuesday,10.254199999999999,1982
Tuesday,287.0822,63502
Wednesday,182.2038,42203
Thursday,132.7618,34236
Friday,94.6124,23936
